
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29348_3_b01a52                                      
  Mach  =    0.850
  alpha =    1.847    CLtot =    0.175
  beta  =    0.000

  Sref  =   866.20000
  Bref  =    66.79000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064171283126215     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.876342E-01     0.165627E-01
    0.0003  0.874845E-01     0.165145E-01
    0.0025  0.871850E-01     0.164184E-01
    0.0069  0.865872E-01     0.162276E-01
    0.0134  0.856933E-01     0.159449E-01
    0.0222  0.845063E-01     0.155744E-01
    0.0330  0.830303E-01     0.151215E-01
    0.0459  0.812700E-01     0.145926E-01
    0.0607  0.792316E-01     0.139955E-01
    0.0776  0.769227E-01     0.133388E-01
    0.0963  0.743548E-01     0.126319E-01
    0.1168  0.715518E-01     0.118848E-01
    0.1390  0.685499E-01     0.111078E-01
    0.1621  0.654479E-01     0.103333E-01
    0.1860  0.622419E-01     0.956978E-02
    0.2113  0.588618E-01     0.880568E-02
    0.2378  0.553437E-01     0.805048E-02
    0.2653  0.517419E-01     0.731293E-02
    0.2939  0.481151E-01     0.660068E-02
    0.3233  0.445230E-01     0.592001E-02
    0.3534  0.410276E-01     0.527574E-02
    0.3849  0.376066E-01     0.465286E-02
    0.4178  0.343123E-01     0.405724E-02
    0.4509  0.312178E-01     0.350864E-02
    0.4843  0.283004E-01     0.300714E-02
    0.5178  0.255462E-01     0.255245E-02
    0.5512  0.229465E-01     0.214385E-02
    0.5844  0.204956E-01     0.178016E-02
    0.6172  0.181898E-01     0.145977E-02
    0.6495  0.160266E-01     0.118069E-02
    0.6812  0.140043E-01     0.940566E-03
    0.7121  0.121220E-01     0.736746E-03
    0.7422  0.103791E-01     0.566339E-03
    0.7711  0.877588E-02     0.426263E-03
    0.7990  0.731312E-02     0.313302E-03
    0.8255  0.599215E-02     0.224168E-03
    0.8507  0.481478E-02     0.155559E-03
    0.8743  0.378291E-02     0.104224E-03
    0.8964  0.289790E-02     0.670276E-04
    0.9168  0.215900E-02     0.410330E-04
    0.9354  0.155998E-02     0.235861E-04
    0.9514  0.109942E-02     0.128109E-04
    0.9649  0.746102E-03     0.650778E-05
    0.9765  0.468427E-03     0.291876E-05
    0.9863  0.263758E-03     0.110137E-05
    0.9942  0.126342E-03     0.321723E-06
    1.0002  0.462267E-04     0.617523E-07
    1.0042  0.977967E-05     0.530239E-08
    1.0062  0.575287E-06     0.727136E-10
    1.0064   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0064171283126215     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.876342E-01    -0.165627E-01
   -0.0003  0.874845E-01    -0.165145E-01
   -0.0025  0.871850E-01    -0.164184E-01
   -0.0069  0.865872E-01    -0.162276E-01
   -0.0134  0.856933E-01    -0.159449E-01
   -0.0222  0.845063E-01    -0.155744E-01
   -0.0330  0.830303E-01    -0.151215E-01
