
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29352_13_7672ba                                     
  Mach  =    0.850
  alpha =    1.756    CLtot =    0.159
  beta  =    0.000

  Sref  =   988.20000
  Bref  =    62.87000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0059296961985049     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.794701E-01     0.148543E-01
    0.0003  0.793352E-01     0.148095E-01
    0.0025  0.790654E-01     0.147202E-01
    0.0070  0.785269E-01     0.145428E-01
    0.0138  0.777217E-01     0.142800E-01
    0.0227  0.766523E-01     0.139355E-01
    0.0338  0.753221E-01     0.135143E-01
    0.0470  0.737349E-01     0.130225E-01
    0.0623  0.718954E-01     0.124671E-01
    0.0795  0.698096E-01     0.118562E-01
    0.0987  0.674860E-01     0.111986E-01
    0.1197  0.649419E-01     0.105035E-01
    0.1424  0.622121E-01     0.978060E-02
    0.1663  0.593840E-01     0.905737E-02
    0.1910  0.564542E-01     0.834198E-02
    0.2171  0.533643E-01     0.762632E-02
    0.2444  0.501343E-01     0.691944E-02
    0.2729  0.467957E-01     0.622991E-02
    0.3023  0.433916E-01     0.556550E-02
    0.3327  0.399705E-01     0.493287E-02
    0.3638  0.365809E-01     0.433743E-02
    0.3956  0.332719E-01     0.378320E-02
    0.4276  0.301235E-01     0.327358E-02
    0.4598  0.271780E-01     0.280895E-02
    0.4921  0.244155E-01     0.238790E-02
    0.5245  0.218236E-01     0.200974E-02
    0.5569  0.193954E-01     0.167335E-02
    0.5890  0.171274E-01     0.137720E-02
    0.6208  0.150178E-01     0.111936E-02
    0.6521  0.130654E-01     0.897507E-03
    0.6828  0.112690E-01     0.709050E-03
    0.7127  0.962730E-02     0.551159E-03
    0.7418  0.813801E-02     0.420850E-03
    0.7699  0.679823E-02     0.315060E-03
    0.7968  0.560419E-02     0.230722E-03
    0.8225  0.455118E-02     0.164829E-03
    0.8469  0.363366E-02     0.114502E-03
    0.8698  0.284522E-02     0.770340E-04
    0.8912  0.217858E-02     0.499434E-04
    0.9109  0.162548E-02     0.310040E-04
    0.9289  0.117624E-02     0.182738E-04
    0.9454  0.814219E-03     0.998780E-05
    0.9602  0.531240E-03     0.493517E-05
    0.9731  0.322643E-03     0.216071E-05
    0.9839  0.176701E-03     0.797880E-06
    0.9925  0.825011E-04     0.228272E-06
    0.9991  0.293985E-04     0.429169E-07
    1.0035  0.606666E-05     0.361260E-08
