
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29352_4_c7e933                                      
  Mach  =    0.850
  alpha =    2.695    CLtot =    0.196
  beta  =    0.000

  Sref  =   742.10000
  Bref  =    61.22000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061352499183274     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.972589E-01     0.164729E-01
    0.0003  0.970741E-01     0.164206E-01
    0.0024  0.967044E-01     0.163161E-01
    0.0067  0.959666E-01     0.161087E-01
    0.0132  0.948634E-01     0.158018E-01
    0.0217  0.933988E-01     0.154001E-01
    0.0323  0.915782E-01     0.149100E-01
    0.0449  0.894079E-01     0.143390E-01
    0.0595  0.868962E-01     0.136962E-01
    0.0760  0.840539E-01     0.129915E-01
    0.0944  0.808951E-01     0.122360E-01
    0.1144  0.774429E-01     0.114414E-01
    0.1362  0.737515E-01     0.106196E-01
    0.1596  0.698378E-01     0.977855E-02
    0.1847  0.656905E-01     0.893078E-02
    0.2111  0.613358E-01     0.809232E-02
    0.2388  0.568255E-01     0.727491E-02
    0.2676  0.522346E-01     0.648910E-02
    0.2975  0.476351E-01     0.574387E-02
    0.3282  0.431056E-01     0.504638E-02
    0.3598  0.387357E-01     0.440160E-02
    0.3919  0.346262E-01     0.381203E-02
    0.4245  0.308751E-01     0.327611E-02
    0.4574  0.274857E-01     0.279215E-02
    0.4905  0.243920E-01     0.235918E-02
    0.5236  0.215595E-01     0.197484E-02
    0.5567  0.189655E-01     0.163662E-02
    0.5895  0.165939E-01     0.134174E-02
    0.6221  0.144322E-01     0.108723E-02
    0.6541  0.124694E-01     0.869892E-03
    0.6855  0.106955E-01     0.686424E-03
    0.7161  0.910102E-02     0.533450E-03
    0.7458  0.767634E-02     0.407596E-03
    0.7745  0.641176E-02     0.305550E-03
    0.8021  0.529730E-02     0.224121E-03
    0.8284  0.432257E-02     0.160287E-03
    0.8533  0.347654E-02     0.111243E-03
    0.8768  0.274711E-02     0.744351E-04
    0.8986  0.212023E-02     0.475928E-04
    0.9188  0.158157E-02     0.287445E-04
    0.9364  0.114527E-02     0.165814E-04
    0.9515  0.805339E-03     0.911156E-05
    0.9649  0.536178E-03     0.456722E-05
    0.9765  0.331473E-03     0.202417E-05
    0.9862  0.184168E-03     0.754721E-06
    0.9941  0.868718E-04     0.217444E-06
    1.0000  0.311608E-04     0.410813E-07
    1.0039  0.646067E-05     0.347133E-08
    1.0059  0.375318E-06     0.470513E-10
    1.0061   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0061352499183274     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.972589E-01    -0.164729E-01
   -0.0003  0.970741E-01    -0.164206E-01
   -0.0024  0.967044E-01    -0.163161E-01
   -0.0067  0.959666E-01    -0.161087E-01
   -0.0132  0.948634E-01    -0.158018E-01
   -0.0217  0.933988E-01    -0.154001E-01
   -0.0323  0.915782E-01    -0.149100E-01
   -0.0449  0.894079E-01    -0.143390E-01
   -0.0595  0.868962E-01    -0.136962E-01
   -0.0760  0.840539E-01    -0.129915E-01
   -0.0944  0.808951E-01    -0.122360E-01
   -0.1144  0.774429E-01    -0.114414E-01
   -0.1362  0.737515E-01    -0.106196E-01
   -0.1596  0.698378E-01    -0.977855E-02
   -0.1847  0.656905E-01    -0.893078E-02
   -0.2111  0.613358E-01    -0.809232E-02
   -0.2388  0.568255E-01    -0.727491E-02
   -0.2676  0.522346E-01    -0.648910E-02
