
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29372_19_0b71f8                                     
  Mach  =    0.850
  alpha =    2.008    CLtot =    0.153
  beta  =    0.000

  Sref  =  1043.70000
  Bref  =    61.60000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063668831168830     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.764411E-01     0.152475E-01
    0.0003  0.763236E-01     0.152078E-01
    0.0023  0.760884E-01     0.151285E-01
    0.0065  0.756192E-01     0.149710E-01
    0.0127  0.749182E-01     0.147374E-01
    0.0209  0.739891E-01     0.144308E-01
    0.0312  0.728367E-01     0.140554E-01
    0.0434  0.714676E-01     0.136162E-01
    0.0574  0.698895E-01     0.131189E-01
    0.0734  0.681124E-01     0.125700E-01
    0.0910  0.661481E-01     0.119767E-01
    0.1104  0.640131E-01     0.113464E-01
    0.1314  0.617358E-01     0.106869E-01
    0.1539  0.593448E-01     0.100059E-01
    0.1791  0.567204E-01     0.927641E-02
    0.2068  0.538527E-01     0.850940E-02
    0.2359  0.508669E-01     0.774810E-02
    0.2662  0.477873E-01     0.700109E-02
    0.2976  0.446466E-01     0.627624E-02
    0.3299  0.414812E-01     0.558051E-02
    0.3631  0.383335E-01     0.491969E-02
    0.3959  0.353198E-01     0.431253E-02
    0.4283  0.324559E-01     0.375889E-02
    0.4610  0.296752E-01     0.324584E-02
    0.4939  0.269841E-01     0.277495E-02
    0.5270  0.243886E-01     0.234707E-02
    0.5599  0.218961E-01     0.196240E-02
    0.5926  0.195147E-01     0.162045E-02
    0.6250  0.172527E-01     0.132011E-02
    0.6569  0.151181E-01     0.105969E-02
    0.6881  0.131184E-01     0.836994E-03
    0.7186  0.112602E-01     0.649406E-03
    0.7482  0.954885E-02     0.493966E-03
    0.7768  0.798824E-02     0.367472E-03
    0.8043  0.658064E-02     0.266581E-03
    0.8305  0.532653E-02     0.187902E-03
    0.8553  0.422449E-02     0.128094E-03
    0.8786  0.327115E-02     0.839501E-04
    0.9004  0.246104E-02     0.524715E-04
    0.9205  0.178647E-02     0.309356E-04
    0.9379  0.126317E-02     0.174757E-04
    0.9528  0.870424E-03     0.945319E-05
    0.9659  0.568098E-03     0.466856E-05
    0.9773  0.344576E-03     0.204204E-05
    0.9868  0.188366E-03     0.753770E-06
    0.9945  0.879434E-04     0.215974E-06
    1.0003  0.314729E-04     0.407776E-07
    1.0042  0.654907E-05     0.345609E-08
    1.0061  0.382131E-06     0.470373E-10
    1.0064   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0063668831168830     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.764411E-01    -0.152475E-01
   -0.0003  0.763236E-01    -0.152078E-01
   -0.0023  0.760884E-01    -0.151285E-01
   -0.0065  0.756192E-01    -0.149710E-01
   -0.0127  0.749182E-01    -0.147374E-01
   -0.0209  0.739891E-01    -0.144308E-01
   -0.0312  0.728367E-01    -0.140554E-01
   -0.0434  0.714676E-01    -0.136162E-01
   -0.0574  0.698895E-01    -0.131189E-01
   -0.0734  0.681124E-01    -0.125700E-01
   -0.0910  0.661481E-01    -0.119767E-01
   -0.1104  0.640131E-01    -0.113464E-01
   -0.1314  0.617358E-01    -0.106869E-01
   -0.1539  0.593448E-01    -0.100059E-01
   -0.1791  0.567204E-01    -0.927641E-02
   -0.2068  0.538527E-01    -0.850940E-02
   -0.2359  0.508669E-01    -0.774810E-02
   -0.2662  0.477873E-01    -0.700109E-02
   -0.2976  0.446466E-01    -0.627624E-02
   -0.3299  0.414812E-01    -0.558051E-02
   -0.3631  0.383335E-01    -0.491969E-02
   -0.3959  0.353198E-01    -0.431253E-02
   -0.4283  0.324559E-01    -0.375889E-02
