
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29372_1_b3ecad                                      
  Mach  =    0.850
  alpha =    2.124    CLtot =    0.167
  beta  =    0.000

  Sref  =  1014.70000
  Bref  =    59.02000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0059979667909182     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.827745E-01     0.157059E-01
    0.0003  0.826408E-01     0.156617E-01
    0.0024  0.823733E-01     0.155736E-01
    0.0067  0.818394E-01     0.153987E-01
    0.0130  0.810410E-01     0.151393E-01
    0.0215  0.799807E-01     0.147991E-01
    0.0320  0.786618E-01     0.143828E-01
    0.0445  0.770879E-01     0.138963E-01
    0.0589  0.752636E-01     0.133463E-01
    0.0753  0.731944E-01     0.127403E-01
    0.0934  0.708882E-01     0.120869E-01
    0.1133  0.683586E-01     0.113949E-01
    0.1349  0.656428E-01     0.106737E-01
    0.1580  0.627833E-01     0.993243E-02
    0.1835  0.596752E-01     0.915006E-02
    0.2115  0.563228E-01     0.833896E-02
    0.2408  0.528522E-01     0.753890E-02
    0.2714  0.492866E-01     0.675928E-02
    0.3030  0.456652E-01     0.600871E-02
    0.3356  0.420350E-01     0.529459E-02
    0.3690  0.384400E-01     0.462295E-02
    0.4031  0.349202E-01     0.399841E-02
    0.4361  0.316695E-01     0.344648E-02
    0.4679  0.287037E-01     0.296205E-02
    0.4999  0.258826E-01     0.252123E-02
    0.5320  0.232078E-01     0.212394E-02
    0.5640  0.206802E-01     0.176951E-02
    0.5958  0.183017E-01     0.145673E-02
    0.6272  0.160749E-01     0.118387E-02
    0.6582  0.140022E-01     0.948744E-03
    0.6886  0.120857E-01     0.748818E-03
    0.7182  0.103266E-01     0.581242E-03
    0.7470  0.872538E-02     0.442955E-03
    0.7748  0.728126E-02     0.330768E-03
    0.8014  0.599222E-02     0.241449E-03
    0.8269  0.485484E-02     0.171804E-03
    0.8510  0.386425E-02     0.118751E-03
    0.8737  0.301411E-02     0.793891E-04
    0.8948  0.229659E-02     0.510506E-04
    0.9144  0.170243E-02     0.313485E-04
    0.9322  0.122090E-02     0.182045E-04
    0.9482  0.840174E-03     0.985665E-05
    0.9624  0.548453E-03     0.487642E-05
    0.9746  0.333563E-03     0.213942E-05
    0.9849  0.183196E-03     0.792491E-06
    0.9932  0.859242E-04     0.227684E-06
    0.9995  0.308068E-04     0.430204E-07
    1.0036  0.639943E-05     0.364072E-08
    1.0057  0.372253E-06     0.494083E-10
    1.0060   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0059979667909182     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.827745E-01    -0.157059E-01
   -0.0003  0.826408E-01    -0.156617E-01
   -0.0024  0.823733E-01    -0.155736E-01
   -0.0067  0.818394E-01    -0.153987E-01
   -0.0130  0.810410E-01    -0.151393E-01
   -0.0215  0.799807E-01    -0.147991E-01
   -0.0320  0.786618E-01    -0.143828E-01
   -0.0445  0.770879E-01    -0.138963E-01
   -0.0589  0.752636E-01    -0.133463E-01
   -0.0753  0.731944E-01    -0.127403E-01
   -0.0934  0.708882E-01    -0.120869E-01
   -0.1133  0.683586E-01    -0.113949E-01
   -0.1349  0.656428E-01    -0.106737E-01
   -0.1580  0.627833E-01    -0.993243E-02
   -0.1835  0.596752E-01    -0.915006E-02
   -0.2115  0.563228E-01    -0.833896E-02
   -0.2408  0.528522E-01    -0.753890E-02
   -0.2714  0.492866E-01    -0.675928E-02
   -0.3030  0.456652E-01    -0.600871E-02
   -0.3356  0.420350E-01    -0.529459E-02
   -0.3690  0.384400E-01    -0.462295E-02
   -0.4031  0.349202E-01    -0.399841E-02
   -0.4361  0.316695E-01    -0.344648E-02
   -0.4679  0.287037E-01    -0.296205E-02
   -0.4999  0.258826E-01    -0.252123E-02
   -0.5320  0.232078E-01    -0.212394E-02
   -0.5640  0.206802E-01    -0.176951E-02
   -0.5958  0.183017E-01    -0.145673E-02
   -0.6272  0.160749E-01    -0.118387E-02
   -0.6582  0.140022E-01    -0.948744E-03
   -0.6886  0.120857E-01    -0.748818E-03
   -0.7182  0.103266E-01    -0.581242E-03
   -0.7470  0.872538E-02    -0.442955E-03
   -0.7748  0.728126E-02    -0.330768E-03
   -0.8014  0.599222E-02    -0.241449E-03
   -0.8269  0.485484E-02    -0.171804E-03
   -0.8510  0.386425E-02    -0.118751E-03
   -0.8737  0.301411E-02    -0.793891E-04
   -0.8948  0.229659E-02    -0.510506E-04
   -0.9144  0.170243E-02    -0.313485E-04
   -0.9322  0.122090E-02    -0.182045E-04
   -0.9482  0.840174E-03    -0.985665E-05
   -0.9624  0.548453E-03    -0.487642E-05
   -0.9746  0.333563E-03    -0.213942E-05
   -0.9849  0.183196E-03    -0.792491E-06
   -0.9932  0.859242E-04    -0.227684E-06
   -0.9995  0.308068E-04    -0.430204E-07
   -1.0036  0.639943E-05    -0.364072E-08
   -1.0057  0.372253E-06    -0.494083E-10
   -1.0060   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.13893595391392746     
     2Ymax/Bref =   0.21540155879362927     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1389  0.122964E-02     0.437327E-04
    0.1393  0.122666E-02     0.421595E-04
    0.1418  0.121371E-02     0.390335E-04
    0.1468  0.115820E-02     0.331639E-04
    0.1539  0.103253E-02     0.254972E-04
    0.1625  0.838589E-03     0.174772E-04
    0.1722  0.616750E-03     0.105198E-04
    0.1822  0.410872E-03     0.543390E-05
    0.1918  0.243328E-03     0.230644E-05
    0.2004  0.121807E-03     0.741410E-06
    0.2075  0.462507E-04     0.153269E-06
    0.2125  0.100764E-04     0.138812E-07
    0.2151  0.606074E-06     0.197452E-09
    0.2154   0.00000          0.00000    
   
 Surface:   4  
