
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29392_15_562081                                     
  Mach  =    0.850
  alpha =    1.944    CLtot =    0.171
  beta  =    0.000

  Sref  =   895.20000
  Bref  =    62.74000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061938157475294     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.850260E-01     0.160713E-01
    0.0003  0.848866E-01     0.160256E-01
    0.0024  0.846078E-01     0.159345E-01
    0.0067  0.840513E-01     0.157536E-01
    0.0131  0.832192E-01     0.154854E-01
    0.0216  0.821141E-01     0.151338E-01
    0.0322  0.807397E-01     0.147036E-01
    0.0448  0.791000E-01     0.142010E-01
    0.0593  0.772003E-01     0.136329E-01
    0.0758  0.750476E-01     0.130074E-01
    0.0941  0.726516E-01     0.123331E-01
    0.1141  0.700296E-01     0.116193E-01
    0.1358  0.672240E-01     0.108756E-01
    0.1588  0.642947E-01     0.101184E-01
    0.1831  0.612441E-01     0.935637E-02
    0.2087  0.580535E-01     0.859229E-02
    0.2356  0.547417E-01     0.783515E-02
    0.2636  0.513413E-01     0.709347E-02
    0.2926  0.478921E-01     0.637497E-02
    0.3224  0.444337E-01     0.568635E-02
    0.3530  0.410037E-01     0.503321E-02
    0.3842  0.376398E-01     0.441994E-02
    0.4163  0.343319E-01     0.383996E-02
    0.4491  0.311167E-01     0.329764E-02
    0.4822  0.280542E-01     0.280416E-02
    0.5153  0.251453E-01     0.235954E-02
    0.5484  0.223919E-01     0.196308E-02
    0.5812  0.197976E-01     0.161349E-02
    0.6137  0.173665E-01     0.130885E-02
    0.6457  0.151026E-01     0.104673E-02
    0.6771  0.130095E-01     0.824249E-03
    0.7077  0.110896E-01     0.638168E-03
    0.7374  0.934400E-02     0.485001E-03
    0.7661  0.777237E-02     0.361113E-03
    0.7936  0.637273E-02     0.262816E-03
    0.8199  0.514143E-02     0.186470E-03
    0.8448  0.407318E-02     0.128568E-03
    0.8682  0.316108E-02     0.858153E-04
    0.8900  0.239671E-02     0.551883E-04
