
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29392_3_62d2f9                                      
  Mach  =    0.850
  alpha =    2.017    CLtot =    0.162
  beta  =    0.000

  Sref  =   943.00000
  Bref  =    56.88000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0056504922644163     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.806205E-01     0.163107E-01
    0.0003  0.805037E-01     0.162694E-01
    0.0023  0.802702E-01     0.161871E-01
    0.0064  0.798040E-01     0.160236E-01
    0.0125  0.791069E-01     0.157809E-01
    0.0206  0.781815E-01     0.154622E-01
    0.0307  0.770310E-01     0.150717E-01
    0.0427  0.756593E-01     0.146143E-01
    0.0565  0.740712E-01     0.140959E-01
    0.0722  0.722725E-01     0.135231E-01
    0.0896  0.702709E-01     0.129032E-01
    0.1087  0.680770E-01     0.122440E-01
    0.1293  0.657102E-01     0.115535E-01
    0.1515  0.632133E-01     0.108399E-01
    0.1764  0.604660E-01     0.100697E-01
    0.2040  0.574638E-01     0.925451E-02
    0.2330  0.543529E-01     0.844445E-02
    0.2632  0.511507E-01     0.764837E-02
    0.2945  0.478877E-01     0.687445E-02
    0.3267  0.445989E-01     0.612996E-02
    0.3597  0.413197E-01     0.542109E-02
    0.3934  0.380825E-01     0.475284E-02
    0.4276  0.349200E-01     0.412900E-02
    0.4612  0.319311E-01     0.356581E-02
    0.4939  0.291157E-01     0.306122E-02
    0.5268  0.264012E-01     0.260136E-02
    0.5595  0.237936E-01     0.218646E-02
    0.5921  0.212993E-01     0.181614E-02
    0.6243  0.189253E-01     0.148934E-02
    0.6560  0.166792E-01     0.120446E-02
    0.6871  0.145680E-01     0.959369E-03
    0.7174  0.125983E-01     0.751469E-03
    0.7468  0.107757E-01     0.577821E-03
    0.7753  0.910431E-02     0.435209E-03
    0.8026  0.758704E-02     0.320249E-03
    0.8286  0.622501E-02     0.229481E-03
    0.8533  0.501762E-02     0.159465E-03
    0.8765  0.396232E-02     0.106867E-03
    0.8982  0.305436E-02     0.685446E-04
    0.9181  0.228595E-02     0.416155E-04
    0.9357  0.166400E-02     0.240639E-04
    0.9509  0.116962E-02     0.131780E-04
    0.9643  0.774674E-03     0.657071E-05
    0.9759  0.474977E-03     0.289636E-05
    0.9857  0.261891E-03     0.107648E-05
    0.9935  0.123274E-03     0.310532E-06
    0.9995  0.445063E-04     0.590367E-07
    1.0034  0.933826E-05     0.503684E-08
    1.0054  0.547827E-06     0.688971E-10
    1.0057   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0056504922644163     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.806205E-01    -0.163107E-01
   -0.0003  0.805037E-01    -0.162694E-01
   -0.0023  0.802702E-01    -0.161871E-01
   -0.0064  0.798040E-01    -0.160236E-01
   -0.0125  0.791069E-01    -0.157809E-01
   -0.0206  0.781815E-01    -0.154622E-01
   -0.0307  0.770310E-01    -0.150717E-01
   -0.0427  0.756593E-01    -0.146143E-01
   -0.0565  0.740712E-01    -0.140959E-01
   -0.0722  0.722725E-01    -0.135231E-01
   -0.0896  0.702709E-01    -0.129032E-01
   -0.1087  0.680770E-01    -0.122440E-01
   -0.1293  0.657102E-01    -0.115535E-01
   -0.1515  0.632133E-01    -0.108399E-01
   -0.1764  0.604660E-01    -0.100697E-01
   -0.2040  0.574638E-01    -0.925451E-02
   -0.2330  0.543529E-01    -0.844445E-02
   -0.2632  0.511507E-01    -0.764837E-02
   -0.2945  0.478877E-01    -0.687445E-02
   -0.3267  0.445989E-01    -0.612996E-02
   -0.3597  0.413197E-01    -0.542109E-02
   -0.3934  0.380825E-01    -0.475284E-02
   -0.4276  0.349200E-01    -0.412900E-02
   -0.4612  0.319311E-01    -0.356581E-02
   -0.4939  0.291157E-01    -0.306122E-02
   -0.5268  0.264012E-01    -0.260136E-02
   -0.5595  0.237936E-01    -0.218646E-02
   -0.5921  0.212993E-01    -0.181614E-02
   -0.6243  0.189253E-01    -0.148934E-02
   -0.6560  0.166792E-01    -0.120446E-02
   -0.6871  0.145680E-01    -0.959369E-03
   -0.7174  0.125983E-01    -0.751469E-03
   -0.7468  0.107757E-01    -0.577821E-03
   -0.7753  0.910431E-02    -0.435209E-03
   -0.8026  0.758704E-02    -0.320249E-03
   -0.8286  0.622501E-02    -0.229481E-03
   -0.8533  0.501762E-02    -0.159465E-03
   -0.8765  0.396232E-02    -0.106867E-03
   -0.8982  0.305436E-02    -0.685446E-04
   -0.9181  0.228595E-02    -0.416155E-04
   -0.9357  0.166400E-02    -0.240639E-04
   -0.9509  0.116962E-02    -0.131780E-04
   -0.9643  0.774674E-03    -0.657071E-05
   -0.9759  0.474977E-03    -0.289636E-05
   -0.9857  0.261891E-03    -0.107648E-05
   -0.9935  0.123274E-03    -0.310532E-06
   -0.9995  0.445063E-04    -0.590367E-07
   -1.0034  0.933826E-05    -0.503684E-08
   -1.0054  0.547827E-06    -0.688971E-10
   -1.0057   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.14416315049226439     
