
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29400_17_2304c5                                     
  Mach  =    0.850
  alpha =    2.702    CLtot =    0.173
  beta  =    0.000

  Sref  =   879.40000
  Bref  =    64.55000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060511231603408     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.861195E-01     0.140298E-01
    0.0003  0.859364E-01     0.139808E-01
    0.0026  0.855702E-01     0.138831E-01
    0.0071  0.848395E-01     0.136894E-01
    0.0139  0.837485E-01     0.134031E-01
    0.0229  0.823033E-01     0.130288E-01
    0.0341  0.805123E-01     0.125732E-01
    0.0475  0.783862E-01     0.120437E-01
    0.0629  0.759382E-01     0.114494E-01
    0.0803  0.731839E-01     0.108002E-01
    0.0997  0.701431E-01     0.101068E-01
    0.1209  0.668449E-01     0.938071E-02
    0.1439  0.633290E-01     0.863338E-02
    0.1674  0.597782E-01     0.790996E-02
    0.1913  0.561828E-01     0.721782E-02
    0.2165  0.523845E-01     0.653403E-02
    0.2429  0.484169E-01     0.586864E-02
    0.2704  0.443360E-01     0.523094E-02
    0.2989  0.402156E-01     0.462893E-02
    0.3283  0.361492E-01     0.406882E-02
    0.3584  0.322498E-01     0.355463E-02
    0.3890  0.286472E-01     0.308765E-02
    0.4206  0.254164E-01     0.265940E-02
    0.4529  0.225439E-01     0.226889E-02
    0.4853  0.199616E-01     0.192056E-02
    0.5179  0.176232E-01     0.161190E-02
    0.5504  0.155002E-01     0.134045E-02
    0.5826  0.135727E-01     0.110373E-02
    0.6146  0.118254E-01     0.899158E-03
    0.6460  0.102452E-01     0.724079E-03
    0.6768  0.882109E-02     0.575807E-03
    0.7069  0.754265E-02     0.451649E-03
    0.7361  0.640033E-02     0.348951E-03
    0.7643  0.538495E-02     0.265131E-03
    0.7913  0.448763E-02     0.197717E-03
    0.8171  0.369973E-02     0.144372E-03
    0.8416  0.301277E-02     0.102926E-03
    0.8646  0.241848E-02     0.713862E-04
    0.8861  0.190883E-02     0.479543E-04
    0.9059  0.147621E-02     0.310309E-04
    0.9240  0.111366E-02     0.192143E-04
    0.9403  0.815212E-03     0.112938E-04
    0.9556  0.561165E-03     0.596435E-05
    0.9698  0.352770E-03     0.268582E-05
    0.9817  0.200462E-03     0.101884E-05
    0.9913  0.967347E-04     0.297792E-06
    0.9985  0.351288E-04     0.566430E-07
    1.0033  0.726364E-05     0.477368E-08
    1.0057  0.418019E-06     0.641393E-10
    1.0061   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0060511231603408     
