
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29400_6_bfc206                                      
  Mach  =    0.850
  alpha =    1.640    CLtot =    0.155
  beta  =    0.000

  Sref  =  1059.90000
  Bref  =    77.39000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0067269673084378     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.775623E-01     0.145063E-01
    0.0003  0.774305E-01     0.144655E-01
    0.0024  0.771669E-01     0.143841E-01
    0.0066  0.766407E-01     0.142225E-01
    0.0129  0.758535E-01     0.139829E-01
    0.0212  0.748079E-01     0.136690E-01
    0.0316  0.735063E-01     0.132851E-01
    0.0439  0.719523E-01     0.128369E-01
    0.0581  0.701504E-01     0.123309E-01
    0.0743  0.681077E-01     0.117743E-01
    0.0922  0.658386E-01     0.111751E-01
    0.1118  0.633841E-01     0.105417E-01
    0.1329  0.607932E-01     0.988581E-02
    0.1555  0.580692E-01     0.921567E-02
    0.1795  0.552061E-01     0.853664E-02
    0.2048  0.522260E-01     0.785707E-02
    0.2313  0.491643E-01     0.718491E-02
    0.2590  0.460607E-01     0.652738E-02
    0.2876  0.429527E-01     0.589086E-02
    0.3171  0.398752E-01     0.528073E-02
    0.3479  0.367938E-01     0.468678E-02
    0.3800  0.337526E-01     0.411546E-02
    0.4126  0.308390E-01     0.358431E-02
    0.4455  0.280538E-01     0.309476E-02
    0.4787  0.253976E-01     0.264757E-02
    0.5119  0.228720E-01     0.224286E-02
    0.5451  0.204798E-01     0.188017E-02
    0.5780  0.182237E-01     0.155844E-02
    0.6106  0.161063E-01     0.127614E-02
    0.6427  0.141296E-01     0.103127E-02
    0.6742  0.122949E-01     0.821482E-03
    0.7049  0.106028E-01     0.644115E-03
    0.7347  0.905270E-02     0.496313E-03
    0.7634  0.764328E-02     0.375083E-03
    0.7911  0.637218E-02     0.277378E-03
    0.8174  0.523628E-02     0.200162E-03
    0.8424  0.423172E-02     0.140479E-03
    0.8659  0.335412E-02     0.955058E-04
    0.8878  0.259870E-02     0.625978E-04
    0.9081  0.196038E-02     0.393282E-04
    0.9265  0.143384E-02     0.235178E-04
    0.9431  0.101325E-02     0.132592E-04
    0.9583  0.678162E-03     0.677308E-05
    0.9719  0.418085E-03     0.299872E-05
    0.9833  0.231965E-03     0.111879E-05
    0.9925  0.109657E-03     0.323294E-06
    0.9995  0.395733E-04     0.613623E-07
    1.0041  0.824728E-05     0.520480E-08
    1.0064  0.478269E-06     0.704322E-10
    1.0067   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0067269673084378     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.775623E-01    -0.145063E-01
   -0.0003  0.774305E-01    -0.144655E-01
   -0.0024  0.771669E-01    -0.143841E-01
   -0.0066  0.766407E-01    -0.142225E-01
   -0.0129  0.758535E-01    -0.139829E-01
   -0.0212  0.748079E-01    -0.136690E-01
   -0.0316  0.735063E-01    -0.132851E-01
   -0.0439  0.719523E-01    -0.128369E-01
   -0.0581  0.701504E-01    -0.123309E-01
   -0.0743  0.681077E-01    -0.117743E-01
   -0.0922  0.658386E-01    -0.111751E-01
   -0.1118  0.633841E-01    -0.105417E-01
   -0.1329  0.607932E-01    -0.988581E-02
   -0.1555  0.580692E-01    -0.921567E-02
   -0.1795  0.552061E-01    -0.853664E-02
   -0.2048  0.522260E-01    -0.785707E-02
   -0.2313  0.491643E-01    -0.718491E-02
   -0.2590  0.460607E-01    -0.652738E-02
   -0.2876  0.429527E-01    -0.589086E-02
   -0.3171  0.398752E-01    -0.528073E-02
   -0.3479  0.367938E-01    -0.468678E-02
   -0.3800  0.337526E-01    -0.411546E-02
   -0.4126  0.308390E-01    -0.358431E-02
   -0.4455  0.280538E-01    -0.309476E-02
