
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29456_16_887d39                                     
  Mach  =    0.850
  alpha =    2.065    CLtot =    0.181
  beta  =    0.000

  Sref  =   856.90000
  Bref  =    69.56000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064174813110982     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.899312E-01     0.167778E-01
    0.0003  0.897817E-01     0.167327E-01
    0.0023  0.894827E-01     0.166428E-01
    0.0063  0.888858E-01     0.164642E-01
    0.0123  0.879932E-01     0.161995E-01
    0.0202  0.868080E-01     0.158525E-01
    0.0301  0.853338E-01     0.154280E-01
    0.0418  0.835753E-01     0.149322E-01
    0.0554  0.815383E-01     0.143721E-01
    0.0707  0.792308E-01     0.137555E-01
    0.0878  0.766645E-01     0.130911E-01
    0.1065  0.738641E-01     0.123882E-01
    0.1267  0.708874E-01     0.116561E-01
    0.1496  0.676037E-01     0.108643E-01
    0.1751  0.639994E-01     0.100257E-01
    0.2020  0.602355E-01     0.919039E-02
    0.2302  0.563424E-01     0.836889E-02
    0.2596  0.523810E-01     0.757090E-02
    0.2900  0.484269E-01     0.680465E-02
    0.3213  0.445578E-01     0.607658E-02
    0.3535  0.408527E-01     0.539114E-02
    0.3857  0.374314E-01     0.475733E-02
    0.4179  0.342982E-01     0.417411E-02
    0.4505  0.313667E-01     0.363440E-02
    0.4833  0.286068E-01     0.313828E-02
    0.5161  0.259999E-01     0.268558E-02
    0.5489  0.235335E-01     0.227582E-02
    0.5815  0.211992E-01     0.190816E-02
    0.6137  0.189912E-01     0.158137E-02
    0.6455  0.169057E-01     0.129392E-02
    0.6766  0.149400E-01     0.104393E-02
    0.7069  0.130927E-01     0.829225E-03
    0.7364  0.113637E-01     0.647387E-03
    0.7648  0.975348E-02     0.495777E-03
    0.7922  0.826373E-02     0.371585E-03
    0.8182  0.689712E-02     0.271872E-03
    0.8429  0.565733E-02     0.193622E-03
    0.8662  0.454897E-02     0.133792E-03
    0.8878  0.357709E-02     0.893750E-04
    0.9078  0.274604E-02     0.574640E-04
    0.9261  0.205699E-02     0.353424E-04
    0.9425  0.150347E-02     0.205841E-04
    0.9577  0.104524E-02     0.108338E-04
    0.9714  0.665490E-03     0.490241E-05
    0.9829  0.378618E-03     0.186170E-05
    0.9921  0.182483E-03     0.545960E-06
    0.9991  0.669810E-04     0.105025E-06
    1.0038  0.141936E-04     0.902958E-08
    1.0061  0.835588E-06     0.123916E-09
    1.0064   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0064174813110982     
