
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29456_5_29a665                                      
  Mach  =    0.850
  alpha =    1.980    CLtot =    0.163
  beta  =    0.000

  Sref  =   959.90000
  Bref  =    58.90000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062275042444822     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.813012E-01     0.159010E-01
    0.0003  0.811786E-01     0.158586E-01
    0.0024  0.809333E-01     0.157739E-01
    0.0065  0.804439E-01     0.156057E-01
    0.0128  0.797122E-01     0.153562E-01
    0.0210  0.787411E-01     0.150287E-01
    0.0313  0.775346E-01     0.146275E-01
    0.0435  0.760974E-01     0.141580E-01
    0.0577  0.744353E-01     0.136263E-01
    0.0737  0.725554E-01     0.130394E-01
    0.0914  0.704665E-01     0.124048E-01
    0.1109  0.681805E-01     0.117308E-01
    0.1319  0.657220E-01     0.110257E-01
    0.1545  0.631271E-01     0.102981E-01
    0.1802  0.602140E-01     0.950584E-02
    0.2090  0.569557E-01     0.866265E-02
    0.2392  0.535331E-01     0.782933E-02
    0.2706  0.499740E-01     0.701623E-02
    0.3032  0.463213E-01     0.623283E-02
    0.3367  0.426267E-01     0.548742E-02
    0.3711  0.389525E-01     0.478670E-02
    0.4042  0.355651E-01     0.416723E-02
    0.4359  0.324943E-01     0.362320E-02
    0.4679  0.295568E-01     0.312181E-02
    0.5002  0.267497E-01     0.266389E-02
    0.5325  0.240728E-01     0.224968E-02
    0.5647  0.215287E-01     0.187882E-02
    0.5967  0.191213E-01     0.155036E-02
    0.6284  0.168548E-01     0.126278E-02
    0.6596  0.147338E-01     0.101411E-02
    0.6902  0.127618E-01     0.801910E-03
    0.7200  0.109421E-01     0.623428E-03
    0.7490  0.927655E-02     0.475638E-03
    0.7770  0.776585E-02     0.355350E-03
    0.8038  0.640935E-02     0.259292E-03
    0.8295  0.520494E-02     0.184195E-03
    0.8538  0.414903E-02     0.126879E-03
    0.8766  0.323655E-02     0.843159E-04
    0.8979  0.246102E-02     0.536989E-04
    0.9176  0.181452E-02     0.324860E-04
    0.9355  0.128766E-02     0.184396E-04
