
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29508_0_0b4dfa                                      
  Mach  =    0.850
  alpha =    1.727    CLtot =    0.152
  beta  =    0.000

  Sref  =  1064.70000
  Bref  =    67.73000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062276686844824     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.759524E-01     0.143825E-01
    0.0003  0.758201E-01     0.143395E-01
    0.0026  0.755554E-01     0.142538E-01
    0.0071  0.750271E-01     0.140835E-01
    0.0138  0.742369E-01     0.138313E-01
    0.0228  0.731872E-01     0.135008E-01
    0.0340  0.718804E-01     0.130969E-01
    0.0472  0.703198E-01     0.126256E-01
    0.0625  0.685095E-01     0.120937E-01
    0.0799  0.664555E-01     0.115092E-01
    0.0991  0.641690E-01     0.108807E-01
    0.1202  0.616830E-01     0.102171E-01
    0.1431  0.590260E-01     0.952771E-02
    0.1663  0.563658E-01     0.885981E-02
    0.1896  0.537295E-01     0.821914E-02
    0.2141  0.509919E-01     0.757610E-02
    0.2399  0.481771E-01     0.693790E-02
    0.2667  0.453138E-01     0.631124E-02
    0.2945  0.424312E-01     0.570214E-02
    0.3231  0.395584E-01     0.511585E-02
    0.3525  0.367229E-01     0.455677E-02
    0.3824  0.339529E-01     0.402839E-02
    0.4137  0.311729E-01     0.351606E-02
    0.4463  0.283970E-01     0.302596E-02
    0.4791  0.257220E-01     0.257783E-02
    0.5120  0.231519E-01     0.217226E-02
    0.5448  0.206925E-01     0.180920E-02
    0.5774  0.183513E-01     0.148798E-02
    0.6097  0.161362E-01     0.120729E-02
    0.6415  0.140558E-01     0.965289E-03
    0.6726  0.121175E-01     0.759623E-03
    0.7030  0.103281E-01     0.587542E-03
    0.7325  0.869279E-02     0.445979E-03
    0.7610  0.721523E-02     0.331656E-03
    0.7883  0.589706E-02     0.241184E-03
    0.8144  0.473792E-02     0.171169E-03
    0.8391  0.373536E-02     0.118305E-03
    0.8624  0.288475E-02     0.794596E-04
    0.8841  0.217939E-02     0.517515E-04
    0.9041  0.161047E-02     0.326063E-04
    0.9224  0.116662E-02     0.198031E-04
    0.9398  0.812817E-03     0.111110E-04
    0.9561  0.535055E-03     0.555211E-05
    0.9702  0.330753E-03     0.246254E-05
    0.9820  0.184439E-03     0.918340E-06
    0.9915  0.869003E-04     0.263486E-06
    0.9987  0.308360E-04     0.493046E-07
    1.0035  0.629326E-05     0.411370E-08
    1.0059  0.361521E-06     0.551789E-10
    1.0062   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0062276686844824     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.759524E-01    -0.143825E-01
   -0.0003  0.758201E-01    -0.143395E-01
   -0.0026  0.755554E-01    -0.142538E-01
   -0.0071  0.750271E-01    -0.140835E-01
   -0.0138  0.742369E-01    -0.138313E-01
   -0.0228  0.731872E-01    -0.135008E-01
   -0.0340  0.718804E-01    -0.130969E-01
