
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29508_18_d05cfe                                     
  Mach  =    0.850
  alpha =    2.159    CLtot =    0.157
  beta  =    0.000

  Sref  =   999.10000
  Bref  =    57.48000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0057237299930410     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.781822E-01     0.155019E-01
    0.0003  0.780632E-01     0.154605E-01
    0.0024  0.778252E-01     0.153777E-01
    0.0066  0.773502E-01     0.152132E-01
    0.0130  0.766401E-01     0.149692E-01
    0.0214  0.756980E-01     0.146491E-01
    0.0318  0.745276E-01     0.142569E-01
    0.0443  0.731341E-01     0.137981E-01
    0.0586  0.715236E-01     0.132785E-01
    0.0749  0.697037E-01     0.127051E-01
    0.0929  0.676834E-01     0.120853E-01
    0.1127  0.654753E-01     0.114270E-01
    0.1342  0.631015E-01     0.107386E-01
    0.1574  0.605629E-01     0.100192E-01
    0.1825  0.578714E-01     0.927778E-02
    0.2089  0.550519E-01     0.853182E-02
    0.2366  0.521123E-01     0.778990E-02
    0.2655  0.490707E-01     0.706027E-02
    0.2954  0.459529E-01     0.635066E-02
    0.3262  0.427889E-01     0.566799E-02
    0.3577  0.396114E-01     0.501830E-02
    0.3899  0.364539E-01     0.440652E-02
    0.4226  0.333531E-01     0.383644E-02
    0.4553  0.303732E-01     0.331359E-02
    0.4878  0.275394E-01     0.283828E-02
    0.5204  0.248389E-01     0.240746E-02
    0.5529  0.222771E-01     0.202077E-02
    0.5852  0.198562E-01     0.167718E-02
    0.6172  0.175783E-01     0.137520E-02
    0.6487  0.154460E-01     0.111283E-02
    0.6796  0.134610E-01     0.887692E-03
    0.7097  0.116250E-01     0.697066E-03
    0.7389  0.993859E-02     0.537997E-03
    0.7672  0.840166E-02     0.407358E-03
    0.7943  0.701315E-02     0.301939E-03
    0.8201  0.577106E-02     0.218518E-03
