
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29540_12_4fab72                                     
  Mach  =    0.850
  alpha =    1.921    CLtot =    0.146
  beta  =    0.000

  Sref  =  1165.30000
  Bref  =    61.83000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0059032831958596     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.731158E-01     0.144862E-01
    0.0003  0.730111E-01     0.144493E-01
    0.0023  0.728016E-01     0.143759E-01
    0.0063  0.723836E-01     0.142299E-01
    0.0123  0.717585E-01     0.140133E-01
    0.0203  0.709286E-01     0.137288E-01
    0.0302  0.698969E-01     0.133800E-01
    0.0420  0.686667E-01     0.129715E-01
    0.0556  0.672421E-01     0.125084E-01
    0.0710  0.656281E-01     0.119966E-01
    0.0882  0.638315E-01     0.114426E-01
    0.1069  0.618618E-01     0.108531E-01
    0.1273  0.597401E-01     0.102354E-01
    0.1491  0.574956E-01     0.959679E-02
    0.1732  0.550423E-01     0.891782E-02
    0.1997  0.523796E-01     0.820811E-02
    0.2274  0.496122E-01     0.750191E-02
    0.2562  0.467602E-01     0.680688E-02
    0.2861  0.438487E-01     0.613014E-02
    0.3169  0.409058E-01     0.547807E-02
    0.3485  0.379606E-01     0.485616E-02
    0.3807  0.350427E-01     0.426893E-02
    0.4133  0.321843E-01     0.371985E-02
    0.4463  0.294039E-01     0.320975E-02
    0.4795  0.267124E-01     0.274049E-02
    0.5127  0.241208E-01     0.231450E-02
    0.5458  0.216333E-01     0.193189E-02
    0.5788  0.192556E-01     0.159216E-02
    0.6113  0.169953E-01     0.129421E-02
    0.6434  0.148607E-01     0.103635E-02
    0.6749  0.128600E-01     0.816372E-03
    0.7055  0.110013E-01     0.631631E-03
    0.7353  0.929123E-02     0.479113E-03
    0.7641  0.773515E-02     0.355545E-03
    0.7917  0.633662E-02     0.257494E-03
    0.8181  0.509718E-02     0.181477E-03
    0.8430  0.401620E-02     0.124058E-03
    0.8665  0.309078E-02     0.819443E-04
    0.8884  0.231575E-02     0.520708E-04
    0.9086  0.168358E-02     0.316681E-04
    0.9271  0.118416E-02     0.183165E-04
    0.9440  0.798473E-03     0.986396E-05
    0.9591  0.511059E-03     0.483045E-05
    0.9723  0.307081E-03     0.210953E-05
    0.9833  0.168074E-03     0.782189E-06
    0.9922  0.792469E-04     0.225892E-06
    0.9989  0.286634E-04     0.429354E-07
    1.0034  0.597581E-05     0.364239E-08
    1.0056  0.345870E-06     0.492000E-10
    1.0059   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0059032831958596     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.731158E-01    -0.144862E-01
   -0.0003  0.730111E-01    -0.144493E-01
   -0.0023  0.728016E-01    -0.143759E-01
   -0.0063  0.723836E-01    -0.142299E-01
   -0.0123  0.717585E-01    -0.140133E-01
   -0.0203  0.709286E-01    -0.137288E-01
   -0.0302  0.698969E-01    -0.133800E-01
   -0.0420  0.686667E-01    -0.129715E-01
   -0.0556  0.672421E-01    -0.125084E-01
   -0.0710  0.656281E-01    -0.119966E-01
   -0.0882  0.638315E-01    -0.114426E-01
   -0.1069  0.618618E-01    -0.108531E-01
   -0.1273  0.597401E-01    -0.102354E-01
   -0.1491  0.574956E-01    -0.959679E-02
   -0.1732  0.550423E-01    -0.891782E-02
   -0.1997  0.523796E-01    -0.820811E-02
   -0.2274  0.496122E-01    -0.750191E-02
   -0.2562  0.467602E-01    -0.680688E-02
   -0.2861  0.438487E-01    -0.613014E-02
   -0.3169  0.409058E-01    -0.547807E-02
   -0.3485  0.379606E-01    -0.485616E-02
   -0.3807  0.350427E-01    -0.426893E-02
   -0.4133  0.321843E-01    -0.371985E-02
   -0.4463  0.294039E-01    -0.320975E-02
   -0.4795  0.267124E-01    -0.274049E-02
   -0.5127  0.241208E-01    -0.231450E-02
   -0.5458  0.216333E-01    -0.193189E-02
   -0.5788  0.192556E-01    -0.159216E-02
   -0.6113  0.169953E-01    -0.129421E-02
   -0.6434  0.148607E-01    -0.103635E-02
   -0.6749  0.128600E-01    -0.816372E-03
   -0.7055  0.110013E-01    -0.631631E-03
   -0.7353  0.929123E-02    -0.479113E-03
   -0.7641  0.773515E-02    -0.355545E-03
   -0.7917  0.633662E-02    -0.257494E-03
   -0.8181  0.509718E-02    -0.181477E-03
   -0.8430  0.401620E-02    -0.124058E-03
   -0.8665  0.309078E-02    -0.819443E-04
   -0.8884  0.231575E-02    -0.520708E-04
   -0.9086  0.168358E-02    -0.316681E-04
   -0.9271  0.118416E-02    -0.183165E-04
   -0.9440  0.798473E-03    -0.986396E-05
   -0.9591  0.511059E-03    -0.483045E-05
   -0.9723  0.307081E-03    -0.210953E-05
   -0.9833  0.168074E-03    -0.782189E-06
   -0.9922  0.792469E-04    -0.225892E-06
   -0.9989  0.286634E-04    -0.429354E-07
   -1.0034  0.597581E-05    -0.364239E-08
   -1.0056  0.345870E-06    -0.492000E-10
   -1.0059   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.13262170467410642     
     2Ymax/Bref =   0.20561216238072133     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1326  0.674809E-03     0.215135E-04
    0.1329  0.673188E-03     0.206894E-04
    0.1354  0.665791E-03     0.190522E-04
    0.1402  0.632098E-03     0.159863E-04
    0.1469  0.552881E-03     0.120278E-04
    0.1552  0.431664E-03     0.799968E-05
    0.1644  0.301060E-03     0.465602E-05
    0.1739  0.190663E-03     0.233298E-05
    0.1831  0.108633E-03     0.967193E-06
    0.1913  0.530019E-04     0.305887E-06
    0.1981  0.198262E-04     0.625981E-07
    0.2028  0.428776E-05     0.563725E-08
    0.2053  0.257174E-06     0.799768E-10
    0.2056   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.20561216238072133     
     2Ymax/Bref =  -0.13262170467410642     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1326  0.674809E-03    -0.215135E-04
   -0.1329  0.673188E-03    -0.206894E-04
   -0.1354  0.665791E-03    -0.190522E-04
   -0.1402  0.632098E-03    -0.159863E-04
   -0.1469  0.552881E-03    -0.120278E-04
   -0.1552  0.431664E-03    -0.799968E-05
   -0.1644  0.301060E-03    -0.465602E-05
   -0.1739  0.190663E-03    -0.233298E-05
   -0.1831  0.108633E-03    -0.967193E-06
   -0.1913  0.530019E-04    -0.305887E-06
   -0.1981  0.198262E-04    -0.625981E-07
   -0.2028  0.428776E-05    -0.563725E-08
   -0.2053  0.257174E-06    -0.799768E-10
   -0.2056   0.00000         -0.00000    
