
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29540_7_2407d5                                      
  Mach  =    0.850
  alpha =    2.565    CLtot =    0.188
  beta  =    0.000

  Sref  =   821.50000
  Bref  =    63.75000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0065286274509804     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.934823E-01     0.163780E-01
    0.0003  0.933042E-01     0.163261E-01
    0.0025  0.929482E-01     0.162226E-01
    0.0069  0.922374E-01     0.160171E-01
    0.0136  0.911747E-01     0.157130E-01
    0.0224  0.897635E-01     0.153150E-01
    0.0333  0.880087E-01     0.148294E-01
    0.0463  0.859159E-01     0.142637E-01
    0.0614  0.834927E-01     0.136270E-01
    0.0784  0.807491E-01     0.129290E-01
    0.0973  0.776994E-01     0.121809E-01
    0.1180  0.743715E-01     0.113941E-01
    0.1404  0.708189E-01     0.105805E-01
    0.1632  0.672734E-01     0.979424E-02
    0.1862  0.637444E-01     0.904218E-02
    0.2104  0.600636E-01     0.829227E-02
    0.2358  0.562660E-01     0.755380E-02
    0.2623  0.524048E-01     0.683529E-02
    0.2897  0.485376E-01     0.614409E-02
    0.3179  0.447211E-01     0.548629E-02
    0.3469  0.410146E-01     0.486645E-02
    0.3780  0.372832E-01     0.425454E-02
    0.4112  0.335900E-01     0.366099E-02
    0.4447  0.301245E-01     0.312158E-02
    0.4785  0.268784E-01     0.263588E-02
    0.5123  0.238451E-01     0.220275E-02
    0.5461  0.210207E-01     0.182046E-02
    0.5797  0.184029E-01     0.148670E-02
    0.6128  0.159896E-01     0.119866E-02
    0.6455  0.137786E-01     0.953134E-03
    0.6776  0.117668E-01     0.746578E-03
    0.7088  0.995031E-02     0.575251E-03
    0.7392  0.832375E-02     0.435301E-03
    0.7685  0.688069E-02     0.322864E-03
    0.7966  0.561333E-02     0.234157E-03
    0.8235  0.451258E-02     0.165560E-03
    0.8489  0.356809E-02     0.113682E-03
    0.8729  0.276818E-02     0.754238E-04
    0.8952  0.209971E-02     0.480168E-04
    0.9158  0.154821E-02     0.290542E-04
    0.9339  0.111435E-02     0.168204E-04
    0.9497  0.781061E-03     0.926349E-05
    0.9636  0.521410E-03     0.466996E-05
    0.9757  0.325074E-03     0.208693E-05
    0.9858  0.182856E-03     0.785034E-06
    0.9940  0.872217E-04     0.227646E-06
    1.0001  0.314159E-04     0.430891E-07
    1.0042  0.649430E-05     0.363190E-08
    1.0063  0.375724E-06     0.490393E-10
    1.0065   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0065286274509804     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.934823E-01    -0.163780E-01
   -0.0003  0.933042E-01    -0.163261E-01
   -0.0025  0.929482E-01    -0.162226E-01
   -0.0069  0.922374E-01    -0.160171E-01
   -0.0136  0.911747E-01    -0.157130E-01
   -0.0224  0.897635E-01    -0.153150E-01
   -0.0333  0.880087E-01    -0.148294E-01
   -0.0463  0.859159E-01    -0.142637E-01
   -0.0614  0.834927E-01    -0.136270E-01
   -0.0784  0.807491E-01    -0.129290E-01
   -0.0973  0.776994E-01    -0.121809E-01
   -0.1180  0.743715E-01    -0.113941E-01
   -0.1404  0.708189E-01    -0.105805E-01
   -0.1632  0.672734E-01    -0.979424E-02
   -0.1862  0.637444E-01    -0.904218E-02
   -0.2104  0.600636E-01    -0.829227E-02
   -0.2358  0.562660E-01    -0.755380E-02
   -0.2623  0.524048E-01    -0.683529E-02
   -0.2897  0.485376E-01    -0.614409E-02
   -0.3179  0.447211E-01    -0.548629E-02
   -0.3469  0.410146E-01    -0.486645E-02
   -0.3780  0.372832E-01    -0.425454E-02
   -0.4112  0.335900E-01    -0.366099E-02
   -0.4447  0.301245E-01    -0.312158E-02
   -0.4785  0.268784E-01    -0.263588E-02
   -0.5123  0.238451E-01    -0.220275E-02
   -0.5461  0.210207E-01    -0.182046E-02
   -0.5797  0.184029E-01    -0.148670E-02
   -0.6128  0.159896E-01    -0.119866E-02
   -0.6455  0.137786E-01    -0.953134E-03
   -0.6776  0.117668E-01    -0.746578E-03
   -0.7088  0.995031E-02    -0.575251E-03
   -0.7392  0.832375E-02    -0.435301E-03
   -0.7685  0.688069E-02    -0.322864E-03
   -0.7966  0.561333E-02    -0.234157E-03
   -0.8235  0.451258E-02    -0.165560E-03
   -0.8489  0.356809E-02    -0.113682E-03
   -0.8729  0.276818E-02    -0.754238E-04
   -0.8952  0.209971E-02    -0.480168E-04
   -0.9158  0.154821E-02    -0.290542E-04
   -0.9339  0.111435E-02    -0.168204E-04
   -0.9497  0.781061E-03    -0.926349E-05
   -0.9636  0.521410E-03    -0.466996E-05
   -0.9757  0.325074E-03    -0.208693E-05
   -0.9858  0.182856E-03    -0.785034E-06
   -0.9940  0.872217E-04    -0.227646E-06
   -1.0001  0.314159E-04    -0.430891E-07
   -1.0042  0.649430E-05    -0.363190E-08
   -1.0063  0.375724E-06    -0.490393E-10
   -1.0065   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12862745098039213     
     2Ymax/Bref =   0.19941960784313725     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1286  0.105457E-02     0.358043E-04
    0.1289  0.105148E-02     0.345555E-04
    0.1313  0.103875E-02     0.320767E-04
    0.1359  0.988354E-03     0.274325E-04
    0.1425  0.884063E-03     0.213660E-04
    0.1505  0.732594E-03     0.149508E-04
    0.1594  0.558911E-03     0.923476E-05
    0.1686  0.387748E-03     0.489715E-05
    0.1776  0.237949E-03     0.212789E-05
    0.1856  0.122551E-03     0.697368E-06
    0.1921  0.475237E-04     0.146329E-06
    0.1967  0.104992E-04     0.133980E-07
    0.1991  0.636524E-06     0.191987E-09
    0.1994   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.19941960784313725     
     2Ymax/Bref =  -0.12862745098039213     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1286  0.105457E-02    -0.358043E-04
   -0.1289  0.105148E-02    -0.345555E-04
   -0.1313  0.103875E-02    -0.320767E-04
   -0.1359  0.988354E-03    -0.274325E-04
   -0.1425  0.884063E-03    -0.213660E-04
   -0.1505  0.732594E-03    -0.149508E-04
   -0.1594  0.558911E-03    -0.923476E-05
   -0.1686  0.387748E-03    -0.489715E-05
   -0.1776  0.237949E-03    -0.212789E-05
   -0.1856  0.122551E-03    -0.697368E-06
   -0.1921  0.475237E-04    -0.146329E-06
   -0.1967  0.104992E-04    -0.133980E-07
   -0.1991  0.636524E-06    -0.191987E-09
   -0.1994   0.00000         -0.00000    
