
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29616_13_ea22b8                                     
  Mach  =    0.850
  alpha =    1.828    CLtot =    0.150
  beta  =    0.000

  Sref  =  1164.20000
  Bref  =    74.74000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0067781643029168     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.747853E-01     0.137141E-01
    0.0003  0.746557E-01     0.136745E-01
    0.0024  0.743964E-01     0.135956E-01
    0.0066  0.738788E-01     0.134389E-01
    0.0129  0.731046E-01     0.132067E-01
    0.0213  0.720761E-01     0.129024E-01
    0.0317  0.707961E-01     0.125305E-01
    0.0441  0.692677E-01     0.120964E-01
    0.0585  0.674956E-01     0.116066E-01
    0.0747  0.654865E-01     0.110681E-01
    0.0927  0.632543E-01     0.104889E-01
    0.1124  0.608454E-01     0.987714E-02
    0.1339  0.582879E-01     0.923847E-02
    0.1570  0.555844E-01     0.858134E-02
    0.1815  0.527535E-01     0.791661E-02
    0.2074  0.498103E-01     0.725255E-02
    0.2346  0.467827E-01     0.659710E-02
    0.2629  0.437059E-01     0.595756E-02
    0.2922  0.406168E-01     0.534037E-02
    0.3223  0.375529E-01     0.475098E-02
    0.3536  0.345108E-01     0.418548E-02
    0.3858  0.315250E-01     0.364901E-02
    0.4185  0.286537E-01     0.315260E-02
    0.4515  0.259043E-01     0.269766E-02
    0.4848  0.232816E-01     0.228487E-02
    0.5181  0.207906E-01     0.191420E-02
    0.5514  0.184365E-01     0.158499E-02
    0.5844  0.162243E-01     0.129597E-02
    0.6171  0.141588E-01     0.104534E-02
    0.6493  0.122435E-01     0.830853E-03
    0.6809  0.104813E-01     0.649869E-03
    0.7117  0.887387E-02     0.499474E-03
    0.7416  0.742129E-02     0.376557E-03
    0.7704  0.612243E-02     0.277908E-03
    0.7982  0.497456E-02     0.200306E-03
    0.8246  0.397347E-02     0.140601E-03
    0.8497  0.311342E-02     0.957878E-04
    0.8732  0.238724E-02     0.630747E-04
    0.8952  0.178636E-02     0.399303E-04
    0.9155  0.130086E-02     0.241239E-04
    0.9340  0.918865E-03     0.137519E-04
    0.9502  0.631708E-03     0.740457E-05
    0.9641  0.419248E-03     0.371529E-05
    0.9761  0.260236E-03     0.165147E-05
    0.9861  0.145428E-03     0.616530E-06
    0.9943  0.685732E-04     0.176923E-06
    1.0004  0.243189E-04     0.330875E-07
    1.0045  0.495731E-05     0.275805E-08
    1.0065  0.284607E-06     0.369744E-10
    1.0068   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0067781643029168     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.747853E-01    -0.137141E-01
   -0.0003  0.746557E-01    -0.136745E-01
   -0.0024  0.743964E-01    -0.135956E-01
   -0.0066  0.738788E-01    -0.134389E-01
   -0.0129  0.731046E-01    -0.132067E-01
   -0.0213  0.720761E-01    -0.129024E-01
   -0.0317  0.707961E-01    -0.125305E-01
   -0.0441  0.692677E-01    -0.120964E-01
   -0.0585  0.674956E-01    -0.116066E-01
   -0.0747  0.654865E-01    -0.110681E-01
   -0.0927  0.632543E-01    -0.104889E-01
   -0.1124  0.608454E-01    -0.987714E-02
   -0.1339  0.582879E-01    -0.923847E-02
   -0.1570  0.555844E-01    -0.858134E-02
   -0.1815  0.527535E-01    -0.791661E-02
   -0.2074  0.498103E-01    -0.725255E-02
   -0.2346  0.467827E-01    -0.659710E-02
   -0.2629  0.437059E-01    -0.595756E-02
   -0.2922  0.406168E-01    -0.534037E-02
   -0.3223  0.375529E-01    -0.475098E-02
   -0.3536  0.345108E-01    -0.418548E-02
   -0.3858  0.315250E-01    -0.364901E-02
   -0.4185  0.286537E-01    -0.315260E-02
   -0.4515  0.259043E-01    -0.269766E-02
   -0.4848  0.232816E-01    -0.228487E-02
   -0.5181  0.207906E-01    -0.191420E-02
   -0.5514  0.184365E-01    -0.158499E-02
   -0.5844  0.162243E-01    -0.129597E-02
   -0.6171  0.141588E-01    -0.104534E-02
   -0.6493  0.122435E-01    -0.830853E-03
   -0.6809  0.104813E-01    -0.649869E-03
   -0.7117  0.887387E-02    -0.499474E-03
   -0.7416  0.742129E-02    -0.376557E-03
   -0.7704  0.612243E-02    -0.277908E-03
   -0.7982  0.497456E-02    -0.200306E-03
   -0.8246  0.397347E-02    -0.140601E-03
   -0.8497  0.311342E-02    -0.957878E-04
   -0.8732  0.238724E-02    -0.630747E-04
   -0.8952  0.178636E-02    -0.399303E-04
   -0.9155  0.130086E-02    -0.241239E-04
   -0.9340  0.918865E-03    -0.137519E-04
   -0.9502  0.631708E-03    -0.740457E-05
   -0.9641  0.419248E-03    -0.371529E-05
   -0.9761  0.260236E-03    -0.165147E-05
   -0.9861  0.145428E-03    -0.616530E-06
   -0.9943  0.685732E-04    -0.176923E-06
   -1.0004  0.243189E-04    -0.330875E-07
   -1.0045  0.495731E-05    -0.275805E-08
   -1.0065  0.284607E-06    -0.369744E-10
   -1.0068   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.10971367407010971     
     2Ymax/Bref =   0.17009633395772009     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1097  0.926602E-03     0.262479E-04
    0.1100  0.924163E-03     0.253118E-04
    0.1120  0.913893E-03     0.234526E-04
    0.1160  0.871605E-03     0.199635E-04
    0.1215  0.779126E-03     0.154016E-04
    0.1284  0.637660E-03     0.106062E-04
    0.1360  0.473354E-03     0.641204E-05
    0.1438  0.317372E-03     0.332167E-05
    0.1515  0.188524E-03     0.141186E-05
    0.1583  0.944650E-04     0.454038E-06
    0.1639  0.358682E-04     0.938543E-07
    0.1678  0.781175E-05     0.849782E-08
    0.1698  0.469711E-06     0.120841E-09
    0.1701   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.17009633395772009     
     2Ymax/Bref =  -0.10971367407010971     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1097  0.926602E-03    -0.262479E-04
   -0.1100  0.924163E-03    -0.253118E-04
   -0.1120  0.913893E-03    -0.234526E-04
