
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29616_3_c03aae                                      
  Mach  =    0.850
  alpha =    1.868    CLtot =    0.173
  beta  =    0.000

  Sref  =   863.90000
  Bref  =    63.49000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063348558828162     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.864536E-01     0.164019E-01
    0.0003  0.863150E-01     0.163565E-01
    0.0024  0.860380E-01     0.162658E-01
    0.0066  0.854849E-01     0.160858E-01
    0.0128  0.846578E-01     0.158189E-01
    0.0212  0.835597E-01     0.154688E-01
    0.0315  0.821940E-01     0.150403E-01
    0.0438  0.805653E-01     0.145395E-01
    0.0581  0.786788E-01     0.139731E-01
    0.0742  0.765419E-01     0.133490E-01
    0.0920  0.741644E-01     0.126757E-01
    0.1116  0.715635E-01     0.119624E-01
    0.1329  0.687842E-01     0.112182E-01
    0.1567  0.657204E-01     0.104178E-01
    0.1830  0.623562E-01     0.957365E-02
    0.2109  0.588206E-01     0.873086E-02
    0.2400  0.551456E-01     0.790015E-02
    0.2704  0.513834E-01     0.709137E-02
    0.3019  0.475848E-01     0.631323E-02
    0.3343  0.437965E-01     0.557311E-02
    0.3675  0.400653E-01     0.487694E-02
    0.3999  0.365942E-01     0.425351E-02
    0.4313  0.334050E-01     0.369890E-02
    0.4631  0.303562E-01     0.318823E-02
    0.4950  0.274469E-01     0.272228E-02
    0.5270  0.246783E-01     0.230121E-02
    0.5590  0.220538E-01     0.192450E-02
    0.5907  0.195775E-01     0.159107E-02
    0.6221  0.172537E-01     0.129926E-02
    0.6530  0.150861E-01     0.104691E-02
    0.6834  0.130777E-01     0.831473E-03
    0.7129  0.112304E-01     0.650054E-03
    0.7417  0.954479E-02     0.499535E-03
    0.7694  0.802010E-02     0.376652E-03
    0.7960  0.665417E-02     0.278088E-03
    0.8214  0.544343E-02     0.200556E-03
    0.8455  0.438293E-02     0.140875E-03
    0.8681  0.346641E-02     0.960385E-04
    0.8892  0.268631E-02     0.632670E-04
    0.9087  0.203374E-02     0.400552E-04
    0.9265  0.149825E-02     0.242036E-04
    0.9432  0.105016E-02     0.134438E-04
    0.9587  0.686649E-03     0.664205E-05
    0.9721  0.416918E-03     0.290266E-05
    0.9833  0.227596E-03     0.106827E-05
    0.9924  0.105704E-03     0.304442E-06
    0.9992  0.374975E-04     0.570735E-07
    1.0038  0.773061E-05     0.480150E-08
    1.0060  0.448356E-06     0.649814E-10
    1.0063   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0063348558828162     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.864536E-01    -0.164019E-01
   -0.0003  0.863150E-01    -0.163565E-01
   -0.0024  0.860380E-01    -0.162658E-01
   -0.0066  0.854849E-01    -0.160858E-01
   -0.0128  0.846578E-01    -0.158189E-01
   -0.0212  0.835597E-01    -0.154688E-01
   -0.0315  0.821940E-01    -0.150403E-01
   -0.0438  0.805653E-01    -0.145395E-01
   -0.0581  0.786788E-01    -0.139731E-01
   -0.0742  0.765419E-01    -0.133490E-01
   -0.0920  0.741644E-01    -0.126757E-01
   -0.1116  0.715635E-01    -0.119624E-01
   -0.1329  0.687842E-01    -0.112182E-01
   -0.1567  0.657204E-01    -0.104178E-01
   -0.1830  0.623562E-01    -0.957365E-02
   -0.2109  0.588206E-01    -0.873086E-02
   -0.2400  0.551456E-01    -0.790015E-02
   -0.2704  0.513834E-01    -0.709137E-02
   -0.3019  0.475848E-01    -0.631323E-02
   -0.3343  0.437965E-01    -0.557311E-02
   -0.3675  0.400653E-01    -0.487694E-02
   -0.3999  0.365942E-01    -0.425351E-02
   -0.4313  0.334050E-01    -0.369890E-02
   -0.4631  0.303562E-01    -0.318823E-02
   -0.4950  0.274469E-01    -0.272228E-02
   -0.5270  0.246783E-01    -0.230121E-02
   -0.5590  0.220538E-01    -0.192450E-02
   -0.5907  0.195775E-01    -0.159107E-02
   -0.6221  0.172537E-01    -0.129926E-02
   -0.6530  0.150861E-01    -0.104691E-02
   -0.6834  0.130777E-01    -0.831473E-03
   -0.7129  0.112304E-01    -0.650054E-03
   -0.7417  0.954479E-02    -0.499535E-03
   -0.7694  0.802010E-02    -0.376652E-03
   -0.7960  0.665417E-02    -0.278088E-03
   -0.8214  0.544343E-02    -0.200556E-03
   -0.8455  0.438293E-02    -0.140875E-03
   -0.8681  0.346641E-02    -0.960385E-04
   -0.8892  0.268631E-02    -0.632670E-04
   -0.9087  0.203374E-02    -0.400552E-04
