
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29840_0_98027e                                      
  Mach  =    0.850
  alpha =    2.120    CLtot =    0.162
  beta  =    0.000

  Sref  =   996.50000
  Bref  =    64.61000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061321776814736     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.807770E-01     0.149023E-01
    0.0003  0.806382E-01     0.148582E-01
    0.0025  0.803606E-01     0.147702E-01
    0.0068  0.798066E-01     0.145956E-01
    0.0133  0.789783E-01     0.143368E-01
    0.0220  0.778785E-01     0.139977E-01
    0.0327  0.765114E-01     0.135831E-01
    0.0455  0.748817E-01     0.130991E-01
    0.0603  0.729953E-01     0.125527E-01
    0.0770  0.708598E-01     0.119518E-01
    0.0956  0.684854E-01     0.113051E-01
    0.1160  0.658909E-01     0.106217E-01
    0.1380  0.631138E-01     0.991112E-02
    0.1610  0.602536E-01     0.920253E-02
    0.1848  0.573066E-01     0.850373E-02
    0.2099  0.542066E-01     0.780426E-02
    0.2362  0.509766E-01     0.711281E-02
    0.2636  0.476493E-01     0.643751E-02
    0.2920  0.442646E-01     0.578576E-02
    0.3212  0.408697E-01     0.516390E-02
    0.3512  0.375174E-01     0.457704E-02
    0.3818  0.342622E-01     0.402887E-02
    0.4136  0.310777E-01     0.350619E-02
    0.4466  0.280138E-01     0.301389E-02
    0.4799  0.251525E-01     0.256810E-02
    0.5132  0.224827E-01     0.216783E-02
    0.5464  0.199956E-01     0.181165E-02
    0.5794  0.176850E-01     0.149773E-02
    0.6121  0.155460E-01     0.122386E-02
    0.6442  0.135744E-01     0.987503E-03
    0.6758  0.117662E-01     0.785869E-03
    0.7065  0.101168E-01     0.615985E-03
    0.7364  0.862122E-02     0.474770E-03
    0.7653  0.727396E-02     0.359098E-03
    0.7929  0.606859E-02     0.265877E-03
    0.8194  0.499792E-02     0.192103E-03
    0.8444  0.405385E-02     0.134917E-03
    0.8679  0.322752E-02     0.916528E-04
    0.8899  0.251009E-02     0.598641E-04
    0.9102  0.189513E-02     0.373298E-04
    0.9287  0.138182E-02     0.220317E-04
    0.9454  0.967095E-03     0.120989E-04
    0.9603  0.640957E-03     0.604047E-05
    0.9732  0.393873E-03     0.266709E-05
    0.9840  0.217688E-03     0.992549E-06
    0.9927  0.102608E-03     0.286387E-06
    0.9993  0.370073E-04     0.543675E-07
    1.0037  0.773283E-05     0.462222E-08
    1.0059  0.450839E-06     0.628612E-10
    1.0061   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0061321776814736     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.807770E-01    -0.149023E-01
   -0.0003  0.806382E-01    -0.148582E-01
   -0.0025  0.803606E-01    -0.147702E-01
   -0.0068  0.798066E-01    -0.145956E-01
   -0.0133  0.789783E-01    -0.143368E-01
   -0.0220  0.778785E-01    -0.139977E-01
   -0.0327  0.765114E-01    -0.135831E-01
   -0.0455  0.748817E-01    -0.130991E-01
   -0.0603  0.729953E-01    -0.125527E-01
   -0.0770  0.708598E-01    -0.119518E-01
   -0.0956  0.684854E-01    -0.113051E-01
   -0.1160  0.658909E-01    -0.106217E-01
   -0.1380  0.631138E-01    -0.991112E-02
   -0.1610  0.602536E-01    -0.920253E-02
   -0.1848  0.573066E-01    -0.850373E-02
   -0.2099  0.542066E-01    -0.780426E-02
   -0.2362  0.509766E-01    -0.711281E-02
   -0.2636  0.476493E-01    -0.643751E-02
   -0.2920  0.442646E-01    -0.578576E-02
   -0.3212  0.408697E-01    -0.516390E-02
   -0.3512  0.375174E-01    -0.457704E-02
   -0.3818  0.342622E-01    -0.402887E-02
   -0.4136  0.310777E-01    -0.350619E-02
   -0.4466  0.280138E-01    -0.301389E-02
   -0.4799  0.251525E-01    -0.256810E-02
   -0.5132  0.224827E-01    -0.216783E-02
   -0.5464  0.199956E-01    -0.181165E-02
   -0.5794  0.176850E-01    -0.149773E-02
   -0.6121  0.155460E-01    -0.122386E-02
   -0.6442  0.135744E-01    -0.987503E-03
   -0.6758  0.117662E-01    -0.785869E-03
   -0.7065  0.101168E-01    -0.615985E-03
   -0.7364  0.862122E-02    -0.474770E-03
   -0.7653  0.727396E-02    -0.359098E-03
   -0.7929  0.606859E-02    -0.265877E-03
   -0.8194  0.499792E-02    -0.192103E-03
   -0.8444  0.405385E-02    -0.134917E-03
   -0.8679  0.322752E-02    -0.916528E-04
   -0.8899  0.251009E-02    -0.598641E-04
   -0.9102  0.189513E-02    -0.373298E-04
   -0.9287  0.138182E-02    -0.220317E-04
   -0.9454  0.967095E-03    -0.120989E-04
   -0.9603  0.640957E-03    -0.604047E-05
   -0.9732  0.393873E-03    -0.266709E-05
   -0.9840  0.217688E-03    -0.992549E-06
   -0.9927  0.102608E-03    -0.286387E-06
   -0.9993  0.370073E-04    -0.543675E-07
   -1.0037  0.773283E-05    -0.462222E-08
   -1.0059  0.450839E-06    -0.628612E-10
