
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_29840_15_d8d0b9                                     
  Mach  =    0.850
  alpha =    2.001    CLtot =    0.177
  beta  =    0.000

  Sref  =   905.00000
  Bref  =    64.85000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062606013878181     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.881517E-01     0.161368E-01
    0.0003  0.880075E-01     0.160925E-01
    0.0023  0.877190E-01     0.160042E-01
    0.0063  0.871432E-01     0.158287E-01
    0.0123  0.862820E-01     0.155686E-01
    0.0202  0.851382E-01     0.152276E-01
    0.0301  0.837147E-01     0.148104E-01
    0.0419  0.820153E-01     0.143228E-01
    0.0555  0.800446E-01     0.137718E-01
    0.0709  0.778093E-01     0.131651E-01
    0.0880  0.753198E-01     0.125111E-01
    0.1067  0.725960E-01     0.118190E-01
    0.1270  0.696977E-01     0.110978E-01
    0.1508  0.663970E-01     0.102889E-01
    0.1781  0.626862E-01     0.940798E-02
    0.2069  0.588184E-01     0.853297E-02
    0.2371  0.548236E-01     0.767526E-02
    0.2686  0.507636E-01     0.684522E-02
    0.3011  0.466961E-01     0.605179E-02
    0.3347  0.426720E-01     0.530233E-02
    0.3691  0.387401E-01     0.460255E-02
    0.4020  0.351763E-01     0.399151E-02
    0.4333  0.319876E-01     0.346134E-02
    0.4650  0.289565E-01     0.297503E-02
    0.4968  0.260812E-01     0.253302E-02
    0.5287  0.233612E-01     0.213509E-02
    0.5605  0.207979E-01     0.178045E-02
    0.5921  0.183933E-01     0.146772E-02
    0.6234  0.161496E-01     0.119505E-02
    0.6542  0.140683E-01     0.960131E-03
    0.6844  0.121504E-01     0.760313E-03
    0.7139  0.103955E-01     0.592669E-03
    0.7425  0.880232E-02     0.454093E-03
    0.7701  0.736841E-02     0.341382E-03
    0.7966  0.609000E-02     0.251319E-03
    0.8220  0.496222E-02     0.180749E-03
    0.8459  0.397913E-02     0.126644E-03
    0.8685  0.313390E-02     0.861639E-04
    0.8895  0.241885E-02     0.566975E-04
    0.9089  0.182526E-02     0.359034E-04
    0.9267  0.134279E-02     0.217377E-04
    0.9433  0.942373E-03     0.121214E-04
    0.9588  0.618958E-03     0.602473E-05
    0.9721  0.378917E-03     0.265338E-05
    0.9833  0.209142E-03     0.984561E-06
    0.9923  0.981471E-04     0.282407E-06
    0.9991  0.349948E-04     0.530886E-07
    1.0037  0.720426E-05     0.446024E-08
    1.0060  0.416103E-06     0.601304E-10
    1.0063   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0062606013878181     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.881517E-01    -0.161368E-01
   -0.0003  0.880075E-01    -0.160925E-01
   -0.0023  0.877190E-01    -0.160042E-01
   -0.0063  0.871432E-01    -0.158287E-01
   -0.0123  0.862820E-01    -0.155686E-01
   -0.0202  0.851382E-01    -0.152276E-01
   -0.0301  0.837147E-01    -0.148104E-01
   -0.0419  0.820153E-01    -0.143228E-01
   -0.0555  0.800446E-01    -0.137718E-01
   -0.0709  0.778093E-01    -0.131651E-01
   -0.0880  0.753198E-01    -0.125111E-01
   -0.1067  0.725960E-01    -0.118190E-01
   -0.1270  0.696977E-01    -0.110978E-01
   -0.1508  0.663970E-01    -0.102889E-01
   -0.1781  0.626862E-01    -0.940798E-02
   -0.2069  0.588184E-01    -0.853297E-02
   -0.2371  0.548236E-01    -0.767526E-02
   -0.2686  0.507636E-01    -0.684522E-02
   -0.3011  0.466961E-01    -0.605179E-02
   -0.3347  0.426720E-01    -0.530233E-02
   -0.3691  0.387401E-01    -0.460255E-02
   -0.4020  0.351763E-01    -0.399151E-02
   -0.4333  0.319876E-01    -0.346134E-02
   -0.4650  0.289565E-01    -0.297503E-02
   -0.4968  0.260812E-01    -0.253302E-02
   -0.5287  0.233612E-01    -0.213509E-02
   -0.5605  0.207979E-01    -0.178045E-02
   -0.5921  0.183933E-01    -0.146772E-02
   -0.6234  0.161496E-01    -0.119505E-02
   -0.6542  0.140683E-01    -0.960131E-03
   -0.6844  0.121504E-01    -0.760313E-03
   -0.7139  0.103955E-01    -0.592669E-03
   -0.7425  0.880232E-02    -0.454093E-03
   -0.7701  0.736841E-02    -0.341382E-03
   -0.7966  0.609000E-02    -0.251319E-03
   -0.8220  0.496222E-02    -0.180749E-03
   -0.8459  0.397913E-02    -0.126644E-03
   -0.8685  0.313390E-02    -0.861639E-04
   -0.8895  0.241885E-02    -0.566975E-04
   -0.9089  0.182526E-02    -0.359034E-04
   -0.9267  0.134279E-02    -0.217377E-04
   -0.9433  0.942373E-03    -0.121214E-04
