
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_30216_15_5dd1c4                                     
  Mach  =    0.850
  alpha =    2.399    CLtot =    0.192
  beta  =    0.000

  Sref  =   817.80000
  Bref  =    63.31000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060401200442268     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.954920E-01     0.165839E-01
    0.0003  0.953118E-01     0.165319E-01
    0.0025  0.949514E-01     0.164282E-01
    0.0068  0.942319E-01     0.162224E-01
    0.0133  0.931560E-01     0.159177E-01
    0.0219  0.917269E-01     0.155189E-01
    0.0327  0.899485E-01     0.150322E-01
    0.0454  0.878258E-01     0.144652E-01
    0.0602  0.853647E-01     0.138268E-01
    0.0769  0.825739E-01     0.131270E-01
    0.0954  0.794668E-01     0.123767E-01
    0.1157  0.760698E-01     0.115876E-01
    0.1377  0.724476E-01     0.107714E-01
    0.1611  0.686879E-01     0.994764E-02
    0.1857  0.647945E-01     0.912675E-02
    0.2116  0.607396E-01     0.831211E-02
    0.2389  0.565564E-01     0.751436E-02
    0.2672  0.523049E-01     0.674321E-02
    0.2966  0.480487E-01     0.600700E-02
    0.3268  0.438513E-01     0.531251E-02
    0.3578  0.397813E-01     0.466472E-02
    0.3894  0.359128E-01     0.406667E-02
    0.4217  0.322987E-01     0.351464E-02
    0.4544  0.289600E-01     0.300919E-02
    0.4873  0.258788E-01     0.255378E-02
    0.5203  0.230282E-01     0.214676E-02
    0.5532  0.203912E-01     0.178618E-02
    0.5859  0.179563E-01     0.146978E-02
    0.6182  0.157145E-01     0.119494E-02
    0.6501  0.136582E-01     0.958823E-03
    0.6813  0.117804E-01     0.758351E-03
    0.7118  0.100740E-01     0.590318E-03
    0.7414  0.853205E-02     0.451442E-03
    0.7699  0.714734E-02     0.338435E-03
    0.7974  0.591237E-02     0.248066E-03
    0.8235  0.481956E-02     0.177208E-03
    0.8483  0.386134E-02     0.122891E-03
    0.8716  0.303044E-02     0.823349E-04
    0.8934  0.232024E-02     0.529743E-04
    0.9135  0.172477E-02     0.324810E-04
    0.9318  0.123764E-02     0.187840E-04
    0.9481  0.854736E-03     0.101710E-04
    0.9623  0.563074E-03     0.507140E-05
    0.9746  0.345852E-03     0.224271E-05
    0.9849  0.191928E-03     0.836926E-06
    0.9932  0.908369E-04     0.241760E-06
    0.9995  0.326994E-04     0.457647E-07
    1.0037  0.677454E-05     0.386373E-08
    1.0058  0.391695E-06     0.521396E-10
    1.0060   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0060401200442268     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.954920E-01    -0.165839E-01
   -0.0003  0.953118E-01    -0.165319E-01
   -0.0025  0.949514E-01    -0.164282E-01
   -0.0068  0.942319E-01    -0.162224E-01
   -0.0133  0.931560E-01    -0.159177E-01
   -0.0219  0.917269E-01    -0.155189E-01
   -0.0327  0.899485E-01    -0.150322E-01
   -0.0454  0.878258E-01    -0.144652E-01
   -0.0602  0.853647E-01    -0.138268E-01
   -0.0769  0.825739E-01    -0.131270E-01
   -0.0954  0.794668E-01    -0.123767E-01
   -0.1157  0.760698E-01    -0.115876E-01
   -0.1377  0.724476E-01    -0.107714E-01
   -0.1611  0.686879E-01    -0.994764E-02
   -0.1857  0.647945E-01    -0.912675E-02
   -0.2116  0.607396E-01    -0.831211E-02
   -0.2389  0.565564E-01    -0.751436E-02
   -0.2672  0.523049E-01    -0.674321E-02
   -0.2966  0.480487E-01    -0.600700E-02
   -0.3268  0.438513E-01    -0.531251E-02
   -0.3578  0.397813E-01    -0.466472E-02
   -0.3894  0.359128E-01    -0.406667E-02
   -0.4217  0.322987E-01    -0.351464E-02
   -0.4544  0.289600E-01    -0.300919E-02
   -0.4873  0.258788E-01    -0.255378E-02
   -0.5203  0.230282E-01    -0.214676E-02
   -0.5532  0.203912E-01    -0.178618E-02
   -0.5859  0.179563E-01    -0.146978E-02
   -0.6182  0.157145E-01    -0.119494E-02
