
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_30216_2_e70bfd                                      
  Mach  =    0.850
  alpha =    1.713    CLtot =    0.153
  beta  =    0.000

  Sref  =  1019.10000
  Bref  =    61.98000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0058664085188771     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.764007E-01     0.148086E-01
    0.0003  0.762854E-01     0.147696E-01
    0.0023  0.760547E-01     0.146919E-01
    0.0064  0.755946E-01     0.145374E-01
    0.0125  0.749074E-01     0.143082E-01
    0.0206  0.739969E-01     0.140074E-01
    0.0306  0.728681E-01     0.136389E-01
    0.0425  0.715274E-01     0.132076E-01
    0.0564  0.699823E-01     0.127191E-01
    0.0720  0.682417E-01     0.121797E-01
    0.0893  0.663159E-01     0.115962E-01
    0.1084  0.642180E-01     0.109760E-01
    0.1290  0.619687E-01     0.103266E-01
    0.1510  0.595892E-01     0.965570E-02
    0.1750  0.570286E-01     0.895655E-02
    0.2009  0.542709E-01     0.823837E-02
    0.2279  0.513621E-01     0.752401E-02
    0.2561  0.483196E-01     0.682188E-02
    0.2853  0.451740E-01     0.613987E-02
    0.3154  0.419626E-01     0.548510E-02
    0.3462  0.387287E-01     0.486363E-02
    0.3776  0.355199E-01     0.428032E-02
    0.4096  0.323865E-01     0.373862E-02
    0.4424  0.293353E-01     0.322944E-02
    0.4761  0.264222E-01     0.275617E-02
    0.5098  0.237008E-01     0.232981E-02
    0.5434  0.211556E-01     0.194906E-02
    0.5768  0.187767E-01     0.161229E-02
    0.6099  0.165582E-01     0.131750E-02
    0.6425  0.144962E-01     0.106235E-02
    0.6744  0.125880E-01     0.844186E-03
    0.7055  0.108314E-01     0.660138E-03
    0.7358  0.922433E-02     0.507132E-03
    0.7650  0.776481E-02     0.381979E-03
    0.7930  0.645059E-02     0.281438E-03
    0.8197  0.527920E-02     0.202279E-03
    0.8451  0.424773E-02     0.141351E-03
    0.8689  0.335264E-02     0.956359E-04
    0.8911  0.258944E-02     0.623092E-04
    0.9117  0.195195E-02     0.387926E-04
    0.9304  0.143082E-02     0.228062E-04
    0.9470  0.101455E-02     0.125475E-04
    0.9614  0.684179E-03     0.634136E-05
    0.9739  0.426674E-03     0.282989E-05
    0.9844  0.238766E-03     0.106304E-05
    0.9928  0.113770E-03     0.309346E-06
    0.9992  0.414560E-04     0.591994E-07
    1.0035  0.874641E-05     0.507229E-08
    1.0056  0.513855E-06     0.694764E-10
    1.0059   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0058664085188771     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.764007E-01    -0.148086E-01
   -0.0003  0.762854E-01    -0.147696E-01
   -0.0023  0.760547E-01    -0.146919E-01
   -0.0064  0.755946E-01    -0.145374E-01
   -0.0125  0.749074E-01    -0.143082E-01
   -0.0206  0.739969E-01    -0.140074E-01
   -0.0306  0.728681E-01    -0.136389E-01
   -0.0425  0.715274E-01    -0.132076E-01
   -0.0564  0.699823E-01    -0.127191E-01
   -0.0720  0.682417E-01    -0.121797E-01
   -0.0893  0.663159E-01    -0.115962E-01
   -0.1084  0.642180E-01    -0.109760E-01
   -0.1290  0.619687E-01    -0.103266E-01
   -0.1510  0.595892E-01    -0.965570E-02
   -0.1750  0.570286E-01    -0.895655E-02
   -0.2009  0.542709E-01    -0.823837E-02
   -0.2279  0.513621E-01    -0.752401E-02
   -0.2561  0.483196E-01    -0.682188E-02
   -0.2853  0.451740E-01    -0.613987E-02
   -0.3154  0.419626E-01    -0.548510E-02
   -0.3462  0.387287E-01    -0.486363E-02
   -0.3776  0.355199E-01    -0.428032E-02
   -0.4096  0.323865E-01    -0.373862E-02
   -0.4424  0.293353E-01    -0.322944E-02
   -0.4761  0.264222E-01    -0.275617E-02
   -0.5098  0.237008E-01    -0.232981E-02
   -0.5434  0.211556E-01    -0.194906E-02
   -0.5768  0.187767E-01    -0.161229E-02
   -0.6099  0.165582E-01    -0.131750E-02
   -0.6425  0.144962E-01    -0.106235E-02
   -0.6744  0.125880E-01    -0.844186E-03
   -0.7055  0.108314E-01    -0.660138E-03
   -0.7358  0.922433E-02    -0.507132E-03
   -0.7650  0.776481E-02    -0.381979E-03
   -0.7930  0.645059E-02    -0.281438E-03
   -0.8197  0.527920E-02    -0.202279E-03
   -0.8451  0.424773E-02    -0.141351E-03
   -0.8689  0.335264E-02    -0.956359E-04
   -0.8911  0.258944E-02    -0.623092E-04
   -0.9117  0.195195E-02    -0.387926E-04
   -0.9304  0.143082E-02    -0.228062E-04
   -0.9470  0.101455E-02    -0.125475E-04
   -0.9614  0.684179E-03    -0.634136E-05
   -0.9739  0.426674E-03    -0.282989E-05
   -0.9844  0.238766E-03    -0.106304E-05
   -0.9928  0.113770E-03    -0.309346E-06
   -0.9992  0.414560E-04    -0.591994E-07
   -1.0035  0.874641E-05    -0.507229E-08
   -1.0056  0.513855E-06    -0.694764E-10
   -1.0059   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.13230074217489513     
     2Ymax/Bref =   0.20511455308163923     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1323  0.649202E-03     0.218181E-04
    0.1326  0.647764E-03     0.210271E-04
    0.1351  0.641259E-03     0.194548E-04
    0.1398  0.611954E-03     0.165017E-04
    0.1465  0.543539E-03     0.126510E-04
    0.1548  0.437952E-03     0.864505E-05
    0.1640  0.319727E-03     0.519588E-05
    0.1735  0.212547E-03     0.268734E-05
    0.1826  0.126280E-03     0.114490E-05
    0.1909  0.636096E-04     0.369869E-06
    0.1976  0.243180E-04     0.768499E-07
    0.2023  0.532793E-05     0.699102E-08
    0.2048  0.321642E-06     0.997832E-10
    0.2051   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.20511455308163923     
     2Ymax/Bref =  -0.13230074217489513     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1323  0.649202E-03    -0.218181E-04
   -0.1326  0.647764E-03    -0.210271E-04
   -0.1351  0.641259E-03    -0.194548E-04
   -0.1398  0.611954E-03    -0.165017E-04
   -0.1465  0.543539E-03    -0.126510E-04
   -0.1548  0.437952E-03    -0.864505E-05
   -0.1640  0.319727E-03    -0.519588E-05
   -0.1735  0.212547E-03    -0.268734E-05
   -0.1826  0.126280E-03    -0.114490E-05
   -0.1909  0.636096E-04    -0.369869E-06
   -0.1976  0.243180E-04    -0.768499E-07
   -0.2023  0.532793E-05    -0.699102E-08
   -0.2048  0.321642E-06    -0.997832E-10
   -0.2051   0.00000         -0.00000    
