
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_30300_4_ea5a06                                      
  Mach  =    0.850
  alpha =    2.261    CLtot =    0.183
  beta  =    0.000

  Sref  =   813.90000
  Bref  =    61.81000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0059375505581620     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.909961E-01     0.168661E-01
    0.0003  0.908317E-01     0.168147E-01
    0.0025  0.905029E-01     0.167122E-01
    0.0071  0.898466E-01     0.165087E-01
    0.0138  0.888654E-01     0.162073E-01
    0.0228  0.875628E-01     0.158127E-01
    0.0339  0.859437E-01     0.153306E-01
    0.0471  0.840140E-01     0.147684E-01
    0.0624  0.817812E-01     0.141346E-01
    0.0797  0.792544E-01     0.134386E-01
    0.0989  0.764461E-01     0.126909E-01
    0.1200  0.733775E-01     0.119026E-01
    0.1428  0.700918E-01     0.110849E-01
    0.1667  0.666907E-01     0.102687E-01
    0.1915  0.631670E-01     0.946351E-02
    0.2177  0.594533E-01     0.866118E-02
    0.2451  0.555817E-01     0.787233E-02
    0.2737  0.516104E-01     0.710670E-02
    0.3033  0.476102E-01     0.637278E-02
    0.3338  0.436545E-01     0.567737E-02
    0.3651  0.398244E-01     0.502542E-02
    0.3970  0.362104E-01     0.441969E-02
    0.4293  0.328924E-01     0.385842E-02
    0.4620  0.298660E-01     0.334106E-02
    0.4949  0.270670E-01     0.286868E-02
    0.5278  0.244573E-01     0.244026E-02
    0.5607  0.220135E-01     0.205469E-02
    0.5934  0.197197E-01     0.171066E-02
    0.6257  0.175652E-01     0.140660E-02
    0.6575  0.155420E-01     0.114069E-02
    0.6887  0.136445E-01     0.910892E-03
    0.7192  0.118689E-01     0.714900E-03
    0.7487  0.102130E-01     0.550227E-03
    0.7773  0.867594E-02     0.414210E-03
    0.8047  0.725841E-02     0.304047E-03
    0.8308  0.596283E-02     0.216832E-03
    0.8556  0.479357E-02     0.149589E-03
    0.8789  0.375721E-02     0.993149E-04
    0.9006  0.286204E-02     0.630258E-04
    0.9207  0.211426E-02     0.378370E-04
    0.9380  0.153364E-02     0.218100E-04
    0.9528  0.108688E-02     0.120364E-04
    0.9658  0.727366E-03     0.605092E-05
    0.9771  0.450666E-03     0.268818E-05
    0.9865  0.250882E-03     0.100607E-05
    0.9942  0.119048E-03     0.291880E-06
    0.9999  0.432351E-04     0.557195E-07
    1.0038  0.909941E-05     0.476489E-08
    1.0057  0.533882E-06     0.651849E-10
    1.0059   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0059375505581620     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.909961E-01    -0.168661E-01
   -0.0003  0.908317E-01    -0.168147E-01
   -0.0025  0.905029E-01    -0.167122E-01
   -0.0071  0.898466E-01    -0.165087E-01
   -0.0138  0.888654E-01    -0.162073E-01
   -0.0228  0.875628E-01    -0.158127E-01
   -0.0339  0.859437E-01    -0.153306E-01
   -0.0471  0.840140E-01    -0.147684E-01
   -0.0624  0.817812E-01    -0.141346E-01
   -0.0797  0.792544E-01    -0.134386E-01
   -0.0989  0.764461E-01    -0.126909E-01
   -0.1200  0.733775E-01    -0.119026E-01
   -0.1428  0.700918E-01    -0.110849E-01
   -0.1667  0.666907E-01    -0.102687E-01
   -0.1915  0.631670E-01    -0.946351E-02
   -0.2177  0.594533E-01    -0.866118E-02
   -0.2451  0.555817E-01    -0.787233E-02
   -0.2737  0.516104E-01    -0.710670E-02
   -0.3033  0.476102E-01    -0.637278E-02
   -0.3338  0.436545E-01    -0.567737E-02
   -0.3651  0.398244E-01    -0.502542E-02
   -0.3970  0.362104E-01    -0.441969E-02
   -0.4293  0.328924E-01    -0.385842E-02
   -0.4620  0.298660E-01    -0.334106E-02
   -0.4949  0.270670E-01    -0.286868E-02
   -0.5278  0.244573E-01    -0.244026E-02
   -0.5607  0.220135E-01    -0.205469E-02
   -0.5934  0.197197E-01    -0.171066E-02
   -0.6257  0.175652E-01    -0.140660E-02
   -0.6575  0.155420E-01    -0.114069E-02
   -0.6887  0.136445E-01    -0.910892E-03
   -0.7192  0.118689E-01    -0.714900E-03
   -0.7487  0.102130E-01    -0.550227E-03
   -0.7773  0.867594E-02    -0.414210E-03
   -0.8047  0.725841E-02    -0.304047E-03
   -0.8308  0.596283E-02    -0.216832E-03
   -0.8556  0.479357E-02    -0.149589E-03
   -0.8789  0.375721E-02    -0.993149E-04
   -0.9006  0.286204E-02    -0.630258E-04
   -0.9207  0.211426E-02    -0.378370E-04
   -0.9380  0.153364E-02    -0.218100E-04
   -0.9528  0.108688E-02    -0.120364E-04
   -0.9658  0.727366E-03    -0.605092E-05
   -0.9771  0.450666E-03    -0.268818E-05
   -0.9865  0.250882E-03    -0.100607E-05
   -0.9942  0.119048E-03    -0.291880E-06
   -0.9999  0.432351E-04    -0.557195E-07
   -1.0038  0.909941E-05    -0.476489E-08
   -1.0057  0.533882E-06    -0.651849E-10
   -1.0059   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.13266461737582913     
     2Ymax/Bref =   0.20567869276816048     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1327  0.990814E-03     0.340469E-04
    0.1330  0.988038E-03     0.328367E-04
    0.1354  0.976398E-03     0.304340E-04
    0.1402  0.928966E-03     0.259317E-04
    0.1469  0.827576E-03     0.200620E-04
    0.1552  0.677537E-03     0.139020E-04
    0.1644  0.507543E-03     0.849234E-05
    0.1739  0.346010E-03     0.445860E-05
    0.1831  0.209592E-03     0.192238E-05
    0.1914  0.107021E-03     0.626583E-06
    0.1981  0.412828E-04     0.131001E-06
    0.2029  0.909333E-05     0.119669E-07
    0.2054  0.550462E-06     0.171240E-09
    0.2057   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.20567869276816048     
     2Ymax/Bref =  -0.13266461737582913     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1327  0.990814E-03    -0.340469E-04
   -0.1330  0.988038E-03    -0.328367E-04
   -0.1354  0.976398E-03    -0.304340E-04
   -0.1402  0.928966E-03    -0.259317E-04
   -0.1469  0.827576E-03    -0.200620E-04
   -0.1552  0.677537E-03    -0.139020E-04
   -0.1644  0.507543E-03    -0.849234E-05
   -0.1739  0.346010E-03    -0.445860E-05
   -0.1831  0.209592E-03    -0.192238E-05
   -0.1914  0.107021E-03    -0.626583E-06
   -0.1981  0.412828E-04    -0.131001E-06
   -0.2029  0.909333E-05    -0.119669E-07
   -0.2054  0.550462E-06    -0.171240E-09
   -0.2057   0.00000         -0.00000    
