
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_30364_1_453d2a                                      
  Mach  =    0.850
  alpha =    2.132    CLtot =    0.186
  beta  =    0.000

  Sref  =   847.50000
  Bref  =    59.96000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061074049366243     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.926151E-01     0.168032E-01
    0.0003  0.924597E-01     0.167547E-01
    0.0024  0.921490E-01     0.166579E-01
    0.0065  0.915289E-01     0.164658E-01
    0.0128  0.906015E-01     0.161811E-01
    0.0211  0.893699E-01     0.158078E-01
    0.0314  0.878377E-01     0.153513E-01
    0.0437  0.860091E-01     0.148182E-01
    0.0579  0.838893E-01     0.142160E-01
    0.0739  0.814844E-01     0.135534E-01
    0.0917  0.788033E-01     0.128397E-01
    0.1112  0.758604E-01     0.120852E-01
    0.1324  0.726935E-01     0.113003E-01
    0.1551  0.693477E-01     0.104954E-01
    0.1797  0.657594E-01     0.966306E-02
    0.2063  0.619270E-01     0.881573E-02
    0.2341  0.579364E-01     0.798210E-02
    0.2631  0.538302E-01     0.717247E-02
    0.2931  0.496769E-01     0.639597E-02
    0.3241  0.455449E-01     0.566011E-02
    0.3558  0.415005E-01     0.497066E-02
    0.3881  0.376103E-01     0.433148E-02
    0.4205  0.339827E-01     0.374810E-02
    0.4530  0.306409E-01     0.321936E-02
    0.4856  0.275228E-01     0.274039E-02
    0.5183  0.246071E-01     0.231019E-02
    0.5510  0.218824E-01     0.192735E-02
    0.5834  0.193427E-01     0.159005E-02
    0.6155  0.169842E-01     0.129603E-02
    0.6470  0.148043E-01     0.104263E-02
    0.6780  0.128004E-01     0.826912E-03
    0.7082  0.109697E-01     0.645681E-03
    0.7376  0.930849E-02     0.495594E-03
    0.7659  0.781264E-02     0.373231E-03
    0.7931  0.647692E-02     0.275180E-03
    0.8190  0.529530E-02     0.198106E-03
    0.8436  0.426097E-02     0.138814E-03
    0.8668  0.336646E-02     0.943045E-04
    0.8883  0.260375E-02     0.618190E-04
    0.9082  0.196432E-02     0.388699E-04
    0.9264  0.143908E-02     0.232658E-04
    0.9428  0.101811E-02     0.131268E-04
    0.9578  0.677950E-03     0.668249E-05
    0.9714  0.413354E-03     0.293345E-05
    0.9828  0.227022E-03     0.108560E-05
    0.9920  0.106254E-03     0.311252E-06
    0.9989  0.379733E-04     0.586620E-07
    1.0035  0.786415E-05     0.495233E-08
    1.0058  0.456456E-06     0.670713E-10
    1.0061   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0061074049366243     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.926151E-01    -0.168032E-01
   -0.0003  0.924597E-01    -0.167547E-01
   -0.0024  0.921490E-01    -0.166579E-01
   -0.0065  0.915289E-01    -0.164658E-01
   -0.0128  0.906015E-01    -0.161811E-01
   -0.0211  0.893699E-01    -0.158078E-01
   -0.0314  0.878377E-01    -0.153513E-01
   -0.0437  0.860091E-01    -0.148182E-01
   -0.0579  0.838893E-01    -0.142160E-01
   -0.0739  0.814844E-01    -0.135534E-01
   -0.0917  0.788033E-01    -0.128397E-01
   -0.1112  0.758604E-01    -0.120852E-01
   -0.1324  0.726935E-01    -0.113003E-01
   -0.1551  0.693477E-01    -0.104954E-01
   -0.1797  0.657594E-01    -0.966306E-02
   -0.2063  0.619270E-01    -0.881573E-02
