
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_30392_0_51afb3                                      
  Mach  =    0.850
  alpha =    2.047    CLtot =    0.159
  beta  =    0.000

  Sref  =  1019.50000
  Bref  =    63.53000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062742011648040     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.791051E-01     0.151269E-01
    0.0003  0.789841E-01     0.150869E-01
    0.0023  0.787420E-01     0.150072E-01
    0.0063  0.782589E-01     0.148487E-01
    0.0124  0.775367E-01     0.146137E-01
    0.0204  0.765779E-01     0.143053E-01
    0.0303  0.753863E-01     0.139276E-01
    0.0422  0.739662E-01     0.134857E-01
    0.0558  0.723231E-01     0.129854E-01
    0.0713  0.704638E-01     0.124333E-01
    0.0885  0.683968E-01     0.118368E-01
    0.1073  0.661357E-01     0.112036E-01
    0.1277  0.637133E-01     0.105416E-01
    0.1501  0.610941E-01     0.984271E-02
    0.1745  0.582707E-01     0.911633E-02
    0.2002  0.552987E-01     0.838706E-02
    0.2271  0.521924E-01     0.766365E-02
    0.2552  0.489788E-01     0.695449E-02
    0.2842  0.456936E-01     0.626724E-02
    0.3142  0.423797E-01     0.560864E-02
    0.3448  0.390861E-01     0.498425E-02
    0.3761  0.358643E-01     0.439828E-02
    0.4084  0.327209E-01     0.384315E-02
    0.4414  0.297013E-01     0.332273E-02
    0.4747  0.268578E-01     0.284814E-02
    0.5080  0.241830E-01     0.241893E-02
    0.5412  0.216703E-01     0.203417E-02
    0.5743  0.193153E-01     0.169247E-02
    0.6070  0.171150E-01     0.139201E-02
    0.6392  0.150666E-01     0.113061E-02
    0.6707  0.131677E-01     0.905788E-03
    0.7015  0.114156E-01     0.714802E-03
    0.7314  0.980724E-02     0.554742E-03
    0.7603  0.833933E-02     0.422590E-03
    0.7880  0.700802E-02     0.315283E-03
    0.8144  0.580923E-02     0.229775E-03
    0.8395  0.473899E-02     0.163086E-03
    0.8630  0.379406E-02     0.112347E-03
    0.8850  0.297282E-02     0.748284E-04
    0.9053  0.227527E-02     0.479627E-04
    0.9238  0.170054E-02     0.293884E-04
    0.9411  0.121920E-02     0.166108E-04
    0.9571  0.819025E-03     0.837367E-05
    0.9709  0.509317E-03     0.372886E-05
    0.9825  0.284282E-03     0.139799E-05
    0.9919  0.135137E-03     0.406105E-06
    0.9989  0.491463E-04     0.776028E-07
    1.0036  0.103529E-04     0.664065E-08
    1.0060  0.607165E-06     0.908089E-10
    1.0063   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0062742011648040     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.791051E-01    -0.151269E-01
   -0.0003  0.789841E-01    -0.150869E-01
   -0.0023  0.787420E-01    -0.150072E-01
   -0.0063  0.782589E-01    -0.148487E-01
   -0.0124  0.775367E-01    -0.146137E-01
   -0.0204  0.765779E-01    -0.143053E-01
   -0.0303  0.753863E-01    -0.139276E-01
   -0.0422  0.739662E-01    -0.134857E-01
   -0.0558  0.723231E-01    -0.129854E-01
   -0.0713  0.704638E-01    -0.124333E-01
   -0.0885  0.683968E-01    -0.118368E-01
   -0.1073  0.661357E-01    -0.112036E-01
   -0.1277  0.637133E-01    -0.105416E-01
   -0.1501  0.610941E-01    -0.984271E-02
   -0.1745  0.582707E-01    -0.911633E-02
   -0.2002  0.552987E-01    -0.838706E-02
   -0.2271  0.521924E-01    -0.766365E-02
   -0.2552  0.489788E-01    -0.695449E-02
   -0.2842  0.456936E-01    -0.626724E-02
   -0.3142  0.423797E-01    -0.560864E-02
