
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_30820_11_abc912                                     
  Mach  =    0.850
  alpha =    1.805    CLtot =    0.152
  beta  =    0.000

  Sref  =  1053.70000
  Bref  =    66.05000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062286146858441     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.755487E-01     0.145420E-01
    0.0003  0.754244E-01     0.145007E-01
    0.0025  0.751758E-01     0.144185E-01
    0.0068  0.746797E-01     0.142551E-01
    0.0133  0.739378E-01     0.140130E-01
    0.0220  0.729526E-01     0.136955E-01
    0.0327  0.717275E-01     0.133071E-01
    0.0455  0.702666E-01     0.128533E-01
    0.0603  0.685750E-01     0.123405E-01
    0.0770  0.666597E-01     0.117758E-01
    0.0956  0.645309E-01     0.111671E-01
    0.1159  0.622109E-01     0.105228E-01
    0.1380  0.597399E-01     0.985128E-02
    0.1620  0.570976E-01     0.915017E-02
    0.1879  0.542784E-01     0.842894E-02
    0.2152  0.513295E-01     0.770730E-02
    0.2439  0.482736E-01     0.699400E-02
    0.2738  0.451441E-01     0.629719E-02
    0.3047  0.419794E-01     0.562418E-02
    0.3365  0.388184E-01     0.498124E-02
    0.3692  0.357010E-01     0.437346E-02
    0.4012  0.327632E-01     0.382246E-02
    0.4325  0.300136E-01     0.332645E-02
    0.4642  0.273575E-01     0.286823E-02
    0.4961  0.248001E-01     0.244896E-02
    0.5280  0.223462E-01     0.206916E-02
    0.5598  0.200020E-01     0.172874E-02
    0.5915  0.177740E-01     0.142702E-02
    0.6228  0.156691E-01     0.116278E-02
    0.6536  0.136940E-01     0.934300E-03
    0.6839  0.118544E-01     0.739408E-03
    0.7134  0.101554E-01     0.575597E-03
    0.7420  0.860054E-02     0.440084E-03
    0.7697  0.719219E-02     0.329905E-03
    0.7962  0.593099E-02     0.242003E-03
    0.8215  0.481588E-02     0.173318E-03
    0.8455  0.384397E-02     0.120868E-03
    0.8681  0.301051E-02     0.818223E-04
    0.8892  0.230885E-02     0.535680E-04
    0.9086  0.173038E-02     0.337593E-04
    0.9263  0.126426E-02     0.203565E-04
    0.9430  0.881268E-03     0.113055E-04
    0.9585  0.575410E-03     0.559468E-05
    0.9719  0.350530E-03     0.245379E-05
    0.9832  0.192460E-03     0.906675E-06
    0.9923  0.898229E-04     0.259069E-06
    0.9991  0.318998E-04     0.485758E-07
    1.0037  0.656024E-05     0.407811E-08
    1.0059  0.379283E-06     0.550298E-10
    1.0062   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0062286146858441     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.755487E-01    -0.145420E-01
   -0.0003  0.754244E-01    -0.145007E-01
   -0.0025  0.751758E-01    -0.144185E-01
   -0.0068  0.746797E-01    -0.142551E-01
   -0.0133  0.739378E-01    -0.140130E-01
   -0.0220  0.729526E-01    -0.136955E-01
   -0.0327  0.717275E-01    -0.133071E-01
   -0.0455  0.702666E-01    -0.128533E-01
   -0.0603  0.685750E-01    -0.123405E-01
