
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_30908_19_9bfa9a                                     
  Mach  =    0.850
  alpha =    2.082    CLtot =    0.159
  beta  =    0.000

  Sref  =   997.70000
  Bref  =    62.57000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063257151989771     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.790976E-01     0.151030E-01
    0.0003  0.789615E-01     0.150579E-01
    0.0026  0.786893E-01     0.149678E-01
    0.0071  0.781461E-01     0.147891E-01
    0.0139  0.773341E-01     0.145243E-01
    0.0230  0.762563E-01     0.141772E-01
    0.0342  0.749172E-01     0.137530E-01
    0.0476  0.733221E-01     0.132577E-01
    0.0630  0.714779E-01     0.126986E-01
    0.0805  0.693931E-01     0.120836E-01
    0.0999  0.670790E-01     0.114217E-01
    0.1212  0.645559E-01     0.107221E-01
    0.1442  0.618600E-01     0.999436E-02
    0.1685  0.590596E-01     0.926207E-02
    0.1938  0.561472E-01     0.853371E-02
    0.2205  0.530793E-01     0.780503E-02
    0.2485  0.498791E-01     0.708516E-02
    0.2776  0.465801E-01     0.638271E-02
    0.3078  0.432247E-01     0.570542E-02
    0.3389  0.398613E-01     0.505994E-02
    0.3708  0.365419E-01     0.445156E-02
    0.4027  0.333699E-01     0.389033E-02
    0.4347  0.303798E-01     0.337673E-02
    0.4669  0.275351E-01     0.290506E-02
    0.4994  0.248365E-01     0.247578E-02
    0.5320  0.222833E-01     0.208871E-02
    0.5645  0.198760E-01     0.174314E-02
    0.5967  0.176155E-01     0.143781E-02
    0.6287  0.155029E-01     0.117098E-02
    0.6601  0.135388E-01     0.940552E-03
    0.6909  0.117232E-01     0.744052E-03
    0.7210  0.100553E-01     0.578772E-03
    0.7502  0.853369E-02     0.441822E-03
    0.7784  0.715568E-02     0.330209E-03
    0.8055  0.591782E-02     0.240917E-03
    0.8313  0.481580E-02     0.170966E-03
    0.8558  0.384471E-02     0.117479E-03
    0.8788  0.299945E-02     0.777252E-04
    0.9003  0.227555E-02     0.491550E-04
    0.9201  0.166979E-02     0.294258E-04
    0.9375  0.119505E-02     0.168423E-04
    0.9524  0.831854E-03     0.917459E-05
    0.9656  0.547706E-03     0.455810E-05
    0.9771  0.334584E-03     0.200353E-05
    0.9867  0.183936E-03     0.742487E-06
    0.9944  0.862513E-04     0.213401E-06
    1.0002  0.309656E-04     0.403826E-07
    1.0041  0.645513E-05     0.342737E-08
    1.0061  0.376791E-06     0.466628E-10
    1.0063   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0063257151989771     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.790976E-01    -0.151030E-01
   -0.0003  0.789615E-01    -0.150579E-01
   -0.0026  0.786893E-01    -0.149678E-01
   -0.0071  0.781461E-01    -0.147891E-01
   -0.0139  0.773341E-01    -0.145243E-01
   -0.0230  0.762563E-01    -0.141772E-01
   -0.0342  0.749172E-01    -0.137530E-01
   -0.0476  0.733221E-01    -0.132577E-01
   -0.0630  0.714779E-01    -0.126986E-01
   -0.0805  0.693931E-01    -0.120836E-01
   -0.0999  0.670790E-01    -0.114217E-01
   -0.1212  0.645559E-01    -0.107221E-01
   -0.1442  0.618600E-01    -0.999436E-02
   -0.1685  0.590596E-01    -0.926207E-02
   -0.1938  0.561472E-01    -0.853371E-02
   -0.2205  0.530793E-01    -0.780503E-02
   -0.2485  0.498791E-01    -0.708516E-02
   -0.2776  0.465801E-01    -0.638271E-02
   -0.3078  0.432247E-01    -0.570542E-02
   -0.3389  0.398613E-01    -0.505994E-02
   -0.3708  0.365419E-01    -0.445156E-02
   -0.4027  0.333699E-01    -0.389033E-02
   -0.4347  0.303798E-01    -0.337673E-02
   -0.4669  0.275351E-01    -0.290506E-02
   -0.4994  0.248365E-01    -0.247578E-02
   -0.5320  0.222833E-01    -0.208871E-02
   -0.5645  0.198760E-01    -0.174314E-02
   -0.5967  0.176155E-01    -0.143781E-02
   -0.6287  0.155029E-01    -0.117098E-02
   -0.6601  0.135388E-01    -0.940552E-03
   -0.6909  0.117232E-01    -0.744052E-03
   -0.7210  0.100553E-01    -0.578772E-03
   -0.7502  0.853369E-02    -0.441822E-03
   -0.7784  0.715568E-02    -0.330209E-03
   -0.8055  0.591782E-02    -0.240917E-03
   -0.8313  0.481580E-02    -0.170966E-03
   -0.8558  0.384471E-02    -0.117479E-03
   -0.8788  0.299945E-02    -0.777252E-04
   -0.9003  0.227555E-02    -0.491550E-04
   -0.9201  0.166979E-02    -0.294258E-04
   -0.9375  0.119505E-02    -0.168423E-04
   -0.9524  0.831854E-03    -0.917459E-05
   -0.9656  0.547706E-03    -0.455810E-05
   -0.9771  0.334584E-03    -0.200353E-05
   -0.9867  0.183936E-03    -0.742487E-06
   -0.9944  0.862513E-04    -0.213401E-06
   -1.0002  0.309656E-04    -0.403826E-07
   -1.0041  0.645513E-05    -0.342737E-08
   -1.0061  0.376791E-06    -0.466628E-10
   -1.0063   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.13105322039315964     
     2Ymax/Bref =   0.20318043790954129     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1311  0.841023E-03     0.284530E-04
    0.1314  0.838698E-03     0.274382E-04
    0.1338  0.828928E-03     0.254233E-04
    0.1385  0.788940E-03     0.216468E-04
    0.1452  0.702936E-03     0.167220E-04
    0.1533  0.574718E-03     0.115565E-04
    0.1624  0.428806E-03     0.703123E-05
    0.1718  0.290527E-03     0.367307E-05
    0.1809  0.174709E-03     0.157516E-05
    0.1891  0.885650E-04     0.510744E-06
    0.1957  0.339518E-04     0.106306E-06
    0.2004  0.744500E-05     0.967687E-08
    0.2029  0.449481E-06     0.138128E-09
    0.2032   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.20318043790954129     
     2Ymax/Bref =  -0.13105322039315964     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
