
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_30908_4_d7fbe0                                      
  Mach  =    0.850
  alpha =    1.822    CLtot =    0.156
  beta  =    0.000

  Sref  =  1019.30000
  Bref  =    65.18000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062442467014421     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.775365E-01     0.151269E-01
    0.0003  0.774180E-01     0.150878E-01
    0.0023  0.771810E-01     0.150099E-01
    0.0063  0.767079E-01     0.148550E-01
    0.0123  0.760004E-01     0.146252E-01
    0.0203  0.750607E-01     0.143237E-01
    0.0302  0.738917E-01     0.139545E-01
    0.0420  0.724967E-01     0.135225E-01
    0.0557  0.708797E-01     0.130334E-01
    0.0711  0.690464E-01     0.124939E-01
    0.0883  0.670048E-01     0.119110E-01
    0.1071  0.647707E-01     0.112924E-01
    0.1274  0.623878E-01     0.106458E-01
    0.1512  0.596644E-01     0.991875E-02
    0.1786  0.565998E-01     0.912402E-02
    0.2074  0.534181E-01     0.833045E-02
    0.2377  0.501483E-01     0.754753E-02
    0.2692  0.468315E-01     0.678394E-02
    0.3018  0.435085E-01     0.604729E-02
    0.3355  0.402168E-01     0.534402E-02
    0.3699  0.369923E-01     0.467930E-02
    0.4029  0.340317E-01     0.409053E-02
    0.4344  0.313189E-01     0.357256E-02
    0.4661  0.286795E-01     0.309184E-02
    0.4981  0.261203E-01     0.264994E-02
    0.5301  0.236482E-01     0.224774E-02
    0.5621  0.212711E-01     0.188551E-02
    0.5938  0.189976E-01     0.156287E-02
    0.6252  0.168361E-01     0.127885E-02
    0.6562  0.147947E-01     0.103194E-02
    0.6865  0.128808E-01     0.820157E-03
    0.7161  0.111007E-01     0.641108E-03
    0.7448  0.945968E-02     0.492088E-03
    0.7725  0.796137E-02     0.370164E-03
    0.7992  0.660790E-02     0.272268E-03
    0.8246  0.539964E-02     0.195284E-03
    0.8487  0.433524E-02     0.136136E-03
    0.8713  0.341151E-02     0.918683E-04
    0.8924  0.262339E-02     0.597120E-04
    0.9119  0.196391E-02     0.371444E-04
    0.9297  0.142406E-02     0.219333E-04
    0.9461  0.985555E-03     0.119904E-04
    0.9608  0.641589E-03     0.591303E-05
    0.9736  0.388626E-03     0.258374E-05
    0.9843  0.212275E-03     0.952624E-06
    0.9929  0.989484E-04     0.272401E-06
    0.9994  0.352806E-04     0.512615E-07
    1.0038  0.730144E-05     0.432536E-08
    1.0060  0.423889E-06     0.585921E-10
    1.0062   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0062442467014421     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.775365E-01    -0.151269E-01
   -0.0003  0.774180E-01    -0.150878E-01
   -0.0023  0.771810E-01    -0.150099E-01
   -0.0063  0.767079E-01    -0.148550E-01
   -0.0123  0.760004E-01    -0.146252E-01
   -0.0203  0.750607E-01    -0.143237E-01
   -0.0302  0.738917E-01    -0.139545E-01
   -0.0420  0.724967E-01    -0.135225E-01
   -0.0557  0.708797E-01    -0.130334E-01
   -0.0711  0.690464E-01    -0.124939E-01
   -0.0883  0.670048E-01    -0.119110E-01
   -0.1071  0.647707E-01    -0.112924E-01
   -0.1274  0.623878E-01    -0.106458E-01
   -0.1512  0.596644E-01    -0.991875E-02
   -0.1786  0.565998E-01    -0.912402E-02
   -0.2074  0.534181E-01    -0.833045E-02
   -0.2377  0.501483E-01    -0.754753E-02
   -0.2692  0.468315E-01    -0.678394E-02
   -0.3018  0.435085E-01    -0.604729E-02
   -0.3355  0.402168E-01    -0.534402E-02
   -0.3699  0.369923E-01    -0.467930E-02
   -0.4029  0.340317E-01    -0.409053E-02
   -0.4344  0.313189E-01    -0.357256E-02
   -0.4661  0.286795E-01    -0.309184E-02
