
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_31136_15_be95a0                                     
  Mach  =    0.850
  alpha =    2.009    CLtot =    0.173
  beta  =    0.000

  Sref  =   952.70000
  Bref  =    65.96000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061916312916919     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.860695E-01     0.158068E-01
    0.0003  0.859216E-01     0.157614E-01
    0.0024  0.856256E-01     0.156707E-01
    0.0066  0.850348E-01     0.154908E-01
    0.0129  0.841513E-01     0.152243E-01
    0.0213  0.829776E-01     0.148749E-01
    0.0317  0.815168E-01     0.144478E-01
    0.0440  0.797726E-01     0.139493E-01
    0.0583  0.777494E-01     0.133866E-01
    0.0745  0.754540E-01     0.127680E-01
    0.0924  0.728975E-01     0.121023E-01
    0.1121  0.701052E-01     0.113992E-01
    0.1334  0.671410E-01     0.106683E-01
    0.1575  0.638870E-01     0.987917E-02
    0.1844  0.603411E-01     0.904503E-02
    0.2127  0.566626E-01     0.821602E-02
    0.2425  0.528738E-01     0.740263E-02
    0.2734  0.490215E-01     0.661453E-02
    0.3055  0.451601E-01     0.586015E-02
    0.3385  0.413399E-01     0.514643E-02
    0.3723  0.376075E-01     0.447878E-02
    0.4051  0.341856E-01     0.388859E-02
    0.4366  0.310832E-01     0.337021E-02
    0.4684  0.281315E-01     0.289481E-02
    0.5004  0.253305E-01     0.246281E-02
    0.5325  0.226803E-01     0.207403E-02
    0.5645  0.201829E-01     0.172768E-02
    0.5964  0.178402E-01     0.142241E-02
    0.6278  0.156545E-01     0.115639E-02
    0.6588  0.136273E-01     0.927348E-03
    0.6892  0.117594E-01     0.732681E-03
    0.7189  0.100505E-01     0.569514E-03
    0.7477  0.849917E-02     0.434793E-03
    0.7754  0.710285E-02     0.325378E-03
    0.8021  0.585776E-02     0.238114E-03
    0.8276  0.475899E-02     0.169907E-03
    0.8517  0.380060E-02     0.117795E-03
    0.8744  0.297579E-02     0.789930E-04
    0.8956  0.227693E-02     0.509475E-04
    0.9151  0.169556E-02     0.313646E-04
    0.9329  0.122186E-02     0.182395E-04
    0.9489  0.846066E-03     0.989631E-05
    0.9629  0.556199E-03     0.491172E-05
    0.9751  0.339749E-03     0.215612E-05
    0.9853  0.186536E-03     0.796514E-06
    0.9935  0.869884E-04     0.227549E-06
    0.9997  0.309067E-04     0.426966E-07
    1.0039  0.637050E-05     0.359137E-08
    1.0059  0.369377E-06     0.485922E-10
    1.0062   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0061916312916919     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.860695E-01    -0.158068E-01
   -0.0003  0.859216E-01    -0.157614E-01
   -0.0024  0.856256E-01    -0.156707E-01
   -0.0066  0.850348E-01    -0.154908E-01
   -0.0129  0.841513E-01    -0.152243E-01
   -0.0213  0.829776E-01    -0.148749E-01
   -0.0317  0.815168E-01    -0.144478E-01
   -0.0440  0.797726E-01    -0.139493E-01
   -0.0583  0.777494E-01    -0.133866E-01
   -0.0745  0.754540E-01    -0.127680E-01
   -0.0924  0.728975E-01    -0.121023E-01
   -0.1121  0.701052E-01    -0.113992E-01
   -0.1334  0.671410E-01    -0.106683E-01
   -0.1575  0.638870E-01    -0.987917E-02
   -0.1844  0.603411E-01    -0.904503E-02
   -0.2127  0.566626E-01    -0.821602E-02
   -0.2425  0.528738E-01    -0.740263E-02
   -0.2734  0.490215E-01    -0.661453E-02
   -0.3055  0.451601E-01    -0.586015E-02
   -0.3385  0.413399E-01    -0.514643E-02
   -0.3723  0.376075E-01    -0.447878E-02
   -0.4051  0.341856E-01    -0.388859E-02
   -0.4366  0.310832E-01    -0.337021E-02
   -0.4684  0.281315E-01    -0.289481E-02
   -0.5004  0.253305E-01    -0.246281E-02
   -0.5325  0.226803E-01    -0.207403E-02
   -0.5645  0.201829E-01    -0.172768E-02
   -0.5964  0.178402E-01    -0.142241E-02
   -0.6278  0.156545E-01    -0.115639E-02
   -0.6588  0.136273E-01    -0.927348E-03
   -0.6892  0.117594E-01    -0.732681E-03
   -0.7189  0.100505E-01    -0.569514E-03
   -0.7477  0.849917E-02    -0.434793E-03
   -0.7754  0.710285E-02    -0.325378E-03
   -0.8021  0.585776E-02    -0.238114E-03
   -0.8276  0.475899E-02    -0.169907E-03
   -0.8517  0.380060E-02    -0.117795E-03
   -0.8744  0.297579E-02    -0.789930E-04
   -0.8956  0.227693E-02    -0.509475E-04
   -0.9151  0.169556E-02    -0.313646E-04
   -0.9329  0.122186E-02    -0.182395E-04
   -0.9489  0.846066E-03    -0.989631E-05
   -0.9629  0.556199E-03    -0.491172E-05
   -0.9751  0.339749E-03    -0.215612E-05
   -0.9853  0.186536E-03    -0.796514E-06
   -0.9935  0.869884E-04    -0.227549E-06
   -0.9997  0.309067E-04    -0.426966E-07
   -1.0039  0.637050E-05    -0.359137E-08
   -1.0059  0.369377E-06    -0.485922E-10
   -1.0062   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12431776834445118     
     2Ymax/Bref =   0.19273802304426926     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1243  0.136294E-02     0.433522E-04
    0.1246  0.135958E-02     0.417919E-04
    0.1269  0.134512E-02     0.386919E-04
    0.1314  0.128379E-02     0.328708E-04
    0.1377  0.114579E-02     0.252628E-04
    0.1454  0.931502E-03     0.172959E-04
    0.1541  0.683993E-03     0.103855E-04
    0.1630  0.453774E-03     0.534689E-05
    0.1716  0.267443E-03     0.226181E-05
    0.1794  0.133302E-03     0.724876E-06
    0.1857  0.504443E-04     0.149489E-06
    0.1901  0.109647E-04     0.135144E-07
    0.1924  0.658631E-06     0.191998E-09
    0.1927   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.19273802304426926     
     2Ymax/Bref =  -0.12431776834445118     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1243  0.136294E-02    -0.433522E-04
   -0.1246  0.135958E-02    -0.417919E-04
   -0.1269  0.134512E-02    -0.386919E-04
   -0.1314  0.128379E-02    -0.328708E-04
   -0.1377  0.114579E-02    -0.252628E-04
   -0.1454  0.931502E-03    -0.172959E-04
   -0.1541  0.683993E-03    -0.103855E-04
   -0.1630  0.453774E-03    -0.534689E-05
   -0.1716  0.267443E-03    -0.226181E-05
   -0.1794  0.133302E-03    -0.724876E-06
   -0.1857  0.504443E-04    -0.149489E-06
   -0.1901  0.109647E-04    -0.135144E-07
   -0.1924  0.658631E-06    -0.191998E-09
   -0.1927   0.00000         -0.00000    
