
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_31148_16_04bade                                     
  Mach  =    0.850
  alpha =    1.961    CLtot =    0.178
  beta  =    0.000

  Sref  =   893.50000
  Bref  =    68.82000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064661435629179     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.887597E-01     0.160245E-01
    0.0003  0.886065E-01     0.159793E-01
    0.0023  0.883002E-01     0.158892E-01
    0.0064  0.876886E-01     0.157101E-01
    0.0124  0.867739E-01     0.154449E-01
    0.0205  0.855590E-01     0.150973E-01
    0.0305  0.840472E-01     0.146725E-01
    0.0425  0.822423E-01     0.141766E-01
    0.0563  0.801492E-01     0.136169E-01
    0.0719  0.777744E-01     0.130016E-01
    0.0892  0.751281E-01     0.123396E-01
    0.1082  0.722331E-01     0.116406E-01
    0.1287  0.691422E-01     0.109142E-01
    0.1514  0.657899E-01     0.101485E-01
    0.1762  0.621617E-01     0.935558E-02
    0.2024  0.583525E-01     0.856751E-02
    0.2298  0.544045E-01     0.779474E-02
    0.2584  0.503943E-01     0.704666E-02
    0.2880  0.464032E-01     0.633109E-02
    0.3185  0.425176E-01     0.565395E-02
    0.3497  0.388355E-01     0.501899E-02
    0.3816  0.354414E-01     0.442400E-02
    0.4140  0.323378E-01     0.386941E-02
    0.4468  0.294618E-01     0.335825E-02
    0.4798  0.267720E-01     0.289011E-02
    0.5129  0.242445E-01     0.246450E-02
    0.5459  0.218642E-01     0.208066E-02
    0.5787  0.196206E-01     0.173753E-02
    0.6111  0.175066E-01     0.143374E-02
    0.6430  0.155172E-01     0.116763E-02
    0.6743  0.136492E-01     0.937216E-03
    0.7049  0.119006E-01     0.740290E-03
    0.7345  0.102708E-01     0.574398E-03
    0.7632  0.876024E-02     0.436900E-03
    0.7906  0.737050E-02     0.325008E-03
    0.8169  0.610402E-02     0.235825E-03
    0.8417  0.496395E-02     0.166403E-03
    0.8651  0.395363E-02     0.113797E-03
    0.8869  0.307598E-02     0.751296E-04
    0.9070  0.233274E-02     0.476605E-04
    0.9254  0.172298E-02     0.288626E-04
    0.9425  0.122035E-02     0.161488E-04
    0.9582  0.811916E-03     0.808509E-05
    0.9718  0.500839E-03     0.357826E-05
    0.9831  0.277569E-03     0.133358E-05
    0.9923  0.130975E-03     0.384983E-06
    0.9992  0.472338E-04     0.730861E-07
    1.0039  0.987288E-05     0.621595E-08
    1.0062  0.576792E-06     0.846976E-10
    1.0065   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0064661435629179     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.887597E-01    -0.160245E-01
   -0.0003  0.886065E-01    -0.159793E-01
   -0.0023  0.883002E-01    -0.158892E-01
   -0.0064  0.876886E-01    -0.157101E-01
   -0.0124  0.867739E-01    -0.154449E-01
   -0.0205  0.855590E-01    -0.150973E-01
   -0.0305  0.840472E-01    -0.146725E-01
   -0.0425  0.822423E-01    -0.141766E-01
   -0.0563  0.801492E-01    -0.136169E-01
   -0.0719  0.777744E-01    -0.130016E-01
   -0.0892  0.751281E-01    -0.123396E-01
   -0.1082  0.722331E-01    -0.116406E-01
   -0.1287  0.691422E-01    -0.109142E-01
   -0.1514  0.657899E-01    -0.101485E-01
   -0.1762  0.621617E-01    -0.935558E-02
   -0.2024  0.583525E-01    -0.856751E-02
   -0.2298  0.544045E-01    -0.779474E-02
   -0.2584  0.503943E-01    -0.704666E-02
   -0.2880  0.464032E-01    -0.633109E-02
   -0.3185  0.425176E-01    -0.565395E-02
   -0.3497  0.388355E-01    -0.501899E-02
   -0.3816  0.354414E-01    -0.442400E-02
   -0.4140  0.323378E-01    -0.386941E-02
   -0.4468  0.294618E-01    -0.335825E-02
   -0.4798  0.267720E-01    -0.289011E-02
   -0.5129  0.242445E-01    -0.246450E-02
   -0.5459  0.218642E-01    -0.208066E-02
   -0.5787  0.196206E-01    -0.173753E-02
   -0.6111  0.175066E-01    -0.143374E-02
   -0.6430  0.155172E-01    -0.116763E-02
   -0.6743  0.136492E-01    -0.937216E-03
   -0.7049  0.119006E-01    -0.740290E-03
   -0.7345  0.102708E-01    -0.574398E-03
   -0.7632  0.876024E-02    -0.436900E-03
   -0.7906  0.737050E-02    -0.325008E-03
   -0.8169  0.610402E-02    -0.235825E-03
