
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_31148_2_4ffca0                                      
  Mach  =    0.850
  alpha =    1.717    CLtot =    0.151
  beta  =    0.000

  Sref  =  1050.00000
  Bref  =    66.22000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061975234068257     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.755481E-01     0.148829E-01
    0.0003  0.754312E-01     0.148430E-01
    0.0024  0.751973E-01     0.147636E-01
    0.0066  0.747304E-01     0.146058E-01
    0.0129  0.740323E-01     0.143717E-01
    0.0212  0.731053E-01     0.140646E-01
    0.0316  0.719527E-01     0.136885E-01
    0.0440  0.705783E-01     0.132486E-01
    0.0582  0.689871E-01     0.127508E-01
    0.0744  0.671852E-01     0.122017E-01
    0.0923  0.651818E-01     0.116086E-01
    0.1120  0.629934E-01     0.109793E-01
    0.1332  0.606558E-01     0.103217E-01
    0.1558  0.582203E-01     0.965159E-02
    0.1795  0.556867E-01     0.897627E-02
    0.2046  0.530363E-01     0.829608E-02
    0.2308  0.502853E-01     0.761864E-02
    0.2581  0.474571E-01     0.695114E-02
    0.2865  0.445800E-01     0.630022E-02
    0.3156  0.416841E-01     0.567175E-02
    0.3455  0.387997E-01     0.507077E-02
    0.3760  0.359583E-01     0.450134E-02
    0.4079  0.330932E-01     0.394790E-02
    0.4411  0.302351E-01     0.341708E-02
    0.4745  0.274895E-01     0.293010E-02
    0.5081  0.248589E-01     0.248752E-02
    0.5415  0.223465E-01     0.208928E-02
    0.5747  0.199568E-01     0.173469E-02
    0.6076  0.176949E-01     0.142249E-02
    0.6399  0.155660E-01     0.115087E-02
    0.6717  0.135751E-01     0.917574E-03
    0.7026  0.117264E-01     0.719947E-03
    0.7327  0.100233E-01     0.555029E-03
    0.7617  0.846773E-02     0.419643E-03
    0.7895  0.706071E-02     0.310485E-03
    0.8161  0.580173E-02     0.224212E-03
    0.8413  0.468888E-02     0.157530E-03
    0.8650  0.371880E-02     0.107267E-03
    0.8871  0.288664E-02     0.704461E-04
    0.9075  0.218594E-02     0.443390E-04
    0.9261  0.160840E-02     0.265169E-04
    0.9432  0.113269E-02     0.146824E-04
    0.9586  0.749738E-03     0.732485E-05
    0.9720  0.460259E-03     0.323288E-05
    0.9832  0.254290E-03     0.120314E-05
    0.9923  0.119892E-03     0.347311E-06
    0.9991  0.432829E-04     0.659936E-07
    1.0036  0.905928E-05     0.561845E-08
    1.0059  0.529223E-06     0.765511E-10
    1.0062   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0061975234068257     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.755481E-01    -0.148829E-01
   -0.0003  0.754312E-01    -0.148430E-01
   -0.0024  0.751973E-01    -0.147636E-01
   -0.0066  0.747304E-01    -0.146058E-01
   -0.0129  0.740323E-01    -0.143717E-01
   -0.0212  0.731053E-01    -0.140646E-01
   -0.0316  0.719527E-01    -0.136885E-01
   -0.0440  0.705783E-01    -0.132486E-01
   -0.0582  0.689871E-01    -0.127508E-01
   -0.0744  0.671852E-01    -0.122017E-01
   -0.0923  0.651818E-01    -0.116086E-01
   -0.1120  0.629934E-01    -0.109793E-01
   -0.1332  0.606558E-01    -0.103217E-01
   -0.1558  0.582203E-01    -0.965159E-02
   -0.1795  0.556867E-01    -0.897627E-02
   -0.2046  0.530363E-01    -0.829608E-02
   -0.2308  0.502853E-01    -0.761864E-02
   -0.2581  0.474571E-01    -0.695114E-02
   -0.2865  0.445800E-01    -0.630022E-02
   -0.3156  0.416841E-01    -0.567175E-02
   -0.3455  0.387997E-01    -0.507077E-02
   -0.3760  0.359583E-01    -0.450134E-02
   -0.4079  0.330932E-01    -0.394790E-02
   -0.4411  0.302351E-01    -0.341708E-02
   -0.4745  0.274895E-01    -0.293010E-02
   -0.5081  0.248589E-01    -0.248752E-02
   -0.5415  0.223465E-01    -0.208928E-02
   -0.5747  0.199568E-01    -0.173469E-02
   -0.6076  0.176949E-01    -0.142249E-02
   -0.6399  0.155660E-01    -0.115087E-02
   -0.6717  0.135751E-01    -0.917574E-03
   -0.7026  0.117264E-01    -0.719947E-03
   -0.7327  0.100233E-01    -0.555029E-03
   -0.7617  0.846773E-02    -0.419643E-03
   -0.7895  0.706071E-02    -0.310485E-03
   -0.8161  0.580173E-02    -0.224212E-03
   -0.8413  0.468888E-02    -0.157530E-03
   -0.8650  0.371880E-02    -0.107267E-03
   -0.8871  0.288664E-02    -0.704461E-04
   -0.9075  0.218594E-02    -0.443390E-04
   -0.9261  0.160840E-02    -0.265169E-04
   -0.9432  0.113269E-02    -0.146824E-04
   -0.9586  0.749738E-03    -0.732485E-05
   -0.9720  0.460259E-03    -0.323288E-05
   -0.9832  0.254290E-03    -0.120314E-05
   -0.9923  0.119892E-03    -0.347311E-06
   -0.9991  0.432829E-04    -0.659936E-07
   -1.0036  0.905928E-05    -0.561845E-08
   -1.0059  0.529223E-06    -0.765511E-10
   -1.0062   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12382965871337963     
     2Ymax/Bref =   0.19198127453941408     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1238  0.783885E-03     0.248747E-04
    0.1241  0.781697E-03     0.239810E-04
    0.1264  0.772494E-03     0.222066E-04
    0.1309  0.734747E-03     0.188823E-04
    0.1372  0.653367E-03     0.145526E-04
    0.1449  0.532131E-03     0.100238E-04
    0.1535  0.394906E-03     0.607391E-05
    0.1624  0.265935E-03     0.315887E-05
    0.1709  0.158927E-03     0.134862E-05
    0.1786  0.801007E-04     0.435499E-06
    0.1849  0.305605E-04     0.903330E-07
    0.1894  0.667836E-05     0.820076E-08
    0.1917  0.402366E-06     0.116834E-09
    0.1920   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.19198127453941408     
     2Ymax/Bref =  -0.12382965871337963     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1238  0.783885E-03    -0.248747E-04
   -0.1241  0.781697E-03    -0.239810E-04
   -0.1264  0.772494E-03    -0.222066E-04
   -0.1309  0.734747E-03    -0.188823E-04
   -0.1372  0.653367E-03    -0.145526E-04
   -0.1449  0.532131E-03    -0.100238E-04
   -0.1535  0.394906E-03    -0.607391E-05
   -0.1624  0.265935E-03    -0.315887E-05
   -0.1709  0.158927E-03    -0.134862E-05
   -0.1786  0.801007E-04    -0.435499E-06
   -0.1849  0.305605E-04    -0.903330E-07
   -0.1894  0.667836E-05    -0.820076E-08
   -0.1917  0.402366E-06    -0.116834E-09
   -0.1920   0.00000         -0.00000    
