
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_3124_15_a9f4f4                                      
  Mach  =    0.850
  alpha =    2.106    CLtot =    0.165
  beta  =    0.000

  Sref  =  1002.60000
  Bref  =    62.92000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061157024793388     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.824517E-01     0.154441E-01
    0.0003  0.823023E-01     0.153962E-01
    0.0026  0.820035E-01     0.153007E-01
    0.0073  0.814070E-01     0.151111E-01
    0.0142  0.805148E-01     0.148302E-01
    0.0234  0.793298E-01     0.144624E-01
    0.0348  0.778550E-01     0.140133E-01
    0.0485  0.760942E-01     0.134895E-01
    0.0642  0.740523E-01     0.128991E-01
    0.0820  0.717363E-01     0.122511E-01
    0.1018  0.691576E-01     0.115552E-01
    0.1234  0.663426E-01     0.108219E-01
    0.1469  0.633375E-01     0.100617E-01
    0.1704  0.603821E-01     0.933489E-02
    0.1938  0.574962E-01     0.864682E-02
    0.2184  0.545016E-01     0.795698E-02
    0.2443  0.514179E-01     0.727324E-02
    0.2712  0.482718E-01     0.660296E-02
    0.2990  0.450946E-01     0.595284E-02
    0.3277  0.419186E-01     0.532872E-02
    0.3572  0.387750E-01     0.473548E-02
    0.3872  0.356964E-01     0.417700E-02
    0.4185  0.326214E-01     0.363959E-02
    0.4510  0.295815E-01     0.312934E-02
    0.4837  0.266809E-01     0.266483E-02
    0.5165  0.239258E-01     0.224612E-02
    0.5492  0.213198E-01     0.187257E-02
    0.5818  0.188666E-01     0.154292E-02
    0.6139  0.165701E-01     0.125535E-02
    0.6456  0.144337E-01     0.100757E-02
    0.6766  0.124601E-01     0.796869E-03
    0.7069  0.106509E-01     0.620209E-03
    0.7363  0.900657E-02     0.474340E-03
    0.7647  0.752616E-02     0.355878E-03
    0.7920  0.620718E-02     0.261400E-03
    0.8180  0.504559E-02     0.187536E-03
    0.8427  0.403578E-02     0.131045E-03
    0.8659  0.317055E-02     0.888845E-04
    0.8875  0.244117E-02     0.582709E-04
    0.9074  0.183737E-02     0.367208E-04
    0.9257  0.134724E-02     0.220821E-04
    0.9426  0.944072E-03     0.122614E-04
    0.9582  0.620898E-03     0.609662E-05
    0.9717  0.380302E-03     0.268419E-05
    0.9830  0.209712E-03     0.995048E-06
    0.9921  0.982409E-04     0.285169E-06
    0.9989  0.350167E-04     0.536264E-07
    1.0035  0.722812E-05     0.451580E-08
    1.0058  0.419283E-06     0.611244E-10
    1.0061   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0061157024793388     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.824517E-01    -0.154441E-01
   -0.0003  0.823023E-01    -0.153962E-01
   -0.0026  0.820035E-01    -0.153007E-01
   -0.0073  0.814070E-01    -0.151111E-01
   -0.0142  0.805148E-01    -0.148302E-01
   -0.0234  0.793298E-01    -0.144624E-01
   -0.0348  0.778550E-01    -0.140133E-01
   -0.0485  0.760942E-01    -0.134895E-01
   -0.0642  0.740523E-01    -0.128991E-01
   -0.0820  0.717363E-01    -0.122511E-01
   -0.1018  0.691576E-01    -0.115552E-01
   -0.1234  0.663426E-01    -0.108219E-01
   -0.1469  0.633375E-01    -0.100617E-01
   -0.1704  0.603821E-01    -0.933489E-02
   -0.1938  0.574962E-01    -0.864682E-02
   -0.2184  0.545016E-01    -0.795698E-02
   -0.2443  0.514179E-01    -0.727324E-02
   -0.2712  0.482718E-01    -0.660296E-02
   -0.2990  0.450946E-01    -0.595284E-02
   -0.3277  0.419186E-01    -0.532872E-02
   -0.3572  0.387750E-01    -0.473548E-02
