
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_3124_8_fd051e                                       
  Mach  =    0.850
  alpha =    2.015    CLtot =    0.177
  beta  =    0.000

  Sref  =   859.20000
  Bref  =    64.52000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063267203967763     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.881903E-01     0.165889E-01
    0.0003  0.880302E-01     0.165374E-01
    0.0026  0.877100E-01     0.164347E-01
    0.0073  0.870708E-01     0.162308E-01
    0.0143  0.861150E-01     0.159288E-01
    0.0235  0.848459E-01     0.155334E-01
    0.0350  0.832678E-01     0.150504E-01
    0.0487  0.813861E-01     0.144872E-01
    0.0645  0.792076E-01     0.138524E-01
    0.0824  0.767414E-01     0.131555E-01
    0.1023  0.740015E-01     0.124071E-01
    0.1241  0.710211E-01     0.116180E-01
    0.1477  0.678361E-01     0.107998E-01
    0.1716  0.646297E-01     0.100067E-01
    0.1958  0.614106E-01     0.924612E-02
    0.2213  0.580293E-01     0.848558E-02
    0.2480  0.545163E-01     0.773450E-02
    0.2758  0.509152E-01     0.700166E-02
    0.3046  0.472800E-01     0.629481E-02
    0.3343  0.436681E-01     0.562041E-02
    0.3647  0.401374E-01     0.498347E-02
    0.3957  0.367473E-01     0.438483E-02
    0.4272  0.335368E-01     0.382683E-02
    0.4590  0.305045E-01     0.331286E-02
    0.4910  0.276383E-01     0.284322E-02
    0.5231  0.249309E-01     0.241768E-02
    0.5551  0.223782E-01     0.203554E-02
    0.5869  0.199778E-01     0.169561E-02
    0.6184  0.177282E-01     0.139625E-02
    0.6493  0.156279E-01     0.113544E-02
    0.6797  0.136755E-01     0.910822E-03
    0.7094  0.118693E-01     0.719782E-03
    0.7381  0.102075E-01     0.559503E-03
    0.7659  0.868776E-02     0.427042E-03
    0.7926  0.730764E-02     0.319383E-03
    0.8181  0.606447E-02     0.233507E-03
    0.8422  0.495556E-02     0.166439E-03
    0.8649  0.397834E-02     0.115302E-03
    0.8860  0.313042E-02     0.773604E-04
    0.9055  0.240947E-02     0.500608E-04
    0.9234  0.181217E-02     0.310751E-04
    0.9405  0.129755E-02     0.176497E-04
    0.9566  0.862344E-03     0.882368E-05
    0.9706  0.530747E-03     0.389823E-05
    0.9823  0.293456E-03     0.145052E-05
    0.9918  0.138228E-03     0.418263E-06
    0.9989  0.498013E-04     0.793501E-07
    1.0036  0.104044E-04     0.674596E-08
    1.0060  0.607533E-06     0.918756E-10
    1.0063   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0063267203967763     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.881903E-01    -0.165889E-01
   -0.0003  0.880302E-01    -0.165374E-01
   -0.0026  0.877100E-01    -0.164347E-01
   -0.0073  0.870708E-01    -0.162308E-01
   -0.0143  0.861150E-01    -0.159288E-01
   -0.0235  0.848459E-01    -0.155334E-01
   -0.0350  0.832678E-01    -0.150504E-01
   -0.0487  0.813861E-01    -0.144872E-01
   -0.0645  0.792076E-01    -0.138524E-01
   -0.0824  0.767414E-01    -0.131555E-01
   -0.1023  0.740015E-01    -0.124071E-01
   -0.1241  0.710211E-01    -0.116180E-01
   -0.1477  0.678361E-01    -0.107998E-01
   -0.1716  0.646297E-01    -0.100067E-01
   -0.1958  0.614106E-01    -0.924612E-02
   -0.2213  0.580293E-01    -0.848558E-02
   -0.2480  0.545163E-01    -0.773450E-02
   -0.2758  0.509152E-01    -0.700166E-02
   -0.3046  0.472800E-01    -0.629481E-02
   -0.3343  0.436681E-01    -0.562041E-02
   -0.3647  0.401374E-01    -0.498347E-02
   -0.3957  0.367473E-01    -0.438483E-02
   -0.4272  0.335368E-01    -0.382683E-02
   -0.4590  0.305045E-01    -0.331286E-02
   -0.4910  0.276383E-01    -0.284322E-02
   -0.5231  0.249309E-01    -0.241768E-02
   -0.5551  0.223782E-01    -0.203554E-02
   -0.5869  0.199778E-01    -0.169561E-02
   -0.6184  0.177282E-01    -0.139625E-02
   -0.6493  0.156279E-01    -0.113544E-02
   -0.6797  0.136755E-01    -0.910822E-03
   -0.7094  0.118693E-01    -0.719782E-03
   -0.7381  0.102075E-01    -0.559503E-03
   -0.7659  0.868776E-02    -0.427042E-03
   -0.7926  0.730764E-02    -0.319383E-03
   -0.8181  0.606447E-02    -0.233507E-03
   -0.8422  0.495556E-02    -0.166439E-03
   -0.8649  0.397834E-02    -0.115302E-03
   -0.8860  0.313042E-02    -0.773604E-04
   -0.9055  0.240947E-02    -0.500608E-04
   -0.9234  0.181217E-02    -0.310751E-04
   -0.9405  0.129755E-02    -0.176497E-04
   -0.9566  0.862344E-03    -0.882368E-05
   -0.9706  0.530747E-03    -0.389823E-05
   -0.9823  0.293456E-03    -0.145052E-05
   -0.9918  0.138228E-03    -0.418263E-06
   -0.9989  0.498013E-04    -0.793501E-07
   -1.0036  0.104044E-04    -0.674596E-08
   -1.0060  0.607533E-06    -0.918756E-10
   -1.0063   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12709237445753255     
     2Ymax/Bref =   0.19703967761934285     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1271  0.862518E-03     0.282288E-04
    0.1274  0.859846E-03     0.272197E-04
    0.1298  0.848823E-03     0.252176E-04
    0.1343  0.805081E-03     0.214737E-04
    0.1408  0.714523E-03     0.166090E-04
    0.1487  0.584106E-03     0.115173E-04
    0.1575  0.438435E-03     0.704568E-05
    0.1666  0.299822E-03     0.370335E-05
    0.1754  0.181851E-03     0.159696E-05
    0.1834  0.927981E-04     0.520116E-06
    0.1898  0.357428E-04     0.108616E-06
    0.1944  0.786152E-05     0.991060E-08
    0.1967  0.475424E-06     0.141685E-09
    0.1970   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.19703967761934285     
     2Ymax/Bref =  -0.12709237445753255     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1271  0.862518E-03    -0.282288E-04
   -0.1274  0.859846E-03    -0.272197E-04
   -0.1298  0.848823E-03    -0.252176E-04
   -0.1343  0.805081E-03    -0.214737E-04
   -0.1408  0.714523E-03    -0.166090E-04
   -0.1487  0.584106E-03    -0.115173E-04
   -0.1575  0.438435E-03    -0.704568E-05
   -0.1666  0.299822E-03    -0.370335E-05
   -0.1754  0.181851E-03    -0.159696E-05
   -0.1834  0.927981E-04    -0.520116E-06
   -0.1898  0.357428E-04    -0.108616E-06
   -0.1944  0.786152E-05    -0.991060E-08
   -0.1967  0.475424E-06    -0.141685E-09
   -0.1970   0.00000         -0.00000    
