
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_31340_9_8fd7f4                                      
  Mach  =    0.850
  alpha =    1.903    CLtot =    0.175
  beta  =    0.000

  Sref  =   871.10000
  Bref  =    65.35000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063351185921958     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.871112E-01     0.157159E-01
    0.0003  0.869679E-01     0.156721E-01
    0.0023  0.866813E-01     0.155846E-01
    0.0063  0.861091E-01     0.154110E-01
    0.0123  0.852534E-01     0.151536E-01
    0.0203  0.841170E-01     0.148161E-01
    0.0302  0.827031E-01     0.144033E-01
    0.0420  0.810156E-01     0.139210E-01
    0.0556  0.790594E-01     0.133759E-01
    0.0710  0.768410E-01     0.127758E-01
    0.0881  0.743700E-01     0.121291E-01
    0.1069  0.716642E-01     0.114447E-01
    0.1272  0.687734E-01     0.107318E-01
    0.1508  0.654684E-01     0.993761E-02
    0.1779  0.617198E-01     0.907777E-02
    0.2064  0.577898E-01     0.822523E-02
    0.2364  0.537390E-01     0.739139E-02
    0.2675  0.496239E-01     0.658649E-02
    0.2998  0.454990E-01     0.581937E-02
    0.3331  0.414243E-01     0.509726E-02
    0.3671  0.374632E-01     0.442556E-02
    0.4003  0.338533E-01     0.383160E-02
    0.4324  0.306123E-01     0.330938E-02
    0.4649  0.275696E-01     0.283294E-02
    0.4975  0.247125E-01     0.240205E-02
    0.5303  0.220335E-01     0.201596E-02
    0.5629  0.195286E-01     0.167341E-02
    0.5954  0.171957E-01     0.137269E-02
    0.6275  0.150329E-01     0.111161E-02
    0.6591  0.130385E-01     0.887659E-03
    0.6901  0.112101E-01     0.698008E-03
    0.7203  0.954499E-02     0.539632E-03
    0.7497  0.803931E-02     0.409374E-03
    0.7781  0.668855E-02     0.304028E-03
    0.8053  0.548736E-02     0.220411E-03
    0.8312  0.442965E-02     0.155428E-03
    0.8558  0.350871E-02     0.106133E-03
    0.8790  0.271739E-02     0.697710E-04
    0.9006  0.204815E-02     0.438188E-04
    0.9205  0.149292E-02     0.260143E-04
    0.9379  0.106139E-02     0.147915E-04
    0.9527  0.735227E-03     0.803517E-05
    0.9659  0.482574E-03     0.398410E-05
    0.9772  0.294303E-03     0.174806E-05
    0.9868  0.161516E-03     0.646064E-06
    0.9945  0.754283E-04     0.184820E-06
    1.0003  0.268599E-04     0.347312E-07
    1.0041  0.554093E-05     0.292289E-08
    1.0061  0.320723E-06     0.394840E-10
    1.0063   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0063351185921958     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.871112E-01    -0.157159E-01
   -0.0003  0.869679E-01    -0.156721E-01
   -0.0023  0.866813E-01    -0.155846E-01
   -0.0063  0.861091E-01    -0.154110E-01
   -0.0123  0.852534E-01    -0.151536E-01
   -0.0203  0.841170E-01    -0.148161E-01
   -0.0302  0.827031E-01    -0.144033E-01
   -0.0420  0.810156E-01    -0.139210E-01
   -0.0556  0.790594E-01    -0.133759E-01
   -0.0710  0.768410E-01    -0.127758E-01
   -0.0881  0.743700E-01    -0.121291E-01
   -0.1069  0.716642E-01    -0.114447E-01
   -0.1272  0.687734E-01    -0.107318E-01
   -0.1508  0.654684E-01    -0.993761E-02
   -0.1779  0.617198E-01    -0.907777E-02
   -0.2064  0.577898E-01    -0.822523E-02
   -0.2364  0.537390E-01    -0.739139E-02
   -0.2675  0.496239E-01    -0.658649E-02
   -0.2998  0.454990E-01    -0.581937E-02
   -0.3331  0.414243E-01    -0.509726E-02
   -0.3671  0.374632E-01    -0.442556E-02
   -0.4003  0.338533E-01    -0.383160E-02
   -0.4324  0.306123E-01    -0.330938E-02
   -0.4649  0.275696E-01    -0.283294E-02
   -0.4975  0.247125E-01    -0.240205E-02
   -0.5303  0.220335E-01    -0.201596E-02
   -0.5629  0.195286E-01    -0.167341E-02
   -0.5954  0.171957E-01    -0.137269E-02
   -0.6275  0.150329E-01    -0.111161E-02
   -0.6591  0.130385E-01    -0.887659E-03
   -0.6901  0.112101E-01    -0.698008E-03
   -0.7203  0.954499E-02    -0.539632E-03
   -0.7497  0.803931E-02    -0.409374E-03
   -0.7781  0.668855E-02    -0.304028E-03
   -0.8053  0.548736E-02    -0.220411E-03
   -0.8312  0.442965E-02    -0.155428E-03
   -0.8558  0.350871E-02    -0.106133E-03
   -0.8790  0.271739E-02    -0.697710E-04
   -0.9006  0.204815E-02    -0.438188E-04
   -0.9205  0.149292E-02    -0.260143E-04
   -0.9379  0.106139E-02    -0.147915E-04
   -0.9527  0.735227E-03    -0.803517E-05
   -0.9659  0.482574E-03    -0.398410E-05
   -0.9772  0.294303E-03    -0.174806E-05
   -0.9868  0.161516E-03    -0.646064E-06
   -0.9945  0.754283E-04    -0.184820E-06
   -1.0003  0.268599E-04    -0.347312E-07
   -1.0041  0.554093E-05    -0.292289E-08
   -1.0061  0.320723E-06    -0.394840E-10
   -1.0063   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12547819433817903     
     2Ymax/Bref =   0.19453710788064268     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1255  0.128891E-02     0.402769E-04
    0.1258  0.128546E-02     0.387878E-04
    0.1281  0.127063E-02     0.358307E-04
    0.1326  0.120787E-02     0.302915E-04
    0.1390  0.106757E-02     0.230996E-04
    0.1468  0.853926E-03     0.156616E-04
    0.1555  0.615825E-03     0.931586E-05
    0.1645  0.402971E-03     0.476201E-05
    0.1732  0.235523E-03     0.200529E-05
    0.1810  0.116893E-03     0.641093E-06
    0.1874  0.441583E-04     0.132066E-06
    0.1919  0.959374E-05     0.119350E-07
    0.1942  0.576261E-06     0.169555E-09
    0.1945   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.19453710788064268     
     2Ymax/Bref =  -0.12547819433817903     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1255  0.128891E-02    -0.402769E-04
   -0.1258  0.128546E-02    -0.387878E-04
   -0.1281  0.127063E-02    -0.358307E-04
   -0.1326  0.120787E-02    -0.302915E-04
   -0.1390  0.106757E-02    -0.230996E-04
   -0.1468  0.853926E-03    -0.156616E-04
   -0.1555  0.615825E-03    -0.931586E-05
   -0.1645  0.402971E-03    -0.476201E-05
   -0.1732  0.235523E-03    -0.200529E-05
   -0.1810  0.116893E-03    -0.641093E-06
   -0.1874  0.441583E-04    -0.132066E-06
   -0.1919  0.959374E-05    -0.119350E-07
   -0.1942  0.576261E-06    -0.169555E-09
   -0.1945   0.00000         -0.00000    
