
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_31928_16_560c4f                                     
  Mach  =    0.850
  alpha =    1.917    CLtot =    0.157
  beta  =    0.000

  Sref  =  1044.80000
  Bref  =    69.86000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064414543372460     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.783448E-01     0.144925E-01
    0.0003  0.781999E-01     0.144472E-01
    0.0026  0.779103E-01     0.143567E-01
    0.0072  0.773321E-01     0.141771E-01
    0.0142  0.764674E-01     0.139112E-01
    0.0233  0.753187E-01     0.135631E-01
    0.0347  0.738895E-01     0.131381E-01
    0.0483  0.721835E-01     0.126427E-01
    0.0640  0.702063E-01     0.120846E-01
    0.0817  0.679657E-01     0.114724E-01
    0.1014  0.654763E-01     0.108155E-01
    0.1230  0.627770E-01     0.101236E-01
    0.1450  0.600775E-01     0.944988E-02
    0.1671  0.573924E-01     0.880101E-02
    0.1906  0.545689E-01     0.814345E-02
    0.2154  0.516247E-01     0.748533E-02
    0.2414  0.485875E-01     0.683443E-02
    0.2685  0.454916E-01     0.619798E-02
    0.2965  0.423739E-01     0.558239E-02
    0.3254  0.392699E-01     0.499317E-02
    0.3550  0.362149E-01     0.443480E-02
    0.3863  0.331314E-01     0.388953E-02
    0.4192  0.300690E-01     0.336490E-02
    0.4525  0.271598E-01     0.288469E-02
    0.4859  0.244057E-01     0.244920E-02
    0.5195  0.218068E-01     0.205808E-02
    0.5529  0.193639E-01     0.171037E-02
    0.5862  0.170783E-01     0.140458E-02
    0.6191  0.149511E-01     0.113871E-02
    0.6515  0.129831E-01     0.910341E-03
    0.6833  0.111744E-01     0.716734E-03
    0.7143  0.952406E-02     0.554886E-03
    0.7443  0.803009E-02     0.421638E-03
    0.7734  0.668927E-02     0.313750E-03
    0.8013  0.549720E-02     0.227992E-03
    0.8279  0.444818E-02     0.161213E-03
    0.8531  0.353533E-02     0.110412E-03
    0.8768  0.275060E-02     0.727929E-04
    0.8989  0.208488E-02     0.458091E-04
    0.9194  0.152841E-02     0.271924E-04
    0.9380  0.107160E-02     0.149669E-04
    0.9537  0.727346E-03     0.780641E-05
    0.9666  0.477976E-03     0.386280E-05
    0.9778  0.290659E-03     0.168687E-05
    0.9872  0.158333E-03     0.619235E-06
    0.9948  0.732164E-04     0.175907E-06
    1.0005  0.258761E-04     0.328982E-07
    1.0043  0.533029E-05     0.276625E-08
    1.0062  0.309731E-06     0.375036E-10
    1.0064   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0064414543372460     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.783448E-01    -0.144925E-01
