
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_31928_4_3a0bf0                                      
  Mach  =    0.850
  alpha =    1.793    CLtot =    0.166
  beta  =    0.000

  Sref  =   914.50000
  Bref  =    64.11000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063235064732492     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.828855E-01     0.157131E-01
    0.0003  0.827570E-01     0.156710E-01
    0.0023  0.825000E-01     0.155868E-01
    0.0064  0.819869E-01     0.154197E-01
    0.0124  0.812197E-01     0.151718E-01
    0.0205  0.802010E-01     0.148465E-01
    0.0305  0.789342E-01     0.144482E-01
    0.0424  0.774232E-01     0.139824E-01
    0.0562  0.756731E-01     0.134552E-01
    0.0718  0.736903E-01     0.128738E-01
    0.0891  0.714835E-01     0.122458E-01
    0.1081  0.690679E-01     0.115797E-01
    0.1286  0.664852E-01     0.108838E-01
    0.1525  0.635281E-01     0.101059E-01
    0.1799  0.601701E-01     0.926008E-02
    0.2088  0.566256E-01     0.841734E-02
    0.2391  0.529321E-01     0.758884E-02
    0.2706  0.491503E-01     0.678479E-02
    0.3032  0.453336E-01     0.601408E-02
    0.3368  0.415326E-01     0.528418E-02
    0.3713  0.377986E-01     0.460095E-02
    0.4042  0.344203E-01     0.400525E-02
    0.4353  0.314131E-01     0.348911E-02
    0.4667  0.285560E-01     0.301384E-02
    0.4983  0.258439E-01     0.257992E-02
    0.5300  0.232739E-01     0.218728E-02
    0.5616  0.208451E-01     0.183536E-02
    0.5930  0.185578E-01     0.152308E-02
    0.6241  0.164128E-01     0.124891E-02
    0.6547  0.144106E-01     0.101091E-02
    0.6847  0.125518E-01     0.806823E-03
    0.7139  0.108362E-01     0.634097E-03
    0.7423  0.926330E-02     0.489997E-03
    0.7698  0.783183E-02     0.371652E-03
    0.7961  0.654003E-02     0.276129E-03
    0.8212  0.538555E-02     0.200500E-03
    0.8451  0.436541E-02     0.141897E-03
    0.8675  0.347599E-02     0.975739E-04
    0.8884  0.271286E-02     0.649549E-04
    0.9076  0.207068E-02     0.416769E-04
    0.9252  0.154286E-02     0.256290E-04
    0.9420  0.109488E-02     0.144489E-04
    0.9578  0.723098E-03     0.719743E-05
    0.9714  0.443214E-03     0.317224E-05
    0.9829  0.244492E-03     0.117866E-05
    0.9921  0.115018E-03     0.339511E-06
    0.9991  0.413853E-04     0.643330E-07
    1.0037  0.862827E-05     0.545982E-08
    1.0060  0.502491E-06     0.741761E-10
    1.0063   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0063235064732492     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.828855E-01    -0.157131E-01
   -0.0003  0.827570E-01    -0.156710E-01
   -0.0023  0.825000E-01    -0.155868E-01
   -0.0064  0.819869E-01    -0.154197E-01
   -0.0124  0.812197E-01    -0.151718E-01
   -0.0205  0.802010E-01    -0.148465E-01
   -0.0305  0.789342E-01    -0.144482E-01
   -0.0424  0.774232E-01    -0.139824E-01
   -0.0562  0.756731E-01    -0.134552E-01
   -0.0718  0.736903E-01    -0.128738E-01
   -0.0891  0.714835E-01    -0.122458E-01
   -0.1081  0.690679E-01    -0.115797E-01
   -0.1286  0.664852E-01    -0.108838E-01
   -0.1525  0.635281E-01    -0.101059E-01
   -0.1799  0.601701E-01    -0.926008E-02
   -0.2088  0.566256E-01    -0.841734E-02
   -0.2391  0.529321E-01    -0.758884E-02
   -0.2706  0.491503E-01    -0.678479E-02
   -0.3032  0.453336E-01    -0.601408E-02
   -0.3368  0.415326E-01    -0.528418E-02
   -0.3713  0.377986E-01    -0.460095E-02
   -0.4042  0.344203E-01    -0.400525E-02
   -0.4353  0.314131E-01    -0.348911E-02
   -0.4667  0.285560E-01    -0.301384E-02
   -0.4983  0.258439E-01    -0.257992E-02
   -0.5300  0.232739E-01    -0.218728E-02
   -0.5616  0.208451E-01    -0.183536E-02
   -0.5930  0.185578E-01    -0.152308E-02
   -0.6241  0.164128E-01    -0.124891E-02
   -0.6547  0.144106E-01    -0.101091E-02
   -0.6847  0.125518E-01    -0.806823E-03
   -0.7139  0.108362E-01    -0.634097E-03
   -0.7423  0.926330E-02    -0.489997E-03
   -0.7698  0.783183E-02    -0.371652E-03
   -0.7961  0.654003E-02    -0.276129E-03
   -0.8212  0.538555E-02    -0.200500E-03
   -0.8451  0.436541E-02    -0.141897E-03
   -0.8675  0.347599E-02    -0.975739E-04
   -0.8884  0.271286E-02    -0.649549E-04
   -0.9076  0.207068E-02    -0.416769E-04
   -0.9252  0.154286E-02    -0.256290E-04
   -0.9420  0.109488E-02    -0.144489E-04
   -0.9578  0.723098E-03    -0.719743E-05
   -0.9714  0.443214E-03    -0.317224E-05
   -0.9829  0.244492E-03    -0.117866E-05
   -0.9921  0.115018E-03    -0.339511E-06
   -0.9991  0.413853E-04    -0.643330E-07
   -1.0037  0.862827E-05    -0.545982E-08
   -1.0060  0.502491E-06    -0.741761E-10
   -1.0063   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12790516300109186     
     2Ymax/Bref =   0.19829979722352206     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1279  0.115105E-02     0.363293E-04
    0.1282  0.114784E-02     0.349738E-04
    0.1306  0.113411E-02     0.322828E-04
    0.1352  0.107637E-02     0.272470E-04
    0.1417  0.948264E-03     0.207241E-04
    0.1496  0.754863E-03     0.140038E-04
    0.1585  0.541406E-03     0.829886E-05
    0.1677  0.352380E-03     0.422651E-05
    0.1766  0.204940E-03     0.177372E-05
    0.1845  0.101287E-03     0.565396E-06
    0.1910  0.381379E-04     0.116200E-06
    0.1956  0.826718E-05     0.104827E-07
    0.1980  0.495925E-06     0.148739E-09
    0.1983   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.19829979722352206     
     2Ymax/Bref =  -0.12790516300109186     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1279  0.115105E-02    -0.363293E-04
   -0.1282  0.114784E-02    -0.349738E-04
   -0.1306  0.113411E-02    -0.322828E-04
   -0.1352  0.107637E-02    -0.272470E-04
   -0.1417  0.948264E-03    -0.207241E-04
   -0.1496  0.754863E-03    -0.140038E-04
   -0.1585  0.541406E-03    -0.829886E-05
   -0.1677  0.352380E-03    -0.422651E-05
   -0.1766  0.204940E-03    -0.177372E-05
   -0.1845  0.101287E-03    -0.565396E-06
   -0.1910  0.381379E-04    -0.116200E-06
   -0.1956  0.826718E-05    -0.104827E-07
   -0.1980  0.495925E-06    -0.148739E-09
   -0.1983   0.00000         -0.00000    
