
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_31996_13_2340e4                                     
  Mach  =    0.850
  alpha =    2.113    CLtot =    0.173
  beta  =    0.000

  Sref  =   904.30000
  Bref  =    70.68000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064827391058289     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.861610E-01     0.153276E-01
    0.0003  0.859966E-01     0.152792E-01
    0.0025  0.856677E-01     0.151828E-01
    0.0070  0.850113E-01     0.149914E-01
    0.0137  0.840297E-01     0.147080E-01
    0.0226  0.827265E-01     0.143372E-01
    0.0337  0.811061E-01     0.138848E-01
    0.0468  0.791744E-01     0.133578E-01
    0.0620  0.769388E-01     0.127646E-01
    0.0792  0.744098E-01     0.121144E-01
    0.0983  0.716052E-01     0.114175E-01
    0.1193  0.685738E-01     0.106843E-01
    0.1421  0.653307E-01     0.992198E-02
    0.1666  0.618643E-01     0.914181E-02
    0.1927  0.581949E-01     0.835883E-02
    0.2202  0.543493E-01     0.758434E-02
    0.2491  0.503786E-01     0.682901E-02
    0.2792  0.463565E-01     0.610232E-02
    0.3103  0.423684E-01     0.541207E-02
    0.3424  0.385015E-01     0.476399E-02
    0.3739  0.349848E-01     0.418244E-02
    0.4047  0.318290E-01     0.366310E-02
    0.4360  0.288740E-01     0.318400E-02
    0.4676  0.261030E-01     0.274537E-02
    0.4994  0.235051E-01     0.234703E-02
    0.5313  0.210729E-01     0.198830E-02
    0.5632  0.188015E-01     0.166811E-02
    0.5948  0.166870E-01     0.138497E-02
    0.6261  0.147257E-01     0.113705E-02
    0.6569  0.129141E-01     0.922204E-03
    0.6871  0.112485E-01     0.738082E-03
    0.7165  0.972468E-02     0.582155E-03
    0.7451  0.833798E-02     0.451791E-03
    0.7727  0.708325E-02     0.344320E-03
    0.7993  0.595479E-02     0.257083E-03
    0.8246  0.494628E-02     0.187488E-03
    0.8485  0.405077E-02     0.133054E-03
    0.8711  0.326058E-02     0.914509E-04
    0.8921  0.256763E-02     0.605272E-04
    0.9115  0.196529E-02     0.383213E-04
    0.9293  0.145294E-02     0.230392E-04
    0.9456  0.102399E-02     0.127882E-04
    0.9606  0.677463E-03     0.636534E-05
    0.9735  0.414870E-03     0.279759E-05
    0.9843  0.227877E-03     0.103423E-05
    0.9930  0.106368E-03     0.295882E-06
    0.9996  0.379041E-04     0.556564E-07
    1.0040  0.784104E-05     0.469478E-08
    1.0062  0.455393E-06     0.636194E-10
    1.0065   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0064827391058289     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.861610E-01    -0.153276E-01
   -0.0003  0.859966E-01    -0.152792E-01
   -0.0025  0.856677E-01    -0.151828E-01
   -0.0070  0.850113E-01    -0.149914E-01
   -0.0137  0.840297E-01    -0.147080E-01
   -0.0226  0.827265E-01    -0.143372E-01
   -0.0337  0.811061E-01    -0.138848E-01
   -0.0468  0.791744E-01    -0.133578E-01
   -0.0620  0.769388E-01    -0.127646E-01
   -0.0792  0.744098E-01    -0.121144E-01
   -0.0983  0.716052E-01    -0.114175E-01
   -0.1193  0.685738E-01    -0.106843E-01
   -0.1421  0.653307E-01    -0.992198E-02
   -0.1666  0.618643E-01    -0.914181E-02
   -0.1927  0.581949E-01    -0.835883E-02
   -0.2202  0.543493E-01    -0.758434E-02
   -0.2491  0.503786E-01    -0.682901E-02
   -0.2792  0.463565E-01    -0.610232E-02
   -0.3103  0.423684E-01    -0.541207E-02
   -0.3424  0.385015E-01    -0.476399E-02
   -0.3739  0.349848E-01    -0.418244E-02
   -0.4047  0.318290E-01    -0.366310E-02
   -0.4360  0.288740E-01    -0.318400E-02
   -0.4676  0.261030E-01    -0.274537E-02
   -0.4994  0.235051E-01    -0.234703E-02
   -0.5313  0.210729E-01    -0.198830E-02
   -0.5632  0.188015E-01    -0.166811E-02
   -0.5948  0.166870E-01    -0.138497E-02
   -0.6261  0.147257E-01    -0.113705E-02
   -0.6569  0.129141E-01    -0.922204E-03
   -0.6871  0.112485E-01    -0.738082E-03
   -0.7165  0.972468E-02    -0.582155E-03
   -0.7451  0.833798E-02    -0.451791E-03
   -0.7727  0.708325E-02    -0.344320E-03
   -0.7993  0.595479E-02    -0.257083E-03
   -0.8246  0.494628E-02    -0.187488E-03
   -0.8485  0.405077E-02    -0.133054E-03
   -0.8711  0.326058E-02    -0.914509E-04
   -0.8921  0.256763E-02    -0.605272E-04
   -0.9115  0.196529E-02    -0.383213E-04
   -0.9293  0.145294E-02    -0.230392E-04
   -0.9456  0.102399E-02    -0.127882E-04
   -0.9606  0.677463E-03    -0.636534E-05
   -0.9735  0.414870E-03    -0.279759E-05
   -0.9843  0.227877E-03    -0.103423E-05
   -0.9930  0.106368E-03    -0.295882E-06
   -0.9996  0.379041E-04    -0.556564E-07
   -1.0040  0.784104E-05    -0.469478E-08
   -1.0062  0.455393E-06    -0.636194E-10
   -1.0065   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.11601584606677984     
     2Ymax/Bref =   0.17986700622524049     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1160  0.111259E-02     0.335052E-04
    0.1163  0.110979E-02     0.323167E-04
    0.1184  0.109791E-02     0.299552E-04
    0.1226  0.104839E-02     0.255202E-04
    0.1285  0.938768E-03     0.197131E-04
    0.1357  0.769722E-03     0.135983E-04
    0.1438  0.572638E-03     0.823965E-05
    0.1521  0.385179E-03     0.428122E-05
    0.1602  0.229815E-03     0.182620E-05
    0.1674  0.115728E-03     0.589467E-06
    0.1733  0.441465E-04     0.122264E-06
    0.1774  0.964920E-05     0.111013E-07
    0.1796  0.581498E-06     0.158193E-09
    0.1799   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.17986700622524049     
     2Ymax/Bref =  -0.11601584606677984     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1160  0.111259E-02    -0.335052E-04
   -0.1163  0.110979E-02    -0.323167E-04
   -0.1184  0.109791E-02    -0.299552E-04
   -0.1226  0.104839E-02    -0.255202E-04
   -0.1285  0.938768E-03    -0.197131E-04
   -0.1357  0.769722E-03    -0.135983E-04
   -0.1438  0.572638E-03    -0.823965E-05
