
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_32020_14_80dcfc                                     
  Mach  =    0.850
  alpha =    2.659    CLtot =    0.199
  beta  =    0.000

  Sref  =   732.70000
  Bref  =    63.33000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063792831201643     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.988469E-01     0.169874E-01
    0.0003  0.986560E-01     0.169338E-01
    0.0024  0.982743E-01     0.168268E-01
    0.0068  0.975125E-01     0.166147E-01
    0.0133  0.963734E-01     0.163008E-01
    0.0219  0.948613E-01     0.158899E-01
    0.0325  0.929818E-01     0.153888E-01
    0.0452  0.907419E-01     0.148052E-01
    0.0599  0.881503E-01     0.141484E-01
    0.0766  0.852181E-01     0.134289E-01
    0.0950  0.819603E-01     0.126580E-01
    0.1152  0.784017E-01     0.118477E-01
    0.1371  0.745944E-01     0.110104E-01
    0.1604  0.705989E-01     0.101652E-01
    0.1850  0.664008E-01     0.932383E-02
    0.2109  0.619879E-01     0.849180E-02
    0.2381  0.574291E-01     0.768073E-02
    0.2664  0.528128E-01     0.690086E-02
    0.2958  0.482299E-01     0.616060E-02
    0.3260  0.437860E-01     0.546618E-02
    0.3569  0.396041E-01     0.482115E-02
    0.3885  0.357980E-01     0.422406E-02
    0.4204  0.323597E-01     0.367409E-02
    0.4528  0.292019E-01     0.317195E-02
    0.4853  0.262830E-01     0.271645E-02
    0.5179  0.235773E-01     0.230625E-02
    0.5504  0.210679E-01     0.193973E-02
    0.5828  0.187417E-01     0.161502E-02
    0.6147  0.165887E-01     0.132994E-02
    0.6462  0.146002E-01     0.108209E-02
    0.6771  0.127686E-01     0.868870E-03
    0.7072  0.110868E-01     0.687549E-03
    0.7365  0.954816E-02     0.535291E-03
    0.7647  0.814642E-02     0.409220E-03
    0.7918  0.687546E-02     0.306462E-03
    0.8177  0.572942E-02     0.224190E-03
    0.8422  0.470284E-02     0.159662E-03
    0.8653  0.379086E-02     0.110250E-03
    0.8868  0.298960E-02     0.734696E-04
    0.9066  0.229640E-02     0.469956E-04
    0.9247  0.171040E-02     0.286816E-04
    0.9418  0.121087E-02     0.160913E-04
    0.9576  0.800523E-03     0.803173E-05
    0.9713  0.491963E-03     0.355071E-05
    0.9828  0.272651E-03     0.132406E-05
    0.9921  0.128912E-03     0.382473E-06
    0.9991  0.464667E-04     0.725008E-07
    1.0037  0.965537E-05     0.613535E-08
    1.0061  0.559194E-06     0.829234E-10
    1.0064   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0063792831201643     
     2Ymax/Bref =    0.0000000000000000     
