
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_32020_2_af112d                                      
  Mach  =    0.850
  alpha =    1.862    CLtot =    0.145
  beta  =    0.000

  Sref  =  1123.20000
  Bref  =    64.31000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0059493080391853     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.725590E-01     0.142543E-01
    0.0003  0.724360E-01     0.142125E-01
    0.0026  0.721902E-01     0.141290E-01
    0.0072  0.716995E-01     0.139634E-01
    0.0141  0.709663E-01     0.137179E-01
    0.0232  0.699939E-01     0.133961E-01
    0.0346  0.687872E-01     0.130026E-01
    0.0481  0.673522E-01     0.125431E-01
    0.0637  0.656966E-01     0.120241E-01
    0.0813  0.638298E-01     0.114529E-01
    0.1010  0.617643E-01     0.108375E-01
    0.1224  0.595204E-01     0.101863E-01
    0.1457  0.571244E-01     0.950792E-02
    0.1697  0.546888E-01     0.883861E-02
    0.1942  0.522154E-01     0.818490E-02
    0.2200  0.496163E-01     0.752783E-02
    0.2471  0.469105E-01     0.687506E-02
    0.2752  0.441228E-01     0.623386E-02
    0.3044  0.412807E-01     0.561089E-02
    0.3345  0.384136E-01     0.501205E-02
    0.3653  0.355514E-01     0.444241E-02
    0.3968  0.327275E-01     0.390600E-02
    0.4285  0.299841E-01     0.340619E-02
    0.4604  0.273455E-01     0.294472E-02
    0.4925  0.248156E-01     0.252214E-02
    0.5247  0.223990E-01     0.213880E-02
    0.5568  0.200982E-01     0.179451E-02
    0.5887  0.179170E-01     0.148851E-02
    0.6203  0.158592E-01     0.121955E-02
    0.6513  0.139286E-01     0.985945E-03
    0.6818  0.121288E-01     0.785613E-03
    0.7115  0.104626E-01     0.616157E-03
    0.7404  0.893205E-02     0.474932E-03
    0.7683  0.753811E-02     0.359127E-03
    0.7950  0.628065E-02     0.265841E-03
    0.8206  0.515830E-02     0.192161E-03
    0.8447  0.416842E-02     0.135229E-03
    0.8675  0.330709E-02     0.923127E-04
    0.8887  0.256909E-02     0.608564E-04
    0.9083  0.194795E-02     0.385310E-04
    0.9262  0.143601E-02     0.232672E-04
    0.9429  0.100794E-02     0.129298E-04
    0.9584  0.660652E-03     0.640506E-05
    0.9717  0.402163E-03     0.280918E-05
    0.9830  0.220566E-03     0.103944E-05
    0.9920  0.103277E-03     0.298406E-06
    0.9988  0.370295E-04     0.564031E-07
    1.0034  0.770480E-05     0.477957E-08
    1.0057  0.448647E-06     0.649258E-10
    1.0059   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0059493080391853     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.725590E-01    -0.142543E-01
   -0.0003  0.724360E-01    -0.142125E-01
   -0.0026  0.721902E-01    -0.141290E-01
   -0.0072  0.716995E-01    -0.139634E-01
   -0.0141  0.709663E-01    -0.137179E-01
   -0.0232  0.699939E-01    -0.133961E-01
   -0.0346  0.687872E-01    -0.130026E-01
   -0.0481  0.673522E-01    -0.125431E-01
   -0.0637  0.656966E-01    -0.120241E-01
   -0.0813  0.638298E-01    -0.114529E-01
   -0.1010  0.617643E-01    -0.108375E-01
   -0.1224  0.595204E-01    -0.101863E-01
   -0.1457  0.571244E-01    -0.950792E-02
   -0.1697  0.546888E-01    -0.883861E-02
   -0.1942  0.522154E-01    -0.818490E-02
   -0.2200  0.496163E-01    -0.752783E-02
