
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_32344_7_d72164                                      
  Mach  =    0.850
  alpha =    2.306    CLtot =    0.183
  beta  =    0.000

  Sref  =   857.80000
  Bref  =    63.69000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0065127963573559     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.908794E-01     0.160805E-01
    0.0003  0.907164E-01     0.160321E-01
    0.0024  0.903905E-01     0.159355E-01
    0.0067  0.897398E-01     0.157439E-01
    0.0130  0.887669E-01     0.154600E-01
    0.0215  0.874748E-01     0.150882E-01
    0.0320  0.858675E-01     0.146341E-01
    0.0444  0.839498E-01     0.141044E-01
    0.0589  0.817279E-01     0.135071E-01
    0.0752  0.792099E-01     0.128512E-01
    0.0933  0.764078E-01     0.121465E-01
    0.1132  0.733451E-01     0.114035E-01
    0.1347  0.700828E-01     0.106327E-01
    0.1588  0.665018E-01     0.980769E-02
    0.1856  0.625875E-01     0.894314E-02
    0.2139  0.584953E-01     0.808744E-02
    0.2435  0.542763E-01     0.725218E-02
    0.2744  0.500075E-01     0.644768E-02
    0.3064  0.457569E-01     0.568260E-02
    0.3393  0.415906E-01     0.496374E-02
    0.3713  0.377896E-01     0.432755E-02
    0.4020  0.343654E-01     0.376794E-02
    0.4332  0.311110E-01     0.325231E-02
    0.4648  0.280249E-01     0.278156E-02
    0.4965  0.251066E-01     0.235587E-02
    0.5283  0.223574E-01     0.197477E-02
    0.5601  0.197794E-01     0.163717E-02
    0.5916  0.173751E-01     0.134140E-02
    0.6229  0.151460E-01     0.108529E-02
    0.6536  0.130932E-01     0.866281E-03
    0.6837  0.112164E-01     0.681451E-03
    0.7131  0.951447E-02     0.527668E-03
    0.7417  0.798447E-02     0.401655E-03
    0.7692  0.662226E-02     0.300086E-03
    0.7957  0.542225E-02     0.219676E-03
    0.8209  0.437747E-02     0.157252E-03
    0.8448  0.347967E-02     0.109820E-03
    0.8673  0.271940E-02     0.746250E-04
    0.8883  0.208620E-02     0.491839E-04
    0.9077  0.156875E-02     0.313189E-04
    0.9254  0.115487E-02     0.191694E-04
    0.9422  0.812803E-03     0.108100E-04
    0.9580  0.536628E-03     0.542628E-05
    0.9716  0.332680E-03     0.242546E-05
    0.9831  0.187554E-03     0.917038E-06
    0.9923  0.903903E-04     0.268135E-06
    0.9992  0.329281E-04     0.511201E-07
    1.0039  0.682445E-05     0.431544E-08
    1.0062  0.392179E-06     0.579047E-10
    1.0065   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0065127963573559     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.908794E-01    -0.160805E-01
   -0.0003  0.907164E-01    -0.160321E-01
   -0.0024  0.903905E-01    -0.159355E-01
   -0.0067  0.897398E-01    -0.157439E-01
   -0.0130  0.887669E-01    -0.154600E-01
   -0.0215  0.874748E-01    -0.150882E-01
   -0.0320  0.858675E-01    -0.146341E-01
   -0.0444  0.839498E-01    -0.141044E-01
   -0.0589  0.817279E-01    -0.135071E-01
   -0.0752  0.792099E-01    -0.128512E-01
   -0.0933  0.764078E-01    -0.121465E-01
   -0.1132  0.733451E-01    -0.114035E-01
   -0.1347  0.700828E-01    -0.106327E-01
   -0.1588  0.665018E-01    -0.980769E-02
   -0.1856  0.625875E-01    -0.894314E-02
   -0.2139  0.584953E-01    -0.808744E-02
   -0.2435  0.542763E-01    -0.725218E-02
   -0.2744  0.500075E-01    -0.644768E-02
   -0.3064  0.457569E-01    -0.568260E-02
   -0.3393  0.415906E-01    -0.496374E-02
   -0.3713  0.377896E-01    -0.432755E-02
