
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_32520_12_ac01d9                                     
  Mach  =    0.850
  alpha =    2.124    CLtot =    0.165
  beta  =    0.000

  Sref  =   962.50000
  Bref  =    66.51000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063749812058336     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.820310E-01     0.153064E-01
    0.0003  0.818791E-01     0.152585E-01
    0.0026  0.815754E-01     0.151629E-01
    0.0073  0.809692E-01     0.149732E-01
    0.0143  0.800627E-01     0.146924E-01
    0.0235  0.788587E-01     0.143248E-01
    0.0350  0.773612E-01     0.138759E-01
    0.0487  0.755750E-01     0.133527E-01
    0.0646  0.735066E-01     0.127633E-01
    0.0824  0.711654E-01     0.121167E-01
    0.1023  0.685669E-01     0.114228E-01
    0.1241  0.657510E-01     0.106919E-01
    0.1465  0.629088E-01     0.997255E-02
    0.1693  0.600567E-01     0.927228E-02
    0.1935  0.570630E-01     0.856311E-02
    0.2191  0.539460E-01     0.785382E-02
    0.2459  0.507344E-01     0.715284E-02
    0.2738  0.474638E-01     0.646793E-02
    0.3027  0.441720E-01     0.580603E-02
    0.3325  0.408955E-01     0.517307E-02
    0.3630  0.376708E-01     0.457390E-02
    0.3942  0.345143E-01     0.400805E-02
    0.4260  0.314529E-01     0.347906E-02
    0.4581  0.285193E-01     0.299292E-02
    0.4905  0.257220E-01     0.255038E-02
    0.5229  0.230655E-01     0.215149E-02
    0.5552  0.205544E-01     0.179562E-02
    0.5873  0.181931E-01     0.148153E-02
    0.6191  0.159856E-01     0.120745E-02
    0.6504  0.139350E-01     0.971149E-03
    0.6811  0.120435E-01     0.770019E-03
    0.7110  0.103119E-01     0.601153E-03
    0.7401  0.873990E-02     0.461448E-03
    0.7682  0.732556E-02     0.347693E-03
    0.7951  0.606556E-02     0.256658E-03
    0.8208  0.495506E-02     0.185173E-03
    0.8452  0.398778E-02     0.130200E-03
    0.8681  0.315607E-02     0.888988E-04
    0.8894  0.245095E-02     0.586721E-04
    0.9092  0.186228E-02     0.372039E-04
    0.9272  0.137871E-02     0.224821E-04
    0.9439  0.975374E-03     0.125326E-04
    0.9592  0.646494E-03     0.624639E-05
    0.9725  0.397085E-03     0.274669E-05
    0.9836  0.218214E-03     0.101349E-05
    0.9926  0.101394E-03     0.288583E-06
    0.9993  0.358440E-04     0.539573E-07
    1.0038  0.736838E-05     0.452952E-08
    1.0061  0.427547E-06     0.613271E-10
    1.0064   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0063749812058336     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.820310E-01    -0.153064E-01
   -0.0003  0.818791E-01    -0.152585E-01
   -0.0026  0.815754E-01    -0.151629E-01
   -0.0073  0.809692E-01    -0.149732E-01
   -0.0143  0.800627E-01    -0.146924E-01
   -0.0235  0.788587E-01    -0.143248E-01
   -0.0350  0.773612E-01    -0.138759E-01
   -0.0487  0.755750E-01    -0.133527E-01
   -0.0646  0.735066E-01    -0.127633E-01
   -0.0824  0.711654E-01    -0.121167E-01
   -0.1023  0.685669E-01    -0.114228E-01
   -0.1241  0.657510E-01    -0.106919E-01
   -0.1465  0.629088E-01    -0.997255E-02
   -0.1693  0.600567E-01    -0.927228E-02
   -0.1935  0.570630E-01    -0.856311E-02
   -0.2191  0.539460E-01    -0.785382E-02
   -0.2459  0.507344E-01    -0.715284E-02
   -0.2738  0.474638E-01    -0.646793E-02
   -0.3027  0.441720E-01    -0.580603E-02
   -0.3325  0.408955E-01    -0.517307E-02
   -0.3630  0.376708E-01    -0.457390E-02
   -0.3942  0.345143E-01    -0.400805E-02
   -0.4260  0.314529E-01    -0.347906E-02
   -0.4581  0.285193E-01    -0.299292E-02
   -0.4905  0.257220E-01    -0.255038E-02
   -0.5229  0.230655E-01    -0.215149E-02
   -0.5552  0.205544E-01    -0.179562E-02
   -0.5873  0.181931E-01    -0.148153E-02
   -0.6191  0.159856E-01    -0.120745E-02
   -0.6504  0.139350E-01    -0.971149E-03
   -0.6811  0.120435E-01    -0.770019E-03
   -0.7110  0.103119E-01    -0.601153E-03
   -0.7401  0.873990E-02    -0.461448E-03
   -0.7682  0.732556E-02    -0.347693E-03
   -0.7951  0.606556E-02    -0.256658E-03
   -0.8208  0.495506E-02    -0.185173E-03
   -0.8452  0.398778E-02    -0.130200E-03
   -0.8681  0.315607E-02    -0.888988E-04
   -0.8894  0.245095E-02    -0.586721E-04
   -0.9092  0.186228E-02    -0.372039E-04
   -0.9272  0.137871E-02    -0.224821E-04
   -0.9439  0.975374E-03    -0.125326E-04
