
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_32520_6_323adb                                      
  Mach  =    0.850
  alpha =    2.201    CLtot =    0.184
  beta  =    0.000

  Sref  =   821.00000
  Bref  =    70.81000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064567151532269     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.917808E-01     0.162472E-01
    0.0003  0.916001E-01     0.161959E-01
    0.0025  0.912385E-01     0.160935E-01
    0.0070  0.905169E-01     0.158903E-01
    0.0137  0.894377E-01     0.155897E-01
    0.0225  0.880047E-01     0.151965E-01
    0.0336  0.862226E-01     0.147170E-01
    0.0467  0.840974E-01     0.141589E-01
    0.0618  0.816368E-01     0.135313E-01
    0.0790  0.788520E-01     0.128442E-01
    0.0980  0.757620E-01     0.121087E-01
    0.1189  0.724178E-01     0.113363E-01
    0.1416  0.688318E-01     0.105344E-01
    0.1661  0.649870E-01     0.971552E-02
    0.1921  0.609096E-01     0.889636E-02
    0.2196  0.566574E-01     0.808915E-02
    0.2484  0.523172E-01     0.730499E-02
    0.2784  0.479781E-01     0.655329E-02
    0.3095  0.437423E-01     0.584138E-02
    0.3415  0.397293E-01     0.517398E-02
    0.3731  0.361689E-01     0.457020E-02
    0.4044  0.330362E-01     0.402519E-02
    0.4360  0.301416E-01     0.351999E-02
    0.4681  0.274445E-01     0.305450E-02
    0.5003  0.249199E-01     0.262848E-02
    0.5326  0.225512E-01     0.224144E-02
    0.5649  0.203263E-01     0.189260E-02
    0.5969  0.182362E-01     0.158089E-02
    0.6286  0.162739E-01     0.130493E-02
    0.6598  0.144338E-01     0.106310E-02
    0.6904  0.127113E-01     0.853527E-03
    0.7203  0.111027E-01     0.674149E-03
    0.7493  0.960504E-02     0.522728E-03
    0.7772  0.821602E-02     0.396897E-03
    0.8041  0.693395E-02     0.294194E-03
    0.8297  0.575794E-02     0.212099E-03
    0.8540  0.468816E-02     0.148066E-03
    0.8769  0.372620E-02     0.995566E-04
    0.8982  0.287550E-02     0.640677E-04
    0.9179  0.214210E-02     0.391638E-04
