
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_33272_10_8a99ff                                     
  Mach  =    0.850
  alpha =    2.268    CLtot =    0.172
  beta  =    0.000

  Sref  =   940.40000
  Bref  =    64.74000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063052208835344     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.852174E-01     0.148502E-01
    0.0003  0.850686E-01     0.148065E-01
    0.0023  0.847710E-01     0.147194E-01
    0.0064  0.841770E-01     0.145465E-01
    0.0125  0.832889E-01     0.142903E-01
    0.0206  0.821097E-01     0.139547E-01
    0.0307  0.806434E-01     0.135445E-01
    0.0427  0.788946E-01     0.130657E-01
    0.0566  0.768690E-01     0.125255E-01
    0.0723  0.745741E-01     0.119318E-01
    0.0898  0.720202E-01     0.112932E-01
    0.1089  0.692265E-01     0.106189E-01
    0.1295  0.662513E-01     0.991852E-02
    0.1535  0.628694E-01     0.914328E-02
    0.1809  0.590499E-01     0.830921E-02
    0.2098  0.550335E-01     0.748564E-02
    0.2401  0.508470E-01     0.668457E-02
    0.2716  0.465465E-01     0.591709E-02
    0.3043  0.422199E-01     0.519267E-02
    0.3379  0.379787E-01     0.451847E-02
    0.3724  0.339388E-01     0.389880E-02
    0.4052  0.304507E-01     0.336907E-02
    0.4361  0.274742E-01     0.291768E-02
    0.4673  0.247152E-01     0.250657E-02
    0.4987  0.221504E-01     0.213501E-02
    0.5302  0.197656E-01     0.180198E-02
    0.5616  0.175518E-01     0.150612E-02
    0.5929  0.155024E-01     0.124574E-02
    0.6237  0.136119E-01     0.101887E-02
    0.6542  0.118752E-01     0.823265E-03
    0.6840  0.102875E-01     0.656522E-03
    0.7131  0.884328E-02     0.516094E-03
    0.7413  0.753717E-02     0.399369E-03
    0.7686  0.636324E-02     0.303724E-03
    0.7948  0.531523E-02     0.226573E-03
    0.8197  0.438662E-02     0.165418E-03
    0.8434  0.357071E-02     0.117885E-03
    0.8657  0.286083E-02     0.817517E-04
    0.8864  0.225058E-02     0.549748E-04
    0.9056  0.173389E-02     0.357029E-04
    0.9231  0.130484E-02     0.222895E-04
    0.9401  0.931024E-03     0.127002E-04
    0.9563  0.615767E-03     0.634715E-05
    0.9704  0.379400E-03     0.281062E-05
    0.9822  0.210855E-03     0.104871E-05
    0.9917  0.996687E-04     0.302380E-06
    0.9988  0.357411E-04     0.570624E-07
    1.0036  0.737432E-05     0.480196E-08
    1.0060  0.425554E-06     0.646846E-10
    1.0063   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0063052208835344     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.852174E-01    -0.148502E-01
   -0.0003  0.850686E-01    -0.148065E-01
   -0.0023  0.847710E-01    -0.147194E-01
   -0.0064  0.841770E-01    -0.145465E-01
   -0.0125  0.832889E-01    -0.142903E-01
   -0.0206  0.821097E-01    -0.139547E-01
   -0.0307  0.806434E-01    -0.135445E-01
   -0.0427  0.788946E-01    -0.130657E-01
   -0.0566  0.768690E-01    -0.125255E-01
   -0.0723  0.745741E-01    -0.119318E-01
   -0.0898  0.720202E-01    -0.112932E-01
   -0.1089  0.692265E-01    -0.106189E-01
   -0.1295  0.662513E-01    -0.991852E-02
   -0.1535  0.628694E-01    -0.914328E-02
   -0.1809  0.590499E-01    -0.830921E-02
   -0.2098  0.550335E-01    -0.748564E-02
   -0.2401  0.508470E-01    -0.668457E-02
   -0.2716  0.465465E-01    -0.591709E-02
   -0.3043  0.422199E-01    -0.519267E-02
   -0.3379  0.379787E-01    -0.451847E-02
   -0.3724  0.339388E-01    -0.389880E-02
   -0.4052  0.304507E-01    -0.336907E-02
   -0.4361  0.274742E-01    -0.291768E-02
   -0.4673  0.247152E-01    -0.250657E-02
   -0.4987  0.221504E-01    -0.213501E-02
   -0.5302  0.197656E-01    -0.180198E-02
   -0.5616  0.175518E-01    -0.150612E-02
   -0.5929  0.155024E-01    -0.124574E-02
   -0.6237  0.136119E-01    -0.101887E-02
   -0.6542  0.118752E-01    -0.823265E-03
   -0.6840  0.102875E-01    -0.656522E-03
   -0.7131  0.884328E-02    -0.516094E-03
   -0.7413  0.753717E-02    -0.399369E-03
   -0.7686  0.636324E-02    -0.303724E-03
   -0.7948  0.531523E-02    -0.226573E-03
   -0.8197  0.438662E-02    -0.165418E-03
   -0.8434  0.357071E-02    -0.117885E-03
   -0.8657  0.286083E-02    -0.817517E-04
   -0.8864  0.225058E-02    -0.549748E-04
   -0.9056  0.173389E-02    -0.357029E-04
   -0.9231  0.130484E-02    -0.222895E-04
   -0.9401  0.931024E-03    -0.127002E-04
   -0.9563  0.615767E-03    -0.634715E-05
   -0.9704  0.379400E-03    -0.281062E-05
   -0.9822  0.210855E-03    -0.104871E-05
   -0.9917  0.996687E-04    -0.302380E-06
   -0.9988  0.357411E-04    -0.570624E-07
   -1.0036  0.737432E-05    -0.480196E-08
   -1.0060  0.425554E-06    -0.646846E-10
   -1.0063   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12666048810627123     
     2Ymax/Bref =   0.19637009576768613     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1267  0.154559E-02     0.499343E-04
    0.1270  0.154197E-02     0.481315E-04
    0.1293  0.152617E-02     0.445486E-04
    0.1339  0.145754E-02     0.378174E-04
    0.1403  0.129964E-02     0.290209E-04
    0.1482  0.105245E-02     0.198302E-04
    0.1570  0.769278E-03     0.118907E-04
    0.1661  0.509365E-03     0.612151E-05
    0.1749  0.300408E-03     0.259234E-05
    0.1827  0.150042E-03     0.832225E-06
    0.1892  0.569165E-04     0.171939E-06
    0.1937  0.123969E-04     0.155691E-07
    0.1961  0.745678E-06     0.221470E-09
    0.1964   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.19637009576768613     
     2Ymax/Bref =  -0.12666048810627123     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1267  0.154559E-02    -0.499343E-04
   -0.1270  0.154197E-02    -0.481315E-04
   -0.1293  0.152617E-02    -0.445486E-04
   -0.1339  0.145754E-02    -0.378174E-04
   -0.1403  0.129964E-02    -0.290209E-04
   -0.1482  0.105245E-02    -0.198302E-04
   -0.1570  0.769278E-03    -0.118907E-04
   -0.1661  0.509365E-03    -0.612151E-05
   -0.1749  0.300408E-03    -0.259234E-05
   -0.1827  0.150042E-03    -0.832225E-06
