
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_3340_13_855b7f                                      
  Mach  =    0.850
  alpha =    2.068    CLtot =    0.171
  beta  =    0.000

  Sref  =   894.10000
  Bref  =    70.54000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063226538134391     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.853781E-01     0.154151E-01
    0.0003  0.852280E-01     0.153711E-01
    0.0023  0.849279E-01     0.152832E-01
    0.0064  0.843290E-01     0.151089E-01
    0.0126  0.834334E-01     0.148505E-01
    0.0208  0.822445E-01     0.145121E-01
    0.0309  0.807666E-01     0.140985E-01
    0.0430  0.790051E-01     0.136159E-01
    0.0570  0.769667E-01     0.130714E-01
    0.0728  0.746598E-01     0.124731E-01
    0.0903  0.720966E-01     0.118295E-01
    0.1096  0.693017E-01     0.111501E-01
    0.1304  0.663158E-01     0.104443E-01
    0.1535  0.630416E-01     0.969885E-02
    0.1787  0.594489E-01     0.892609E-02
    0.2053  0.556544E-01     0.815984E-02
    0.2333  0.517239E-01     0.741067E-02
    0.2624  0.477352E-01     0.668792E-02
    0.2925  0.437700E-01     0.599928E-02
    0.3235  0.399240E-01     0.535045E-02
    0.3553  0.363094E-01     0.474472E-02
    0.3875  0.330482E-01     0.418353E-02
    0.4200  0.301288E-01     0.366535E-02
    0.4529  0.274500E-01     0.318795E-02
    0.4860  0.249652E-01     0.275055E-02
    0.5191  0.226458E-01     0.235240E-02
    0.5522  0.204723E-01     0.199258E-02
    0.5850  0.184309E-01     0.167003E-02
    0.6175  0.165115E-01     0.138343E-02
    0.6496  0.147062E-01     0.113126E-02
    0.6809  0.130093E-01     0.911785E-03
    0.7116  0.114165E-01     0.723068E-03
    0.7413  0.992467E-02     0.563002E-03
    0.7700  0.853160E-02     0.429336E-03
    0.7975  0.723605E-02     0.319698E-03
    0.8238  0.603772E-02     0.231632E-03
    0.8488  0.493771E-02     0.162624E-03
    0.8722  0.393990E-02     0.110128E-03
    0.8940  0.305307E-02     0.715694E-04
    0.9142  0.229110E-02     0.443627E-04
    0.9326  0.166634E-02     0.259762E-04
    0.9489  0.117837E-02     0.142857E-04
