
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_3340_3_81efd4                                       
  Mach  =    0.850
  alpha =    2.125    CLtot =    0.181
  beta  =    0.000

  Sref  =   816.90000
  Bref  =    64.72000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061433868974041     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.902746E-01     0.162832E-01
    0.0003  0.901063E-01     0.162314E-01
    0.0026  0.897697E-01     0.161280E-01
    0.0072  0.890978E-01     0.159228E-01
    0.0140  0.880932E-01     0.156190E-01
    0.0231  0.867596E-01     0.152213E-01
    0.0344  0.851018E-01     0.147359E-01
    0.0479  0.831262E-01     0.141702E-01
    0.0635  0.808405E-01     0.135329E-01
    0.0810  0.782549E-01     0.128338E-01
    0.1006  0.753843E-01     0.120838E-01
    0.1220  0.722603E-01     0.112939E-01
    0.1452  0.689254E-01     0.104759E-01
    0.1696  0.654539E-01     0.965643E-02
    0.1951  0.618393E-01     0.884575E-02
    0.2220  0.580352E-01     0.804016E-02
    0.2502  0.540814E-01     0.725051E-02
    0.2795  0.500381E-01     0.648670E-02
    0.3099  0.459732E-01     0.575729E-02
    0.3413  0.419549E-01     0.506917E-02
    0.3734  0.380530E-01     0.442742E-02
    0.4053  0.344238E-01     0.384576E-02
    0.4370  0.310950E-01     0.332210E-02
    0.4690  0.279763E-01     0.284484E-02
    0.5012  0.250547E-01     0.241360E-02
    0.5335  0.223222E-01     0.202752E-02
    0.5658  0.197741E-01     0.168520E-02
    0.5978  0.174072E-01     0.138480E-02
    0.6295  0.152189E-01     0.112404E-02
    0.6607  0.132065E-01     0.900285E-03
    0.6912  0.113668E-01     0.710660E-03
    0.7211  0.969592E-02     0.552082E-03
    0.7500  0.818898E-02     0.421366E-03
    0.7780  0.684032E-02     0.315298E-03
    0.8049  0.564333E-02     0.230712E-03
    0.8305  0.459055E-02     0.164548E-03
    0.8548  0.367368E-02     0.113914E-03
    0.8776  0.288374E-02     0.761283E-04
    0.8989  0.221119E-02     0.487526E-04
    0.9186  0.164618E-02     0.296166E-04
    0.9365  0.117896E-02     0.168259E-04
    0.9527  0.800944E-03     0.875866E-05
    0.9663  0.517799E-03     0.420791E-05
    0.9775  0.316116E-03     0.184450E-05
    0.9869  0.173066E-03     0.679985E-06
    0.9945  0.804814E-04     0.193990E-06
    1.0002  0.285853E-04     0.364086E-07
    1.0040  0.590502E-05     0.306808E-08
    1.0059  0.343254E-06     0.416099E-10
    1.0061   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0061433868974041     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.902746E-01    -0.162832E-01
   -0.0003  0.901063E-01    -0.162314E-01
   -0.0026  0.897697E-01    -0.161280E-01
   -0.0072  0.890978E-01    -0.159228E-01
   -0.0140  0.880932E-01    -0.156190E-01
   -0.0231  0.867596E-01    -0.152213E-01
   -0.0344  0.851018E-01    -0.147359E-01
   -0.0479  0.831262E-01    -0.141702E-01
   -0.0635  0.808405E-01    -0.135329E-01
   -0.0810  0.782549E-01    -0.128338E-01
   -0.1006  0.753843E-01    -0.120838E-01
   -0.1220  0.722603E-01    -0.112939E-01
   -0.1452  0.689254E-01    -0.104759E-01
   -0.1696  0.654539E-01    -0.965643E-02
   -0.1951  0.618393E-01    -0.884575E-02
   -0.2220  0.580352E-01    -0.804016E-02
   -0.2502  0.540814E-01    -0.725051E-02
   -0.2795  0.500381E-01    -0.648670E-02
   -0.3099  0.459732E-01    -0.575729E-02
   -0.3413  0.419549E-01    -0.506917E-02
   -0.3734  0.380530E-01    -0.442742E-02
   -0.4053  0.344238E-01    -0.384576E-02
   -0.4370  0.310950E-01    -0.332210E-02
   -0.4690  0.279763E-01    -0.284484E-02
   -0.5012  0.250547E-01    -0.241360E-02
   -0.5335  0.223222E-01    -0.202752E-02
   -0.5658  0.197741E-01    -0.168520E-02
   -0.5978  0.174072E-01    -0.138480E-02
   -0.6295  0.152189E-01    -0.112404E-02
   -0.6607  0.132065E-01    -0.900285E-03
   -0.6912  0.113668E-01    -0.710660E-03
   -0.7211  0.969592E-02    -0.552082E-03
   -0.7500  0.818898E-02    -0.421366E-03
   -0.7780  0.684032E-02    -0.315298E-03
   -0.8049  0.564333E-02    -0.230712E-03
   -0.8305  0.459055E-02    -0.164548E-03
   -0.8548  0.367368E-02    -0.113914E-03
   -0.8776  0.288374E-02    -0.761283E-04
   -0.8989  0.221119E-02    -0.487526E-04
   -0.9186  0.164618E-02    -0.296166E-04
   -0.9365  0.117896E-02    -0.168259E-04
   -0.9527  0.800944E-03    -0.875866E-05
   -0.9663  0.517799E-03    -0.420791E-05
   -0.9775  0.316116E-03    -0.184450E-05
   -0.9869  0.173066E-03    -0.679985E-06
   -0.9945  0.804814E-04    -0.193990E-06
   -1.0002  0.285853E-04    -0.364086E-07
   -1.0040  0.590502E-05    -0.306808E-08
   -1.0059  0.343254E-06    -0.416099E-10
   -1.0061   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12669962917181704     
     2Ymax/Bref =   0.19643077873918416     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1267  0.993505E-03     0.322219E-04
    0.1270  0.990625E-03     0.310631E-04
    0.1294  0.978599E-03     0.287627E-04
    0.1339  0.929824E-03     0.244561E-04
    0.1403  0.825904E-03     0.188528E-04
    0.1482  0.672334E-03     0.129967E-04
    0.1570  0.499316E-03     0.788880E-05
    0.1661  0.337077E-03     0.411387E-05
    0.1749  0.202283E-03     0.176250E-05
    0.1828  0.102469E-03     0.571319E-06
    0.1892  0.392844E-04     0.118926E-06
    0.1938  0.861708E-05     0.108284E-07
    0.1961  0.520380E-06     0.154603E-09
    0.1964   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.19643077873918416     
     2Ymax/Bref =  -0.12669962917181704     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1267  0.993505E-03    -0.322219E-04
   -0.1270  0.990625E-03    -0.310631E-04
   -0.1294  0.978599E-03    -0.287627E-04
   -0.1339  0.929824E-03    -0.244561E-04
   -0.1403  0.825904E-03    -0.188528E-04
   -0.1482  0.672334E-03    -0.129967E-04
   -0.1570  0.499316E-03    -0.788880E-05
