
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_33488_10_efe305                                     
  Mach  =    0.850
  alpha =    2.157    CLtot =    0.179
  beta  =    0.000

  Sref  =   874.60000
  Bref  =    63.78000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061618062088429     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.890169E-01     0.160960E-01
    0.0003  0.888660E-01     0.160502E-01
    0.0023  0.885643E-01     0.159588E-01
    0.0064  0.879621E-01     0.157773E-01
    0.0126  0.870616E-01     0.155084E-01
    0.0207  0.858658E-01     0.151559E-01
    0.0309  0.843781E-01     0.147249E-01
    0.0429  0.826028E-01     0.142216E-01
    0.0569  0.805457E-01     0.136533E-01
    0.0726  0.782140E-01     0.130281E-01
    0.0901  0.756188E-01     0.123550E-01
    0.1093  0.727807E-01     0.116435E-01
    0.1301  0.697616E-01     0.109033E-01
    0.1541  0.663611E-01     0.100859E-01
    0.1814  0.625629E-01     0.920687E-02
    0.2102  0.585919E-01     0.833521E-02
    0.2404  0.544732E-01     0.748267E-02
    0.2718  0.502728E-01     0.666003E-02
    0.3044  0.460640E-01     0.587649E-02
    0.3379  0.419124E-01     0.513940E-02
    0.3723  0.378818E-01     0.445418E-02
    0.4052  0.342664E-01     0.385842E-02
    0.4364  0.310668E-01     0.334337E-02
    0.4680  0.280508E-01     0.287225E-02
    0.4998  0.252111E-01     0.244505E-02
    0.5316  0.225431E-01     0.206121E-02
    0.5634  0.200440E-01     0.171963E-02
    0.5950  0.177127E-01     0.141874E-02
    0.6263  0.155479E-01     0.115654E-02
    0.6570  0.135483E-01     0.930633E-03
    0.6872  0.117122E-01     0.738366E-03
    0.7166  0.100368E-01     0.576857E-03
    0.7452  0.851867E-02     0.443091E-03
    0.7728  0.715329E-02     0.333998E-03
    0.7993  0.593530E-02     0.246523E-03
    0.8245  0.485847E-02     0.177693E-03
    0.8485  0.391581E-02     0.124668E-03
    0.8710  0.309976E-02     0.847936E-04
    0.8920  0.240237E-02     0.556337E-04
    0.9114  0.181557E-02     0.349946E-04
    0.9291  0.133154E-02     0.209407E-04
    0.9455  0.932675E-03     0.115861E-04
    0.9603  0.613890E-03     0.576143E-05
    0.9732  0.375732E-03     0.253661E-05
    0.9840  0.207162E-03     0.941150E-06
    0.9927  0.972456E-04     0.270266E-06
    0.9993  0.347785E-04     0.509422E-07
    1.0037  0.719097E-05     0.429480E-08
    1.0059  0.416461E-06     0.580463E-10
    1.0062   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0061618062088429     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.890169E-01    -0.160960E-01
   -0.0003  0.888660E-01    -0.160502E-01
   -0.0023  0.885643E-01    -0.159588E-01
   -0.0064  0.879621E-01    -0.157773E-01
   -0.0126  0.870616E-01    -0.155084E-01
   -0.0207  0.858658E-01    -0.151559E-01
   -0.0309  0.843781E-01    -0.147249E-01
   -0.0429  0.826028E-01    -0.142216E-01
   -0.0569  0.805457E-01    -0.136533E-01
   -0.0726  0.782140E-01    -0.130281E-01
   -0.0901  0.756188E-01    -0.123550E-01
   -0.1093  0.727807E-01    -0.116435E-01
   -0.1301  0.697616E-01    -0.109033E-01
   -0.1541  0.663611E-01    -0.100859E-01
   -0.1814  0.625629E-01    -0.920687E-02
   -0.2102  0.585919E-01    -0.833521E-02
   -0.2404  0.544732E-01    -0.748267E-02
   -0.2718  0.502728E-01    -0.666003E-02
   -0.3044  0.460640E-01    -0.587649E-02
   -0.3379  0.419124E-01    -0.513940E-02
   -0.3723  0.378818E-01    -0.445418E-02
   -0.4052  0.342664E-01    -0.385842E-02
   -0.4364  0.310668E-01    -0.334337E-02
   -0.4680  0.280508E-01    -0.287225E-02
   -0.4998  0.252111E-01    -0.244505E-02
   -0.5316  0.225431E-01    -0.206121E-02
   -0.5634  0.200440E-01    -0.171963E-02
   -0.5950  0.177127E-01    -0.141874E-02
   -0.6263  0.155479E-01    -0.115654E-02
   -0.6570  0.135483E-01    -0.930633E-03
   -0.6872  0.117122E-01    -0.738366E-03
   -0.7166  0.100368E-01    -0.576857E-03
   -0.7452  0.851867E-02    -0.443091E-03
   -0.7728  0.715329E-02    -0.333998E-03
   -0.7993  0.593530E-02    -0.246523E-03
   -0.8245  0.485847E-02    -0.177693E-03
   -0.8485  0.391581E-02    -0.124668E-03
   -0.8710  0.309976E-02    -0.847936E-04
   -0.8920  0.240237E-02    -0.556337E-04
   -0.9114  0.181557E-02    -0.349946E-04
   -0.9291  0.133154E-02    -0.209407E-04
   -0.9455  0.932675E-03    -0.115861E-04
   -0.9603  0.613890E-03    -0.576143E-05
   -0.9732  0.375732E-03    -0.253661E-05
   -0.9840  0.207162E-03    -0.941150E-06
   -0.9927  0.972456E-04    -0.270266E-06
   -0.9993  0.347785E-04    -0.509422E-07
   -1.0037  0.719097E-05    -0.429480E-08
   -1.0059  0.416461E-06    -0.580463E-10
   -1.0062   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12856694888679834     
     2Ymax/Bref =   0.19932580746315456     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1286  0.152012E-02     0.492368E-04
    0.1289  0.151610E-02     0.474373E-04
    0.1313  0.149892E-02     0.438634E-04
    0.1359  0.142654E-02     0.371643E-04
    0.1424  0.126520E-02     0.284473E-04
    0.1504  0.101901E-02     0.193874E-04
    0.1593  0.741788E-03     0.115980E-04
    0.1686  0.489643E-03     0.595821E-05
    0.1775  0.287970E-03     0.251819E-05
    0.1855  0.143470E-03     0.806983E-06
    0.1920  0.543119E-04     0.166476E-06
    0.1966  0.118119E-04     0.150567E-07
    0.1990  0.709821E-06     0.213994E-09
    0.1993   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.19932580746315456     
     2Ymax/Bref =  -0.12856694888679834     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1286  0.152012E-02    -0.492368E-04
   -0.1289  0.151610E-02    -0.474373E-04
   -0.1313  0.149892E-02    -0.438634E-04
   -0.1359  0.142654E-02    -0.371643E-04
   -0.1424  0.126520E-02    -0.284473E-04
   -0.1504  0.101901E-02    -0.193874E-04
   -0.1593  0.741788E-03    -0.115980E-04
   -0.1686  0.489643E-03    -0.595821E-05
   -0.1775  0.287970E-03    -0.251819E-05
   -0.1855  0.143470E-03    -0.806983E-06
   -0.1920  0.543119E-04    -0.166476E-06
   -0.1966  0.118119E-04    -0.150567E-07
   -0.1990  0.709821E-06    -0.213994E-09
   -0.1993   0.00000         -0.00000    
