
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_33496_9_02bde4                                      
  Mach  =    0.850
  alpha =    1.947    CLtot =    0.157
  beta  =    0.000

  Sref  =  1024.00000
  Bref  =    65.41000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062345207154870     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.778362E-01     0.147003E-01
    0.0003  0.777113E-01     0.146598E-01
    0.0023  0.774614E-01     0.145791E-01
    0.0065  0.769627E-01     0.144189E-01
    0.0127  0.762170E-01     0.141813E-01
    0.0209  0.752270E-01     0.138697E-01
    0.0312  0.739960E-01     0.134884E-01
    0.0433  0.725283E-01     0.130426E-01
    0.0574  0.708290E-01     0.125385E-01
    0.0733  0.689050E-01     0.119831E-01
    0.0910  0.667661E-01     0.113839E-01
    0.1104  0.644305E-01     0.107489E-01
    0.1313  0.619446E-01     0.100865E-01
    0.1554  0.591607E-01     0.935896E-02
    0.1825  0.560632E-01     0.857874E-02
    0.2111  0.528181E-01     0.780075E-02
    0.2410  0.494431E-01     0.703496E-02
    0.2722  0.459764E-01     0.629070E-02
    0.3046  0.424662E-01     0.557630E-02
    0.3379  0.389614E-01     0.489875E-02
    0.3720  0.355079E-01     0.426364E-02
    0.4048  0.323365E-01     0.370458E-02
    0.4362  0.294610E-01     0.321584E-02
    0.4679  0.267118E-01     0.276676E-02
    0.4998  0.240941E-01     0.235795E-02
    0.5317  0.216106E-01     0.198941E-02
    0.5636  0.192643E-01     0.166051E-02
    0.5953  0.170585E-01     0.137012E-02
    0.6266  0.149963E-01     0.111661E-02
    0.6575  0.130800E-01     0.897924E-03
    0.6878  0.113113E-01     0.711679E-03
    0.7173  0.969075E-02     0.555217E-03
    0.7460  0.821789E-02     0.425700E-03
    0.7736  0.689091E-02     0.320190E-03
    0.8002  0.570663E-02     0.235727E-03
    0.8256  0.466050E-02     0.169405E-03
    0.8496  0.374657E-02     0.118436E-03
    0.8722  0.295753E-02     0.802103E-04
    0.8933  0.228498E-02     0.523372E-04
    0.9127  0.172005E-02     0.326771E-04
    0.9305  0.125450E-02     0.193514E-04
    0.9467  0.874840E-03     0.106206E-04
    0.9613  0.574447E-03     0.526585E-05
    0.9739  0.350132E-03     0.231013E-05
    0.9845  0.192066E-03     0.854213E-06
    0.9931  0.897978E-04     0.244795E-06
    0.9995  0.320930E-04     0.461465E-07
    1.0038  0.665290E-05     0.389886E-08
    1.0060  0.386465E-06     0.528436E-10
    1.0062   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0062345207154870     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.778362E-01    -0.147003E-01
   -0.0003  0.777113E-01    -0.146598E-01
   -0.0023  0.774614E-01    -0.145791E-01
   -0.0065  0.769627E-01    -0.144189E-01
   -0.0127  0.762170E-01    -0.141813E-01
   -0.0209  0.752270E-01    -0.138697E-01
   -0.0312  0.739960E-01    -0.134884E-01
   -0.0433  0.725283E-01    -0.130426E-01
   -0.0574  0.708290E-01    -0.125385E-01
   -0.0733  0.689050E-01    -0.119831E-01
   -0.0910  0.667661E-01    -0.113839E-01
   -0.1104  0.644305E-01    -0.107489E-01
   -0.1313  0.619446E-01    -0.100865E-01
   -0.1554  0.591607E-01    -0.935896E-02
   -0.1825  0.560632E-01    -0.857874E-02
   -0.2111  0.528181E-01    -0.780075E-02
   -0.2410  0.494431E-01    -0.703496E-02
   -0.2722  0.459764E-01    -0.629070E-02
   -0.3046  0.424662E-01    -0.557630E-02
   -0.3379  0.389614E-01    -0.489875E-02
   -0.3720  0.355079E-01    -0.426364E-02
   -0.4048  0.323365E-01    -0.370458E-02
   -0.4362  0.294610E-01    -0.321584E-02
   -0.4679  0.267118E-01    -0.276676E-02
   -0.4998  0.240941E-01    -0.235795E-02
   -0.5317  0.216106E-01    -0.198941E-02
   -0.5636  0.192643E-01    -0.166051E-02
   -0.5953  0.170585E-01    -0.137012E-02
   -0.6266  0.149963E-01    -0.111661E-02
   -0.6575  0.130800E-01    -0.897924E-03
   -0.6878  0.113113E-01    -0.711679E-03
   -0.7173  0.969075E-02    -0.555217E-03
   -0.7460  0.821789E-02    -0.425700E-03
   -0.7736  0.689091E-02    -0.320190E-03
   -0.8002  0.570663E-02    -0.235727E-03
   -0.8256  0.466050E-02    -0.169405E-03
   -0.8496  0.374657E-02    -0.118436E-03
   -0.8722  0.295753E-02    -0.802103E-04
   -0.8933  0.228498E-02    -0.523372E-04
