
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_33568_11_69baf7                                     
  Mach  =    0.850
  alpha =    1.783    CLtot =    0.151
  beta  =    0.000

  Sref  =  1066.70000
  Bref  =    64.62000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064128752708139     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.752183E-01     0.146133E-01
    0.0003  0.750976E-01     0.145723E-01
    0.0025  0.748560E-01     0.144904E-01
    0.0068  0.743739E-01     0.143277E-01
    0.0133  0.736531E-01     0.140865E-01
    0.0220  0.726961E-01     0.137702E-01
    0.0327  0.715064E-01     0.133832E-01
    0.0455  0.700882E-01     0.129307E-01
    0.0603  0.684470E-01     0.124190E-01
    0.0770  0.665894E-01     0.118552E-01
    0.0956  0.645249E-01     0.112469E-01
    0.1159  0.622710E-01     0.106024E-01
    0.1380  0.598630E-01     0.992989E-02
    0.1615  0.573340E-01     0.924216E-02
    0.1863  0.546775E-01     0.854737E-02
    0.2125  0.518849E-01     0.784988E-02
    0.2399  0.489744E-01     0.715801E-02
    0.2685  0.459748E-01     0.647960E-02
    0.2981  0.429221E-01     0.582181E-02
    0.3286  0.398554E-01     0.519087E-02
    0.3599  0.368162E-01     0.459188E-02
    0.3915  0.338614E-01     0.403071E-02
    0.4234  0.310176E-01     0.350957E-02
    0.4555  0.282790E-01     0.302808E-02
    0.4879  0.256476E-01     0.258737E-02
    0.5204  0.231259E-01     0.218792E-02
    0.5528  0.207181E-01     0.182961E-02
    0.5850  0.184299E-01     0.151173E-02
    0.6168  0.162671E-01     0.123302E-02
    0.6481  0.142357E-01     0.991717E-03
    0.6789  0.123412E-01     0.785605E-03
    0.7089  0.105885E-01     0.612107E-03
    0.7380  0.898141E-02     0.468359E-03
    0.7661  0.752236E-02     0.351302E-03
    0.7931  0.621239E-02     0.257772E-03
    0.8188  0.505084E-02     0.184589E-03
    0.8432  0.403531E-02     0.128641E-03
    0.8662  0.316158E-02     0.869624E-04
    0.8876  0.242352E-02     0.568027E-04
    0.9073  0.181307E-02     0.356802E-04
    0.9254  0.131996E-02     0.214246E-04
    0.9423  0.915537E-03     0.118495E-04
    0.9581  0.594655E-03     0.584590E-05
    0.9716  0.360732E-03     0.255971E-05
    0.9831  0.197766E-03     0.946122E-06
    0.9922  0.924792E-04     0.270920E-06
    0.9992  0.329701E-04     0.509434E-07
    1.0038  0.679934E-05     0.428601E-08
    1.0061  0.393166E-06     0.578432E-10
    1.0064   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0064128752708139     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.752183E-01    -0.146133E-01
   -0.0003  0.750976E-01    -0.145723E-01
   -0.0025  0.748560E-01    -0.144904E-01
   -0.0068  0.743739E-01    -0.143277E-01
   -0.0133  0.736531E-01    -0.140865E-01
   -0.0220  0.726961E-01    -0.137702E-01
   -0.0327  0.715064E-01    -0.133832E-01
   -0.0455  0.700882E-01    -0.129307E-01
   -0.0603  0.684470E-01    -0.124190E-01
   -0.0770  0.665894E-01    -0.118552E-01
   -0.0956  0.645249E-01    -0.112469E-01
   -0.1159  0.622710E-01    -0.106024E-01
   -0.1380  0.598630E-01    -0.992989E-02
   -0.1615  0.573340E-01    -0.924216E-02
   -0.1863  0.546775E-01    -0.854737E-02
   -0.2125  0.518849E-01    -0.784988E-02
   -0.2399  0.489744E-01    -0.715801E-02
   -0.2685  0.459748E-01    -0.647960E-02
   -0.2981  0.429221E-01    -0.582181E-02
   -0.3286  0.398554E-01    -0.519087E-02
   -0.3599  0.368162E-01    -0.459188E-02
   -0.3915  0.338614E-01    -0.403071E-02
   -0.4234  0.310176E-01    -0.350957E-02
   -0.4555  0.282790E-01    -0.302808E-02
   -0.4879  0.256476E-01    -0.258737E-02
   -0.5204  0.231259E-01    -0.218792E-02
   -0.5528  0.207181E-01    -0.182961E-02
   -0.5850  0.184299E-01    -0.151173E-02
   -0.6168  0.162671E-01    -0.123302E-02
   -0.6481  0.142357E-01    -0.991717E-03
   -0.6789  0.123412E-01    -0.785605E-03
   -0.7089  0.105885E-01    -0.612107E-03
   -0.7380  0.898141E-02    -0.468359E-03
   -0.7661  0.752236E-02    -0.351302E-03
   -0.7931  0.621239E-02    -0.257772E-03
   -0.8188  0.505084E-02    -0.184589E-03
   -0.8432  0.403531E-02    -0.128641E-03
   -0.8662  0.316158E-02    -0.869624E-04
   -0.8876  0.242352E-02    -0.568027E-04
   -0.9073  0.181307E-02    -0.356802E-04
   -0.9254  0.131996E-02    -0.214246E-04
   -0.9423  0.915537E-03    -0.118495E-04
   -0.9581  0.594655E-03    -0.584590E-05
   -0.9716  0.360732E-03    -0.255971E-05
   -0.9831  0.197766E-03    -0.946122E-06
   -0.9922  0.924792E-04    -0.270920E-06
   -0.9992  0.329701E-04    -0.509434E-07
   -1.0038  0.679934E-05    -0.428601E-08
   -1.0061  0.393166E-06    -0.578432E-10
   -1.0064   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12689569792633856     
     2Ymax/Bref =   0.19673475704116369     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1269  0.801792E-03     0.260228E-04
    0.1272  0.799586E-03     0.250861E-04
    0.1296  0.790275E-03     0.232260E-04
    0.1341  0.751904E-03     0.197404E-04
    0.1406  0.668666E-03     0.151998E-04
    0.1485  0.543931E-03     0.104528E-04
    0.1573  0.402503E-03     0.632038E-05
    0.1664  0.270123E-03     0.327988E-05
    0.1752  0.160958E-03     0.139765E-05
    0.1831  0.809460E-04     0.450669E-06
    0.1895  0.308351E-04     0.933768E-07
    0.1941  0.673145E-05     0.847025E-08
    0.1964  0.405313E-06     0.120603E-09
    0.1967   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.19673475704116369     
     2Ymax/Bref =  -0.12689569792633856     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1269  0.801792E-03    -0.260228E-04
   -0.1272  0.799586E-03    -0.250861E-04
   -0.1296  0.790275E-03    -0.232260E-04
   -0.1341  0.751904E-03    -0.197404E-04
