
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_33648_19_41be59                                     
  Mach  =    0.850
  alpha =    1.766    CLtot =    0.158
  beta  =    0.000

  Sref  =   999.20000
  Bref  =    63.82000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063898464431213     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.788542E-01     0.152717E-01
    0.0003  0.787280E-01     0.152288E-01
    0.0025  0.784757E-01     0.151432E-01
    0.0068  0.779721E-01     0.149732E-01
    0.0133  0.772193E-01     0.147210E-01
    0.0219  0.762204E-01     0.143903E-01
    0.0326  0.749796E-01     0.139856E-01
    0.0454  0.735020E-01     0.135125E-01
    0.0601  0.717940E-01     0.129773E-01
    0.0768  0.698630E-01     0.123875E-01
    0.0953  0.677188E-01     0.117510E-01
    0.1156  0.653770E-01     0.110763E-01
    0.1376  0.628679E-01     0.103722E-01
    0.1612  0.601945E-01     0.964498E-02
    0.1865  0.573423E-01     0.890402E-02
    0.2131  0.543212E-01     0.816122E-02
    0.2410  0.511513E-01     0.742589E-02
    0.2700  0.478677E-01     0.670686E-02
    0.3001  0.445174E-01     0.601211E-02
    0.3311  0.411510E-01     0.534847E-02
    0.3629  0.378164E-01     0.472148E-02
    0.3947  0.346363E-01     0.414401E-02
    0.4262  0.316548E-01     0.361606E-02
    0.4581  0.288199E-01     0.312919E-02
    0.4902  0.261267E-01     0.268397E-02
    0.5224  0.235718E-01     0.228040E-02
    0.5545  0.211542E-01     0.191800E-02
    0.5864  0.188740E-01     0.159574E-02
    0.6180  0.167319E-01     0.131217E-02
    0.6491  0.147287E-01     0.106541E-02
    0.6796  0.128649E-01     0.853232E-03
    0.7093  0.111408E-01     0.673138E-03
    0.7382  0.955616E-02     0.522406E-03
    0.7660  0.811005E-02     0.398172E-03
    0.7928  0.680117E-02     0.297495E-03
    0.8183  0.562769E-02     0.217426E-03
    0.8425  0.458738E-02     0.155062E-03
    0.8653  0.367761E-02     0.107605E-03
    0.8865  0.289522E-02     0.724143E-04
    0.9061  0.223585E-02     0.470500E-04
    0.9240  0.169242E-02     0.293281E-04
    0.9410  0.122418E-02     0.167655E-04
    0.9571  0.823790E-03     0.846097E-05
    0.9709  0.512926E-03     0.377103E-05
    0.9826  0.286621E-03     0.141473E-05
    0.9919  0.136344E-03     0.411069E-06
    0.9990  0.495737E-04     0.785292E-07
    1.0037  0.104354E-04     0.671638E-08
    1.0061  0.612193E-06     0.918712E-10
    1.0064   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0063898464431213     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.788542E-01    -0.152717E-01
   -0.0003  0.787280E-01    -0.152288E-01
   -0.0025  0.784757E-01    -0.151432E-01
   -0.0068  0.779721E-01    -0.149732E-01
   -0.0133  0.772193E-01    -0.147210E-01
   -0.0219  0.762204E-01    -0.143903E-01
   -0.0326  0.749796E-01    -0.139856E-01
   -0.0454  0.735020E-01    -0.135125E-01
   -0.0601  0.717940E-01    -0.129773E-01
   -0.0768  0.698630E-01    -0.123875E-01
   -0.0953  0.677188E-01    -0.117510E-01
   -0.1156  0.653770E-01    -0.110763E-01
   -0.1376  0.628679E-01    -0.103722E-01
   -0.1612  0.601945E-01    -0.964498E-02
   -0.1865  0.573423E-01    -0.890402E-02
   -0.2131  0.543212E-01    -0.816122E-02
   -0.2410  0.511513E-01    -0.742589E-02
   -0.2700  0.478677E-01    -0.670686E-02
   -0.3001  0.445174E-01    -0.601211E-02
   -0.3311  0.411510E-01    -0.534847E-02
   -0.3629  0.378164E-01    -0.472148E-02
   -0.3947  0.346363E-01    -0.414401E-02
   -0.4262  0.316548E-01    -0.361606E-02
   -0.4581  0.288199E-01    -0.312919E-02
   -0.4902  0.261267E-01    -0.268397E-02
   -0.5224  0.235718E-01    -0.228040E-02
   -0.5545  0.211542E-01    -0.191800E-02
   -0.5864  0.188740E-01    -0.159574E-02
   -0.6180  0.167319E-01    -0.131217E-02
   -0.6491  0.147287E-01    -0.106541E-02
   -0.6796  0.128649E-01    -0.853232E-03
   -0.7093  0.111408E-01    -0.673138E-03
   -0.7382  0.955616E-02    -0.522406E-03
   -0.7660  0.811005E-02    -0.398172E-03
   -0.7928  0.680117E-02    -0.297495E-03
   -0.8183  0.562769E-02    -0.217426E-03
   -0.8425  0.458738E-02    -0.155062E-03
   -0.8653  0.367761E-02    -0.107605E-03
   -0.8865  0.289522E-02    -0.724143E-04
   -0.9061  0.223585E-02    -0.470500E-04
   -0.9240  0.169242E-02    -0.293281E-04
   -0.9410  0.122418E-02    -0.167655E-04
   -0.9571  0.823790E-03    -0.846097E-05
   -0.9709  0.512926E-03    -0.377103E-05
   -0.9826  0.286621E-03    -0.141473E-05
   -0.9919  0.136344E-03    -0.411069E-06
   -0.9990  0.495737E-04    -0.785292E-07
   -1.0037  0.104354E-04    -0.671638E-08
   -1.0061  0.612193E-06    -0.918712E-10
   -1.0064   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12848636790974616     
     2Ymax/Bref =   0.19920087746787840     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1285  0.796669E-03     0.259914E-04
    0.1288  0.794516E-03     0.250489E-04
    0.1312  0.785349E-03     0.231774E-04
    0.1358  0.747141E-03     0.196703E-04
    0.1423  0.663343E-03     0.151054E-04
    0.1503  0.537083E-03     0.103472E-04
    0.1592  0.394567E-03     0.622830E-05
    0.1685  0.262916E-03     0.321900E-05
    0.1774  0.155854E-03     0.136760E-05
    0.1854  0.781325E-04     0.440128E-06
    0.1919  0.297137E-04     0.910917E-07
    0.1965  0.648185E-05     0.825825E-08
    0.1989  0.390182E-06     0.117557E-09
    0.1992   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.19920087746787840     
     2Ymax/Bref =  -0.12848636790974616     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1285  0.796669E-03    -0.259914E-04
   -0.1288  0.794516E-03    -0.250489E-04
   -0.1312  0.785349E-03    -0.231774E-04
   -0.1358  0.747141E-03    -0.196703E-04
   -0.1423  0.663343E-03    -0.151054E-04
   -0.1503  0.537083E-03    -0.103472E-04
   -0.1592  0.394567E-03    -0.622830E-05
   -0.1685  0.262916E-03    -0.321900E-05
   -0.1774  0.155854E-03    -0.136760E-05
   -0.1854  0.781325E-04    -0.440128E-06
   -0.1919  0.297137E-04    -0.910917E-07
   -0.1965  0.648185E-05    -0.825825E-08
   -0.1989  0.390182E-06    -0.117557E-09
   -0.1992   0.00000         -0.00000    
