
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_33648_8_3a18e3                                      
  Mach  =    0.850
  alpha =    2.197    CLtot =    0.189
  beta  =    0.000

  Sref  =   783.40000
  Bref  =    62.27000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063915207965313     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.942318E-01     0.173715E-01
    0.0003  0.940603E-01     0.173177E-01
    0.0026  0.937172E-01     0.172103E-01
    0.0071  0.930324E-01     0.169973E-01
    0.0140  0.920085E-01     0.166818E-01
    0.0230  0.906490E-01     0.162685E-01
    0.0343  0.889588E-01     0.157639E-01
    0.0476  0.869437E-01     0.151756E-01
    0.0631  0.846111E-01     0.145124E-01
    0.0806  0.819702E-01     0.137844E-01
    0.1000  0.790338E-01     0.130025E-01
    0.1213  0.758249E-01     0.121785E-01
    0.1444  0.723859E-01     0.113244E-01
    0.1679  0.689179E-01     0.104949E-01
    0.1917  0.654235E-01     0.969800E-02
    0.2167  0.617465E-01     0.890195E-02
    0.2430  0.579225E-01     0.811686E-02
    0.2703  0.540086E-01     0.735202E-02
    0.2986  0.500703E-01     0.661550E-02
    0.3278  0.461741E-01     0.591392E-02
    0.3577  0.423901E-01     0.525221E-02
    0.3890  0.386946E-01     0.461449E-02
    0.4216  0.351409E-01     0.400690E-02
    0.4546  0.318087E-01     0.344999E-02
    0.4878  0.286776E-01     0.294358E-02
    0.5210  0.257356E-01     0.248705E-02
    0.5542  0.229755E-01     0.207923E-02
    0.5872  0.203924E-01     0.171848E-02
    0.6198  0.179829E-01     0.140269E-02
    0.6519  0.157438E-01     0.112937E-02
    0.6834  0.136721E-01     0.895659E-03
    0.7141  0.117648E-01     0.698485E-03
    0.7439  0.100186E-01     0.534567E-03
    0.7727  0.842973E-02     0.400521E-03
    0.8004  0.699468E-02     0.292918E-03
    0.8268  0.570971E-02     0.208353E-03
    0.8518  0.457126E-02     0.143500E-03
    0.8753  0.357592E-02     0.951651E-04
    0.8972  0.272029E-02     0.603344E-04
