
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_33660_14_385b58                                     
  Mach  =    0.850
  alpha =    2.758    CLtot =    0.204
  beta  =    0.000

  Sref  =   705.80000
  Bref  =    61.05000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0064242424242424     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.101784         0.173040E-01
    0.0003  0.101583         0.172475E-01
    0.0025  0.101182         0.171349E-01
    0.0069  0.100381         0.169113E-01
    0.0136  0.991825E-01     0.165806E-01
    0.0224  0.975921E-01     0.161479E-01
    0.0333  0.956149E-01     0.156202E-01
    0.0463  0.932582E-01     0.150062E-01
    0.0614  0.905308E-01     0.143155E-01
    0.0784  0.874441E-01     0.135595E-01
    0.0972  0.840134E-01     0.127502E-01
    0.1179  0.802631E-01     0.119005E-01
    0.1404  0.762456E-01     0.110238E-01
    0.1638  0.720998E-01     0.101555E-01
    0.1881  0.678196E-01     0.930618E-02
    0.2137  0.633238E-01     0.846618E-02
    0.2406  0.586793E-01     0.764718E-02
    0.2686  0.539724E-01     0.685952E-02
    0.2976  0.492915E-01     0.611179E-02
    0.3274  0.447399E-01     0.541041E-02
    0.3580  0.404369E-01     0.475922E-02
    0.3895  0.364577E-01     0.415178E-02
    0.4217  0.328102E-01     0.358919E-02
    0.4542  0.294516E-01     0.307801E-02
    0.4869  0.263444E-01     0.261695E-02
    0.5198  0.234667E-01     0.220446E-02
    0.5525  0.208040E-01     0.183864E-02
    0.5850  0.183458E-01     0.151721E-02
    0.6172  0.160831E-01     0.123758E-02
    0.6489  0.140083E-01     0.996883E-03
    0.6800  0.121139E-01     0.792043E-03
    0.7103  0.103924E-01     0.619854E-03
    0.7398  0.883647E-02     0.477040E-03
    0.7682  0.743828E-02     0.360324E-03
    0.7955  0.618993E-02     0.266487E-03
    0.8215  0.508331E-02     0.192424E-03
    0.8462  0.411029E-02     0.135185E-03
    0.8694  0.326299E-02     0.920098E-04
    0.8910  0.253426E-02     0.603564E-04
    0.9110  0.191803E-02     0.379116E-04
    0.9293  0.140849E-02     0.226072E-04
    0.9458  0.993083E-03     0.125399E-04
    0.9607  0.663146E-03     0.631408E-05
    0.9735  0.412699E-03     0.281494E-05
