
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_33660_7_6915b2                                      
  Mach  =    0.850
  alpha =    2.224    CLtot =    0.193
  beta  =    0.000

  Sref  =   821.60000
  Bref  =    66.92000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063389121338913     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.957777E-01     0.167157E-01
    0.0003  0.956075E-01     0.166674E-01
    0.0023  0.952671E-01     0.165711E-01
    0.0063  0.945876E-01     0.163798E-01
    0.0123  0.935713E-01     0.160966E-01
    0.0203  0.922214E-01     0.157255E-01
    0.0302  0.905415E-01     0.152722E-01
    0.0421  0.885360E-01     0.147434E-01
    0.0557  0.862103E-01     0.141470E-01
    0.0712  0.835723E-01     0.134919E-01
    0.0883  0.806348E-01     0.127879E-01
    0.1071  0.774231E-01     0.120454E-01
    0.1275  0.740076E-01     0.112750E-01
    0.1505  0.702435E-01     0.104436E-01
    0.1763  0.661166E-01     0.956632E-02
    0.2035  0.618130E-01     0.869782E-02
    0.2319  0.573830E-01     0.784974E-02
    0.2616  0.529073E-01     0.703241E-02
    0.2923  0.484595E-01     0.625445E-02
    0.3239  0.441174E-01     0.552255E-02
    0.3564  0.399667E-01     0.484121E-02
    0.3887  0.361762E-01     0.422348E-02
    0.4207  0.327519E-01     0.366619E-02
    0.4531  0.295708E-01     0.315683E-02
    0.4857  0.266042E-01     0.269475E-02
    0.5184  0.238352E-01     0.227895E-02
    0.5510  0.212530E-01     0.190806E-02
    0.5834  0.188496E-01     0.158031E-02
    0.6154  0.166189E-01     0.129354E-02
    0.6470  0.145552E-01     0.104532E-02
    0.6779  0.126534E-01     0.832925E-03
    0.7081  0.109087E-01     0.653477E-03
    0.7374  0.931600E-02     0.503948E-03
    0.7657  0.787044E-02     0.381253E-03
    0.7929  0.656714E-02     0.282295E-03
    0.8188  0.540139E-02     0.204021E-03
    0.8433  0.436887E-02     0.143467E-03
    0.8664  0.346576E-02     0.977991E-04
    0.8880  0.268863E-02     0.643481E-04
    0.9079  0.203369E-02     0.406500E-04
    0.9260  0.149518E-02     0.244884E-04
    0.9430  0.104900E-02     0.136128E-04
    0.9585  0.690022E-03     0.677340E-05
    0.9719  0.422673E-03     0.298706E-05
