
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_34056_18_d02f31                                     
  Mach  =    0.850
  alpha =    1.983    CLtot =    0.153
  beta  =    0.000

  Sref  =  1059.50000
  Bref  =    66.61000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060441375168894     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.761913E-01     0.145683E-01
    0.0003  0.760577E-01     0.145244E-01
    0.0026  0.757904E-01     0.144368E-01
    0.0072  0.752569E-01     0.142629E-01
    0.0141  0.744594E-01     0.140052E-01
    0.0232  0.734008E-01     0.136676E-01
    0.0346  0.720853E-01     0.132551E-01
    0.0481  0.705183E-01     0.127737E-01
    0.0637  0.687070E-01     0.122306E-01
    0.0814  0.666606E-01     0.116335E-01
    0.1010  0.643928E-01     0.109913E-01
    0.1225  0.619357E-01     0.103129E-01
    0.1457  0.593155E-01     0.960769E-02
    0.1693  0.566947E-01     0.892598E-02
    0.1928  0.540854E-01     0.827367E-02
    0.2177  0.513514E-01     0.761855E-02
    0.2438  0.485154E-01     0.696822E-02
    0.2709  0.456048E-01     0.632984E-02
    0.2990  0.426494E-01     0.570992E-02
    0.3280  0.396806E-01     0.511421E-02
    0.3577  0.367295E-01     0.454753E-02
    0.3879  0.338287E-01     0.401376E-02
    0.4197  0.309099E-01     0.349734E-02
    0.4528  0.280115E-01     0.300484E-02
    0.4862  0.252505E-01     0.255676E-02
    0.5196  0.226325E-01     0.215308E-02
    0.5529  0.201599E-01     0.179308E-02
    0.5860  0.178352E-01     0.147550E-02
    0.6188  0.156611E-01     0.119852E-02
    0.6511  0.136397E-01     0.959915E-03
    0.6827  0.117726E-01     0.757042E-03
    0.7136  0.100605E-01     0.586984E-03
    0.7436  0.850293E-02     0.446621E-03
    0.7725  0.709822E-02     0.332714E-03
    0.8003  0.584343E-02     0.241995E-03
    0.8268  0.473430E-02     0.171246E-03
    0.8519  0.376523E-02     0.117371E-03
    0.8755  0.292944E-02     0.774617E-04
    0.8976  0.221909E-02     0.488424E-04
    0.9179  0.162575E-02     0.291096E-04
    0.9365  0.114093E-02     0.161509E-04
    0.9523  0.774786E-03     0.847783E-05
    0.9655  0.508319E-03     0.419876E-05
    0.9769  0.309439E-03     0.183912E-05
    0.9864  0.169365E-03     0.678639E-06
    0.9942  0.789455E-04     0.194051E-06
    1.0000  0.281431E-04     0.365222E-07
    1.0039  0.583128E-05     0.308495E-08
    1.0058  0.339367E-06     0.418847E-10
    1.0060   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0060441375168894     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.761913E-01    -0.145683E-01
   -0.0003  0.760577E-01    -0.145244E-01
   -0.0026  0.757904E-01    -0.144368E-01
   -0.0072  0.752569E-01    -0.142629E-01
   -0.0141  0.744594E-01    -0.140052E-01
   -0.0232  0.734008E-01    -0.136676E-01
   -0.0346  0.720853E-01    -0.132551E-01
   -0.0481  0.705183E-01    -0.127737E-01
   -0.0637  0.687070E-01    -0.122306E-01
   -0.0814  0.666606E-01    -0.116335E-01
   -0.1010  0.643928E-01    -0.109913E-01
   -0.1225  0.619357E-01    -0.103129E-01
   -0.1457  0.593155E-01    -0.960769E-02
   -0.1693  0.566947E-01    -0.892598E-02
   -0.1928  0.540854E-01    -0.827367E-02
   -0.2177  0.513514E-01    -0.761855E-02
   -0.2438  0.485154E-01    -0.696822E-02
   -0.2709  0.456048E-01    -0.632984E-02
   -0.2990  0.426494E-01    -0.570992E-02
   -0.3280  0.396806E-01    -0.511421E-02
   -0.3577  0.367295E-01    -0.454753E-02
   -0.3879  0.338287E-01    -0.401376E-02
   -0.4197  0.309099E-01    -0.349734E-02
   -0.4528  0.280115E-01    -0.300484E-02
   -0.4862  0.252505E-01    -0.255676E-02
   -0.5196  0.226325E-01    -0.215308E-02
   -0.5529  0.201599E-01    -0.179308E-02
   -0.5860  0.178352E-01    -0.147550E-02
   -0.6188  0.156611E-01    -0.119852E-02
   -0.6511  0.136397E-01    -0.959915E-03
   -0.6827  0.117726E-01    -0.757042E-03
