
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_34056_6_3bc644                                      
  Mach  =    0.850
  alpha =    1.941    CLtot =    0.167
  beta  =    0.000

  Sref  =   949.00000
  Bref  =    64.80000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062283950617283     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.830397E-01     0.158070E-01
    0.0003  0.829054E-01     0.157639E-01
    0.0023  0.826368E-01     0.156780E-01
    0.0065  0.821006E-01     0.155072E-01
    0.0127  0.812987E-01     0.152540E-01
    0.0209  0.802338E-01     0.149220E-01
    0.0311  0.789088E-01     0.145157E-01
    0.0433  0.773275E-01     0.140409E-01
    0.0574  0.754947E-01     0.135041E-01
    0.0732  0.734167E-01     0.129128E-01
    0.0909  0.711033E-01     0.122751E-01
    0.1103  0.685725E-01     0.115999E-01
    0.1312  0.658703E-01     0.108959E-01
    0.1552  0.628354E-01     0.101232E-01
    0.1823  0.594561E-01     0.929551E-02
    0.2109  0.559354E-01     0.847137E-02
    0.2408  0.523219E-01     0.766103E-02
    0.2720  0.486602E-01     0.687373E-02
    0.3044  0.449924E-01     0.611757E-02
    0.3376  0.413608E-01     0.539935E-02
    0.3718  0.378063E-01     0.472447E-02
    0.4046  0.345595E-01     0.412863E-02
    0.4359  0.316281E-01     0.360579E-02
    0.4675  0.288323E-01     0.312300E-02
    0.4994  0.261715E-01     0.268094E-02
    0.5313  0.236444E-01     0.227972E-02
    0.5631  0.212504E-01     0.191890E-02
    0.5948  0.189899E-01     0.159757E-02
    0.6261  0.168635E-01     0.131435E-02
    0.6569  0.148716E-01     0.106746E-02
    0.6872  0.130144E-01     0.854784E-03
    0.7166  0.112917E-01     0.673921E-03
    0.7453  0.970268E-02     0.522267E-03
    0.7729  0.824617E-02     0.397073E-03
    0.7995  0.692061E-02     0.295504E-03
    0.8248  0.572432E-02     0.214706E-03
    0.8488  0.465583E-02     0.151850E-03
    0.8714  0.371437E-02     0.104180E-03
    0.8924  0.289993E-02     0.690554E-04
    0.9118  0.221247E-02     0.439890E-04
    0.9296  0.164863E-02     0.267120E-04
    0.9459  0.118306E-02     0.150344E-04
    0.9607  0.799437E-03     0.761215E-05
    0.9735  0.499853E-03     0.340331E-05
    0.9842  0.280363E-03     0.128041E-05
    0.9929  0.133815E-03     0.373006E-06
    0.9994  0.488060E-04     0.714265E-07
    1.0038  0.103003E-04     0.612132E-08
    1.0060  0.605093E-06     0.838382E-10
    1.0062   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0062283950617283     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.830397E-01    -0.158070E-01
   -0.0003  0.829054E-01    -0.157639E-01
   -0.0023  0.826368E-01    -0.156780E-01
   -0.0065  0.821006E-01    -0.155072E-01
   -0.0127  0.812987E-01    -0.152540E-01
   -0.0209  0.802338E-01    -0.149220E-01
   -0.0311  0.789088E-01    -0.145157E-01
   -0.0433  0.773275E-01    -0.140409E-01
   -0.0574  0.754947E-01    -0.135041E-01
   -0.0732  0.734167E-01    -0.129128E-01
   -0.0909  0.711033E-01    -0.122751E-01
   -0.1103  0.685725E-01    -0.115999E-01
   -0.1312  0.658703E-01    -0.108959E-01
   -0.1552  0.628354E-01    -0.101232E-01
   -0.1823  0.594561E-01    -0.929551E-02
   -0.2109  0.559354E-01    -0.847137E-02
   -0.2408  0.523219E-01    -0.766103E-02
   -0.2720  0.486602E-01    -0.687373E-02
   -0.3044  0.449924E-01    -0.611757E-02
   -0.3376  0.413608E-01    -0.539935E-02
   -0.3718  0.378063E-01    -0.472447E-02
   -0.4046  0.345595E-01    -0.412863E-02
   -0.4359  0.316281E-01    -0.360579E-02
   -0.4675  0.288323E-01    -0.312300E-02
   -0.4994  0.261715E-01    -0.268094E-02
   -0.5313  0.236444E-01    -0.227972E-02
   -0.5631  0.212504E-01    -0.191890E-02
   -0.5948  0.189899E-01    -0.159757E-02
   -0.6261  0.168635E-01    -0.131435E-02
   -0.6569  0.148716E-01    -0.106746E-02
   -0.6872  0.130144E-01    -0.854784E-03
   -0.7166  0.112917E-01    -0.673921E-03
   -0.7453  0.970268E-02    -0.522267E-03
   -0.7729  0.824617E-02    -0.397073E-03
   -0.7995  0.692061E-02    -0.295504E-03
   -0.8248  0.572432E-02    -0.214706E-03
   -0.8488  0.465583E-02    -0.151850E-03
   -0.8714  0.371437E-02    -0.104180E-03
   -0.8924  0.289993E-02    -0.690554E-04
   -0.9118  0.221247E-02    -0.439890E-04
   -0.9296  0.164863E-02    -0.267120E-04
   -0.9459  0.118306E-02    -0.150344E-04
   -0.9607  0.799437E-03    -0.761215E-05
   -0.9735  0.499853E-03    -0.340331E-05
   -0.9842  0.280363E-03    -0.128041E-05
   -0.9929  0.133815E-03    -0.373006E-06
   -0.9994  0.488060E-04    -0.714265E-07
   -1.0038  0.103003E-04    -0.612132E-08
   -1.0060  0.605093E-06    -0.838382E-10
   -1.0062   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12654320987654322     
     2Ymax/Bref =   0.19618827160493826     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1265  0.114459E-02     0.364997E-04
    0.1268  0.114161E-02     0.351660E-04
    0.1292  0.112883E-02     0.325171E-04
    0.1337  0.107477E-02     0.275504E-04
    0.1402  0.953785E-03     0.210845E-04
    0.1480  0.768269E-03     0.143618E-04
    0.1568  0.558629E-03     0.858428E-05
    0.1659  0.368152E-03     0.440656E-05
    0.1747  0.216319E-03     0.186167E-05
    0.1826  0.107749E-03     0.596562E-06
    0.1890  0.407949E-04     0.123082E-06
    0.1935  0.887406E-05     0.111339E-07
    0.1959  0.533358E-06     0.158263E-09
    0.1962   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.19618827160493826     
     2Ymax/Bref =  -0.12654320987654322     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1265  0.114459E-02    -0.364997E-04
   -0.1268  0.114161E-02    -0.351660E-04
   -0.1292  0.112883E-02    -0.325171E-04
   -0.1337  0.107477E-02    -0.275504E-04
   -0.1402  0.953785E-03    -0.210845E-04
   -0.1480  0.768269E-03    -0.143618E-04
   -0.1568  0.558629E-03    -0.858428E-05
   -0.1659  0.368152E-03    -0.440656E-05
   -0.1747  0.216319E-03    -0.186167E-05
   -0.1826  0.107749E-03    -0.596562E-06
   -0.1890  0.407949E-04    -0.123082E-06
   -0.1935  0.887406E-05    -0.111339E-07
   -0.1959  0.533358E-06    -0.158263E-09
   -0.1962   0.00000         -0.00000    
