
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_34196_15_f54842                                     
  Mach  =    0.850
  alpha =    2.269    CLtot =    0.165
  beta  =    0.000

  Sref  =  1017.20000
  Bref  =    62.48000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061331626120358     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.818478E-01     0.154216E-01
    0.0003  0.817137E-01     0.153792E-01
    0.0023  0.814456E-01     0.152946E-01
    0.0065  0.809103E-01     0.151266E-01
    0.0127  0.801097E-01     0.148775E-01
    0.0209  0.790466E-01     0.145509E-01
    0.0311  0.777237E-01     0.141513E-01
    0.0432  0.761450E-01     0.136844E-01
    0.0573  0.743152E-01     0.131568E-01
    0.0731  0.722405E-01     0.125758E-01
    0.0908  0.699302E-01     0.119495E-01
    0.1101  0.674018E-01     0.112866E-01
    0.1310  0.647043E-01     0.105960E-01
    0.1539  0.618223E-01     0.987023E-02
    0.1789  0.587723E-01     0.911924E-02
    0.2052  0.556238E-01     0.836752E-02
    0.2327  0.523905E-01     0.762363E-02
    0.2614  0.490997E-01     0.689563E-02
    0.2912  0.457850E-01     0.619076E-02
    0.3218  0.424805E-01     0.551533E-02
    0.3532  0.392188E-01     0.487454E-02
    0.3852  0.360338E-01     0.427247E-02
    0.4177  0.329406E-01     0.371000E-02
    0.4505  0.299436E-01     0.318966E-02
    0.4835  0.270587E-01     0.271493E-02
    0.5166  0.242991E-01     0.228630E-02
    0.5496  0.216730E-01     0.190344E-02
    0.5824  0.191879E-01     0.156534E-02
    0.6148  0.168508E-01     0.127034E-02
    0.6467  0.146678E-01     0.101625E-02
    0.6781  0.126444E-01     0.800397E-03
    0.7086  0.107843E-01     0.619746E-03
    0.7383  0.909009E-02     0.470981E-03
    0.7669  0.756267E-02     0.350618E-03
    0.7944  0.620116E-02     0.255105E-03
    0.8207  0.500286E-02     0.180920E-03
    0.8455  0.396318E-02     0.124659E-03
    0.8689  0.307561E-02     0.831197E-04
    0.8907  0.233168E-02     0.533640E-04
    0.9109  0.172101E-02     0.327734E-04
    0.9293  0.123119E-02     0.190847E-04
    0.9459  0.845945E-03     0.103639E-04
    0.9606  0.551769E-03     0.513760E-05
    0.9734  0.336503E-03     0.226381E-05
    0.9842  0.186053E-03     0.843770E-06
    0.9928  0.880626E-04     0.243981E-06
    0.9993  0.317941E-04     0.462988E-07
    1.0037  0.661047E-05     0.391991E-08
    1.0059  0.383056E-06     0.530072E-10
    1.0061   0.00000          0.00000    
   
