
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_34384_16_be12eb                                     
  Mach  =    0.850
  alpha =    1.723    CLtot =    0.147
  beta  =    0.000

  Sref  =  1138.30000
  Bref  =    68.81000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0063159424502253     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.732236E-01     0.143168E-01
    0.0003  0.731092E-01     0.142788E-01
    0.0023  0.728802E-01     0.142030E-01
    0.0065  0.724232E-01     0.140525E-01
    0.0127  0.717397E-01     0.138293E-01
    0.0209  0.708320E-01     0.135365E-01
    0.0311  0.697026E-01     0.131781E-01
    0.0433  0.683546E-01     0.127588E-01
    0.0573  0.667920E-01     0.122845E-01
    0.0732  0.650202E-01     0.117615E-01
    0.0908  0.630477E-01     0.111969E-01
    0.1102  0.608947E-01     0.105981E-01
    0.1311  0.586046E-01     0.997290E-02
    0.1544  0.561103E-01     0.930364E-02
    0.1802  0.534097E-01     0.859994E-02
    0.2073  0.506007E-01     0.789475E-02
    0.2357  0.477020E-01     0.719623E-02
    0.2653  0.447407E-01     0.651205E-02
    0.2960  0.417484E-01     0.584914E-02
    0.3276  0.387575E-01     0.521350E-02
    0.3600  0.358022E-01     0.461013E-02
    0.3924  0.329628E-01     0.405128E-02
    0.4246  0.302567E-01     0.353765E-02
    0.4571  0.276461E-01     0.306211E-02
    0.4899  0.251357E-01     0.262583E-02
    0.5227  0.227294E-01     0.222933E-02
    0.5555  0.204315E-01     0.187257E-02
    0.5880  0.182471E-01     0.155491E-02
    0.6202  0.161808E-01     0.127520E-02
    0.6519  0.142372E-01     0.103182E-02
    0.6830  0.124202E-01     0.822718E-03
    0.7134  0.107330E-01     0.645526E-03
    0.7428  0.917790E-02     0.497601E-03
    0.7712  0.775653E-02     0.376117E-03
    0.7985  0.646944E-02     0.278135E-03
    0.8246  0.531627E-02     0.200681E-03
    0.8493  0.429569E-02     0.140818E-03
    0.8725  0.340531E-02     0.957103E-04
    0.8941  0.264155E-02     0.626837E-04
    0.9141  0.199932E-02     0.392810E-04
    0.9323  0.147135E-02     0.233086E-04
    0.9487  0.104698E-02     0.128781E-04
    0.9630  0.712337E-03     0.652005E-05
    0.9752  0.451160E-03     0.293916E-05
    0.9854  0.255408E-03     0.111258E-05
    0.9936  0.122685E-03     0.325566E-06
    0.9998  0.449483E-04     0.625500E-07
    1.0040  0.951755E-05     0.537480E-08
    1.0061  0.560463E-06     0.737797E-10
    1.0063   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0063159424502253     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.732236E-01    -0.143168E-01
   -0.0003  0.731092E-01    -0.142788E-01
   -0.0023  0.728802E-01    -0.142030E-01
   -0.0065  0.724232E-01    -0.140525E-01
   -0.0127  0.717397E-01    -0.138293E-01
   -0.0209  0.708320E-01    -0.135365E-01
   -0.0311  0.697026E-01    -0.131781E-01
   -0.0433  0.683546E-01    -0.127588E-01
   -0.0573  0.667920E-01    -0.122845E-01
   -0.0732  0.650202E-01    -0.117615E-01
   -0.0908  0.630477E-01    -0.111969E-01
   -0.1102  0.608947E-01    -0.105981E-01
   -0.1311  0.586046E-01    -0.997290E-02
   -0.1544  0.561103E-01    -0.930364E-02
   -0.1802  0.534097E-01    -0.859994E-02
   -0.2073  0.506007E-01    -0.789475E-02
   -0.2357  0.477020E-01    -0.719623E-02
   -0.2653  0.447407E-01    -0.651205E-02
   -0.2960  0.417484E-01    -0.584914E-02
   -0.3276  0.387575E-01    -0.521350E-02
   -0.3600  0.358022E-01    -0.461013E-02
   -0.3924  0.329628E-01    -0.405128E-02
   -0.4246  0.302567E-01    -0.353765E-02
   -0.4571  0.276461E-01    -0.306211E-02
   -0.4899  0.251357E-01    -0.262583E-02
   -0.5227  0.227294E-01    -0.222933E-02
   -0.5555  0.204315E-01    -0.187257E-02
   -0.5880  0.182471E-01    -0.155491E-02
   -0.6202  0.161808E-01    -0.127520E-02
   -0.6519  0.142372E-01    -0.103182E-02
   -0.6830  0.124202E-01    -0.822718E-03
   -0.7134  0.107330E-01    -0.645526E-03
   -0.7428  0.917790E-02    -0.497601E-03
   -0.7712  0.775653E-02    -0.376117E-03
   -0.7985  0.646944E-02    -0.278135E-03
   -0.8246  0.531627E-02    -0.200681E-03
