
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_34384_4_b377c7                                      
  Mach  =    0.850
  alpha =    1.780    CLtot =    0.147
  beta  =    0.000

  Sref  =  1091.50000
  Bref  =    62.80000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060573248407643     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.732121E-01     0.143991E-01
    0.0003  0.730963E-01     0.143589E-01
    0.0025  0.728646E-01     0.142786E-01
    0.0069  0.724023E-01     0.141191E-01
    0.0134  0.717113E-01     0.138826E-01
    0.0222  0.707945E-01     0.135724E-01
    0.0330  0.696562E-01     0.131927E-01
    0.0459  0.683013E-01     0.127486E-01
    0.0607  0.667363E-01     0.122462E-01
    0.0776  0.649689E-01     0.116924E-01
    0.0963  0.630088E-01     0.110943E-01
    0.1168  0.608712E-01     0.104600E-01
    0.1390  0.585845E-01     0.979753E-02
    0.1624  0.562028E-01     0.912574E-02
    0.1869  0.537206E-01     0.845213E-02
    0.2128  0.511032E-01     0.777429E-02
    0.2399  0.483648E-01     0.710019E-02
    0.2682  0.455285E-01     0.643742E-02
    0.2974  0.426226E-01     0.579302E-02
    0.3276  0.396789E-01     0.517327E-02
    0.3585  0.367318E-01     0.458352E-02
    0.3900  0.338210E-01     0.402806E-02
    0.4219  0.309845E-01     0.350876E-02
    0.4541  0.282495E-01     0.302783E-02
    0.4864  0.256263E-01     0.258757E-02
    0.5189  0.231151E-01     0.218842E-02
    0.5513  0.207179E-01     0.183022E-02
    0.5835  0.184386E-01     0.151230E-02
    0.6153  0.162822E-01     0.123343E-02
    0.6466  0.142544E-01     0.991877E-03
    0.6774  0.123607E-01     0.785486E-03
    0.7074  0.106063E-01     0.611719E-03
    0.7365  0.899542E-02     0.467749E-03
    0.7646  0.753108E-02     0.350542E-03
    0.7916  0.621496E-02     0.256943E-03
    0.8173  0.504707E-02     0.183774E-03
    0.8417  0.402568E-02     0.127913E-03
    0.8647  0.314720E-02     0.863767E-04
    0.8861  0.240612E-02     0.563912E-04
    0.9058  0.179495E-02     0.354475E-04
    0.9238  0.130389E-02     0.213487E-04
    0.9410  0.901661E-03     0.118265E-04
    0.9569  0.583459E-03     0.582708E-05
    0.9707  0.353453E-03     0.255229E-05
    0.9823  0.194000E-03     0.945008E-06
    0.9917  0.910017E-04     0.271272E-06
    0.9987  0.325471E-04     0.511211E-07
    1.0034  0.672168E-05     0.430553E-08
    1.0058  0.388551E-06     0.580894E-10
    1.0061   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0060573248407643     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.732121E-01    -0.143991E-01
   -0.0003  0.730963E-01    -0.143589E-01
   -0.0025  0.728646E-01    -0.142786E-01
   -0.0069  0.724023E-01    -0.141191E-01
   -0.0134  0.717113E-01    -0.138826E-01
   -0.0222  0.707945E-01    -0.135724E-01
   -0.0330  0.696562E-01    -0.131927E-01
   -0.0459  0.683013E-01    -0.127486E-01
   -0.0607  0.667363E-01    -0.122462E-01
   -0.0776  0.649689E-01    -0.116924E-01
   -0.0963  0.630088E-01    -0.110943E-01
   -0.1168  0.608712E-01    -0.104600E-01
   -0.1390  0.585845E-01    -0.979753E-02
   -0.1624  0.562028E-01    -0.912574E-02
   -0.1869  0.537206E-01    -0.845213E-02
   -0.2128  0.511032E-01    -0.777429E-02
   -0.2399  0.483648E-01    -0.710019E-02
   -0.2682  0.455285E-01    -0.643742E-02
   -0.2974  0.426226E-01    -0.579302E-02
   -0.3276  0.396789E-01    -0.517327E-02
   -0.3585  0.367318E-01    -0.458352E-02
   -0.3900  0.338210E-01    -0.402806E-02
   -0.4219  0.309845E-01    -0.350876E-02
   -0.4541  0.282495E-01    -0.302783E-02
   -0.4864  0.256263E-01    -0.258757E-02
   -0.5189  0.231151E-01    -0.218842E-02
   -0.5513  0.207179E-01    -0.183022E-02
   -0.5835  0.184386E-01    -0.151230E-02
   -0.6153  0.162822E-01    -0.123343E-02
   -0.6466  0.142544E-01    -0.991877E-03
   -0.6774  0.123607E-01    -0.785486E-03
   -0.7074  0.106063E-01    -0.611719E-03
   -0.7365  0.899542E-02    -0.467749E-03
   -0.7646  0.753108E-02    -0.350542E-03
   -0.7916  0.621496E-02    -0.256943E-03
   -0.8173  0.504707E-02    -0.183774E-03
   -0.8417  0.402568E-02    -0.127913E-03
   -0.8647  0.314720E-02    -0.863767E-04
   -0.8861  0.240612E-02    -0.563912E-04
   -0.9058  0.179495E-02    -0.354475E-04
   -0.9238  0.130389E-02    -0.213487E-04
   -0.9410  0.901661E-03    -0.118265E-04
   -0.9569  0.583459E-03    -0.582708E-05
   -0.9707  0.353453E-03    -0.255229E-05
   -0.9823  0.194000E-03    -0.945008E-06
   -0.9917  0.910017E-04    -0.271272E-06
   -0.9987  0.325471E-04    -0.511211E-07
   -1.0034  0.672168E-05    -0.430553E-08
   -1.0058  0.388551E-06    -0.580894E-10
   -1.0061   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.13057324840764331     
     2Ymax/Bref =   0.20243630573248408     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1306  0.693279E-03     0.233048E-04
    0.1309  0.691374E-03     0.224713E-04
    0.1333  0.683334E-03     0.208164E-04
    0.1380  0.650269E-03     0.177149E-04
    0.1446  0.578887E-03     0.136722E-04
    0.1528  0.472482E-03     0.943710E-05
    0.1618  0.351768E-03     0.573388E-05
    0.1712  0.237830E-03     0.299146E-05
    0.1803  0.142778E-03     0.128145E-05
    0.1884  0.722847E-04     0.415142E-06
