
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_34464_12_34abcc                                     
  Mach  =    0.850
  alpha =    1.918    CLtot =    0.158
  beta  =    0.000

  Sref  =  1066.90000
  Bref  =    65.86000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062890980868509     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.785570E-01     0.145856E-01
    0.0003  0.784305E-01     0.145455E-01
    0.0023  0.781774E-01     0.144653E-01
    0.0064  0.776722E-01     0.143060E-01
    0.0125  0.769167E-01     0.140700E-01
    0.0206  0.759135E-01     0.137604E-01
    0.0307  0.746654E-01     0.133815E-01
    0.0427  0.731760E-01     0.129386E-01
    0.0565  0.714496E-01     0.124379E-01
    0.0722  0.694918E-01     0.118863E-01
    0.0896  0.673112E-01     0.112914E-01
    0.1087  0.649254E-01     0.106613E-01
    0.1293  0.623890E-01     0.100042E-01
    0.1531  0.595450E-01     0.928042E-02
    0.1799  0.563787E-01     0.850250E-02
    0.2082  0.530731E-01     0.772745E-02
    0.2380  0.496428E-01     0.696516E-02
    0.2689  0.461202E-01     0.622492E-02
    0.3009  0.425487E-01     0.551512E-02
    0.3339  0.389790E-01     0.484282E-02
    0.3678  0.354635E-01     0.421364E-02
    0.4005  0.322281E-01     0.365758E-02
    0.4319  0.292937E-01     0.316939E-02
    0.4637  0.265022E-01     0.272183E-02
    0.4957  0.238545E-01     0.231528E-02
    0.5278  0.213504E-01     0.194954E-02
    0.5598  0.189913E-01     0.162385E-02
    0.5916  0.167791E-01     0.133692E-02
    0.6230  0.147157E-01     0.108701E-02
    0.6540  0.128026E-01     0.871952E-03
    0.6844  0.110408E-01     0.689281E-03
    0.7140  0.943028E-02     0.536264E-03
    0.7427  0.796995E-02     0.410003E-03
    0.7705  0.665766E-02     0.307511E-03
    0.7972  0.549003E-02     0.225792E-03
    0.8226  0.446249E-02     0.161910E-03
    0.8467  0.356927E-02     0.113054E-03
    0.8694  0.280350E-02     0.765955E-04
    0.8905  0.215726E-02     0.501322E-04
    0.9100  0.162159E-02     0.315204E-04
    0.9279  0.118634E-02     0.188990E-04
    0.9444  0.829092E-03     0.104666E-04
    0.9596  0.543915E-03     0.519639E-05
    0.9727  0.332456E-03     0.228585E-05
    0.9837  0.183205E-03     0.847345E-06
    0.9926  0.858835E-04     0.242927E-06
    0.9993  0.306210E-04     0.456732E-07
    1.0038  0.630899E-05     0.383982E-08
    1.0060  0.364706E-06     0.518076E-10
    1.0063   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0062890980868509     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.785570E-01    -0.145856E-01
   -0.0003  0.784305E-01    -0.145455E-01
   -0.0023  0.781774E-01    -0.144653E-01
   -0.0064  0.776722E-01    -0.143060E-01
   -0.0125  0.769167E-01    -0.140700E-01
   -0.0206  0.759135E-01    -0.137604E-01
   -0.0307  0.746654E-01    -0.133815E-01
   -0.0427  0.731760E-01    -0.129386E-01
   -0.0565  0.714496E-01    -0.124379E-01
   -0.0722  0.694918E-01    -0.118863E-01
   -0.0896  0.673112E-01    -0.112914E-01
   -0.1087  0.649254E-01    -0.106613E-01
   -0.1293  0.623890E-01    -0.100042E-01
   -0.1531  0.595450E-01    -0.928042E-02
   -0.1799  0.563787E-01    -0.850250E-02
   -0.2082  0.530731E-01    -0.772745E-02
   -0.2380  0.496428E-01    -0.696516E-02
   -0.2689  0.461202E-01    -0.622492E-02
   -0.3009  0.425487E-01    -0.551512E-02
   -0.3339  0.389790E-01    -0.484282E-02
   -0.3678  0.354635E-01    -0.421364E-02
   -0.4005  0.322281E-01    -0.365758E-02
   -0.4319  0.292937E-01    -0.316939E-02
   -0.4637  0.265022E-01    -0.272183E-02
   -0.4957  0.238545E-01    -0.231528E-02
   -0.5278  0.213504E-01    -0.194954E-02
   -0.5598  0.189913E-01    -0.162385E-02
   -0.5916  0.167791E-01    -0.133692E-02
   -0.6230  0.147157E-01    -0.108701E-02
   -0.6540  0.128026E-01    -0.871952E-03
   -0.6844  0.110408E-01    -0.689281E-03
   -0.7140  0.943028E-02    -0.536264E-03
   -0.7427  0.796995E-02    -0.410003E-03
   -0.7705  0.665766E-02    -0.307511E-03
   -0.7972  0.549003E-02    -0.225792E-03
   -0.8226  0.446249E-02    -0.161910E-03
   -0.8467  0.356927E-02    -0.113054E-03
   -0.8694  0.280350E-02    -0.765955E-04
   -0.8905  0.215726E-02    -0.501322E-04
   -0.9100  0.162159E-02    -0.315204E-04
   -0.9279  0.118634E-02    -0.188990E-04
   -0.9444  0.829092E-03    -0.104666E-04
   -0.9596  0.543915E-03    -0.519639E-05
   -0.9727  0.332456E-03    -0.228585E-05
   -0.9837  0.183205E-03    -0.847345E-06
   -0.9926  0.858835E-04    -0.242927E-06
   -0.9993  0.306210E-04    -0.456732E-07
   -1.0038  0.630899E-05    -0.383982E-08
   -1.0060  0.364706E-06    -0.518076E-10
   -1.0063   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12450652900091101     
     2Ymax/Bref =   0.19303067112055874     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1245  0.125579E-02     0.397064E-04
    0.1248  0.125270E-02     0.382667E-04
    0.1271  0.123936E-02     0.354060E-04
    0.1316  0.118227E-02     0.300357E-04
    0.1379  0.105276E-02     0.230263E-04
    0.1457  0.851591E-03     0.157116E-04
    0.1543  0.621438E-03     0.940102E-05
    0.1632  0.410169E-03     0.482561E-05
    0.1719  0.240851E-03     0.203658E-05
    0.1796  0.119735E-03     0.651563E-06
    0.1860  0.452302E-04     0.134204E-06
    0.1904  0.982073E-05     0.121223E-07
    0.1927  0.589585E-06     0.172132E-09
    0.1930   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.19303067112055874     
     2Ymax/Bref =  -0.12450652900091101     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1245  0.125579E-02    -0.397064E-04
   -0.1248  0.125270E-02    -0.382667E-04
   -0.1271  0.123936E-02    -0.354060E-04
   -0.1316  0.118227E-02    -0.300357E-04
   -0.1379  0.105276E-02    -0.230263E-04
   -0.1457  0.851591E-03    -0.157116E-04
   -0.1543  0.621438E-03    -0.940102E-05
   -0.1632  0.410169E-03    -0.482561E-05
   -0.1719  0.240851E-03    -0.203658E-05
   -0.1796  0.119735E-03    -0.651563E-06
   -0.1860  0.452302E-04    -0.134204E-06
   -0.1904  0.982073E-05    -0.121223E-07
   -0.1927  0.589585E-06    -0.172132E-09
   -0.1930   0.00000         -0.00000    
