
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_34652_5_9902c1                                      
  Mach  =    0.850
  alpha =    2.634    CLtot =    0.194
  beta  =    0.000

  Sref  =   814.80000
  Bref  =    61.50000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062308943089431     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.962446E-01     0.168146E-01
    0.0003  0.960652E-01     0.167629E-01
    0.0024  0.957062E-01     0.166597E-01
    0.0067  0.949897E-01     0.164550E-01
    0.0131  0.939182E-01     0.161518E-01
    0.0217  0.924952E-01     0.157549E-01
    0.0322  0.907249E-01     0.152705E-01
    0.0448  0.886125E-01     0.147060E-01
    0.0594  0.861648E-01     0.140701E-01
    0.0759  0.833912E-01     0.133727E-01
    0.0942  0.803057E-01     0.126246E-01
    0.1142  0.769340E-01     0.118372E-01
    0.1359  0.733431E-01     0.110222E-01
    0.1598  0.694851E-01     0.101688E-01
    0.1859  0.653529E-01     0.929093E-02
    0.2134  0.610494E-01     0.842254E-02
    0.2422  0.566294E-01     0.757524E-02
    0.2722  0.521677E-01     0.675932E-02
    0.3033  0.477310E-01     0.598346E-02
    0.3353  0.433895E-01     0.525446E-02
    0.3681  0.392189E-01     0.457707E-02
    0.4003  0.354348E-01     0.397363E-02
    0.4317  0.320315E-01     0.343883E-02
    0.4635  0.288433E-01     0.295104E-02
    0.4954  0.258579E-01     0.250988E-02
    0.5275  0.230669E-01     0.211445E-02
    0.5594  0.204652E-01     0.176337E-02
    0.5912  0.180492E-01     0.145475E-02
    0.6226  0.158160E-01     0.118631E-02
    0.6535  0.137625E-01     0.955392E-03
    0.6839  0.118851E-01     0.759103E-03
    0.7135  0.101796E-01     0.594347E-03
    0.7422  0.864091E-02     0.457922E-03
    0.7699  0.726298E-02     0.346604E-03
    0.7966  0.603887E-02     0.257214E-03
    0.8220  0.496074E-02     0.186684E-03
    0.8461  0.401991E-02     0.132113E-03
    0.8687  0.320693E-02     0.908112E-04
    0.8898  0.251164E-02     0.603371E-04
    0.9093  0.192339E-02     0.385161E-04
    0.9271  0.143230E-02     0.234482E-04
    0.9438  0.101678E-02     0.131585E-04
    0.9591  0.676200E-03     0.659747E-05
    0.9723  0.418337E-03     0.292733E-05
    0.9835  0.232915E-03     0.109306E-05
    0.9924  0.110077E-03     0.315217E-06
    0.9992  0.394905E-04     0.595439E-07
    1.0037  0.817729E-05     0.502628E-08
    1.0059  0.474640E-06     0.680741E-10
    1.0062   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0062308943089431     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.962446E-01    -0.168146E-01
   -0.0003  0.960652E-01    -0.167629E-01
   -0.0024  0.957062E-01    -0.166597E-01
   -0.0067  0.949897E-01    -0.164550E-01
   -0.0131  0.939182E-01    -0.161518E-01
   -0.0217  0.924952E-01    -0.157549E-01
   -0.0322  0.907249E-01    -0.152705E-01
   -0.0448  0.886125E-01    -0.147060E-01
   -0.0594  0.861648E-01    -0.140701E-01
   -0.0759  0.833912E-01    -0.133727E-01
   -0.0942  0.803057E-01    -0.126246E-01
   -0.1142  0.769340E-01    -0.118372E-01
   -0.1359  0.733431E-01    -0.110222E-01
   -0.1598  0.694851E-01    -0.101688E-01
   -0.1859  0.653529E-01    -0.929093E-02
   -0.2134  0.610494E-01    -0.842254E-02
   -0.2422  0.566294E-01    -0.757524E-02
   -0.2722  0.521677E-01    -0.675932E-02
   -0.3033  0.477310E-01    -0.598346E-02
   -0.3353  0.433895E-01    -0.525446E-02
   -0.3681  0.392189E-01    -0.457707E-02
   -0.4003  0.354348E-01    -0.397363E-02
   -0.4317  0.320315E-01    -0.343883E-02
   -0.4635  0.288433E-01    -0.295104E-02
   -0.4954  0.258579E-01    -0.250988E-02
   -0.5275  0.230669E-01    -0.211445E-02
   -0.5594  0.204652E-01    -0.176337E-02
   -0.5912  0.180492E-01    -0.145475E-02
   -0.6226  0.158160E-01    -0.118631E-02
   -0.6535  0.137625E-01    -0.955392E-03
   -0.6839  0.118851E-01    -0.759103E-03
   -0.7135  0.101796E-01    -0.594347E-03
   -0.7422  0.864091E-02    -0.457922E-03
   -0.7699  0.726298E-02    -0.346604E-03
   -0.7966  0.603887E-02    -0.257214E-03
   -0.8220  0.496074E-02    -0.186684E-03
   -0.8461  0.401991E-02    -0.132113E-03
   -0.8687  0.320693E-02    -0.908112E-04
   -0.8898  0.251164E-02    -0.603371E-04
   -0.9093  0.192339E-02    -0.385161E-04
   -0.9271  0.143230E-02    -0.234482E-04
   -0.9438  0.101678E-02    -0.131585E-04
   -0.9591  0.676200E-03    -0.659747E-05
   -0.9723  0.418337E-03    -0.292733E-05
   -0.9835  0.232915E-03    -0.109306E-05
   -0.9924  0.110077E-03    -0.315217E-06
   -0.9992  0.394905E-04    -0.595439E-07
   -1.0037  0.817729E-05    -0.502628E-08
   -1.0059  0.474640E-06    -0.680741E-10
   -1.0062   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.13333333333333333     
     2Ymax/Bref =   0.20671544715447154     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1333  0.155220E-02     0.532703E-04
    0.1336  0.154814E-02     0.513647E-04
    0.1361  0.153088E-02     0.475796E-04
    0.1409  0.145883E-02     0.404796E-04
    0.1477  0.130002E-02     0.312139E-04
    0.1560  0.105923E-02     0.215096E-04
    0.1652  0.785536E-03     0.130461E-04
    0.1748  0.529627E-03     0.679953E-05
    0.1841  0.317678E-03     0.291225E-05
    0.1924  0.160877E-03     0.943795E-06
    0.1991  0.616569E-04     0.196412E-06
    0.2039  0.135204E-04     0.178794E-07
    0.2064  0.816328E-06     0.255227E-09
    0.2067   0.00000          0.00000    
   
