
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_34668_0_90b9aa                                      
  Mach  =    0.850
  alpha =    2.044    CLtot =    0.166
  beta  =    0.000

  Sref  =   979.80000
  Bref  =    64.98000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0061403508771929     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.825625E-01     0.155839E-01
    0.0003  0.824266E-01     0.155403E-01
    0.0024  0.821549E-01     0.154533E-01
    0.0066  0.816125E-01     0.152804E-01
    0.0129  0.808014E-01     0.150242E-01
    0.0213  0.797244E-01     0.146883E-01
    0.0317  0.783851E-01     0.142773E-01
    0.0441  0.767878E-01     0.137971E-01
    0.0584  0.749376E-01     0.132545E-01
    0.0746  0.728414E-01     0.126571E-01
    0.0926  0.705085E-01     0.120131E-01
    0.1123  0.679561E-01     0.113315E-01
    0.1336  0.652257E-01     0.106215E-01
    0.1563  0.623698E-01     0.989849E-02
    0.1802  0.593852E-01     0.917122E-02
    0.2054  0.562560E-01     0.844233E-02
    0.2318  0.530030E-01     0.772058E-02
    0.2594  0.496571E-01     0.701424E-02
    0.2879  0.462583E-01     0.633080E-02
    0.3173  0.428546E-01     0.567670E-02
    0.3474  0.394997E-01     0.505714E-02
    0.3781  0.362480E-01     0.447585E-02
    0.4101  0.330678E-01     0.391840E-02
    0.4433  0.300047E-01     0.338992E-02
    0.4767  0.271372E-01     0.290804E-02
    0.5102  0.244501E-01     0.247206E-02
    0.5437  0.219321E-01     0.208091E-02
    0.5769  0.195754E-01     0.173312E-02
    0.6097  0.173743E-01     0.142685E-02
    0.6421  0.153240E-01     0.115993E-02
    0.6738  0.134206E-01     0.929893E-03
    0.7047  0.116602E-01     0.734064E-03
    0.7348  0.100391E-01     0.569590E-03
    0.7638  0.855323E-02     0.433514E-03
    0.7916  0.719884E-02     0.322825E-03
    0.8182  0.597211E-02     0.234516E-03
    0.8434  0.486998E-02     0.165626E-03
    0.8671  0.389107E-02     0.113271E-03
    0.8891  0.303676E-02     0.746668E-04
    0.9095  0.231042E-02     0.471568E-04
    0.9281  0.171264E-02     0.282675E-04
    0.9450  0.122542E-02     0.157632E-04
    0.9600  0.828384E-03     0.796945E-05
    0.9729  0.516815E-03     0.355266E-05
    0.9838  0.288625E-03     0.133134E-05
    0.9926  0.137003E-03     0.386173E-06
    0.9992  0.497033E-04     0.736553E-07
    1.0036  0.104478E-04     0.629232E-08
    1.0059  0.612233E-06     0.859807E-10
    1.0061   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0061403508771929     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.825625E-01    -0.155839E-01
   -0.0003  0.824266E-01    -0.155403E-01
   -0.0024  0.821549E-01    -0.154533E-01
   -0.0066  0.816125E-01    -0.152804E-01
   -0.0129  0.808014E-01    -0.150242E-01
   -0.0213  0.797244E-01    -0.146883E-01
   -0.0317  0.783851E-01    -0.142773E-01
   -0.0441  0.767878E-01    -0.137971E-01
   -0.0584  0.749376E-01    -0.132545E-01
   -0.0746  0.728414E-01    -0.126571E-01
   -0.0926  0.705085E-01    -0.120131E-01
   -0.1123  0.679561E-01    -0.113315E-01
   -0.1336  0.652257E-01    -0.106215E-01
   -0.1563  0.623698E-01    -0.989849E-02
   -0.1802  0.593852E-01    -0.917122E-02
   -0.2054  0.562560E-01    -0.844233E-02
   -0.2318  0.530030E-01    -0.772058E-02
   -0.2594  0.496571E-01    -0.701424E-02
   -0.2879  0.462583E-01    -0.633080E-02
   -0.3173  0.428546E-01    -0.567670E-02
   -0.3474  0.394997E-01    -0.505714E-02
   -0.3781  0.362480E-01    -0.447585E-02
   -0.4101  0.330678E-01    -0.391840E-02
   -0.4433  0.300047E-01    -0.338992E-02
   -0.4767  0.271372E-01    -0.290804E-02
   -0.5102  0.244501E-01    -0.247206E-02
   -0.5437  0.219321E-01    -0.208091E-02
   -0.5769  0.195754E-01    -0.173312E-02
   -0.6097  0.173743E-01    -0.142685E-02
   -0.6421  0.153240E-01    -0.115993E-02
   -0.6738  0.134206E-01    -0.929893E-03
   -0.7047  0.116602E-01    -0.734064E-03
   -0.7348  0.100391E-01    -0.569590E-03
   -0.7638  0.855323E-02    -0.433514E-03
   -0.7916  0.719884E-02    -0.322825E-03
   -0.8182  0.597211E-02    -0.234516E-03
   -0.8434  0.486998E-02    -0.165626E-03
   -0.8671  0.389107E-02    -0.113271E-03
   -0.8891  0.303676E-02    -0.746668E-04
   -0.9095  0.231042E-02    -0.471568E-04
   -0.9281  0.171264E-02    -0.282675E-04
   -0.9450  0.122542E-02    -0.157632E-04
   -0.9600  0.828384E-03    -0.796945E-05
   -0.9729  0.516815E-03    -0.355266E-05
   -0.9838  0.288625E-03    -0.133134E-05
   -0.9926  0.137003E-03    -0.386173E-06
   -0.9992  0.497033E-04    -0.736553E-07
   -1.0036  0.104478E-04    -0.629232E-08
   -1.0059  0.612233E-06    -0.859807E-10
   -1.0061   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12619267466912895     
     2Ymax/Bref =   0.19564481378885809     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1262  0.942059E-03     0.308169E-04
    0.1265  0.939645E-03     0.297223E-04
    0.1288  0.929338E-03     0.275478E-04
    0.1334  0.886193E-03     0.234671E-04
    0.1398  0.791227E-03     0.181352E-04
    0.1476  0.647495E-03     0.125342E-04
    0.1564  0.483050E-03     0.762522E-05
    0.1655  0.327200E-03     0.398291E-05
    0.1742  0.196742E-03     0.170790E-05
    0.1821  0.997242E-04     0.553745E-06
    0.1885  0.382262E-04     0.115249E-06
    0.1930  0.838192E-05     0.104906E-07
    0.1953  0.506052E-06     0.149745E-09
    0.1956   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.19564481378885809     
     2Ymax/Bref =  -0.12619267466912895     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1262  0.942059E-03    -0.308169E-04
   -0.1265  0.939645E-03    -0.297223E-04
   -0.1288  0.929338E-03    -0.275478E-04
   -0.1334  0.886193E-03    -0.234671E-04
   -0.1398  0.791227E-03    -0.181352E-04
   -0.1476  0.647495E-03    -0.125342E-04
   -0.1564  0.483050E-03    -0.762522E-05
   -0.1655  0.327200E-03    -0.398291E-05
   -0.1742  0.196742E-03    -0.170790E-05
   -0.1821  0.997242E-04    -0.553745E-06
   -0.1885  0.382262E-04    -0.115249E-06
   -0.1930  0.838192E-05    -0.104906E-07
   -0.1953  0.506052E-06    -0.149745E-09
   -0.1956   0.00000         -0.00000    
