
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_34668_17_e3bf20                                     
  Mach  =    0.850
  alpha =    2.669    CLtot =    0.192
  beta  =    0.000

  Sref  =   768.10000
  Bref  =    64.78000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0062673664711332     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.952703E-01     0.160054E-01
    0.0003  0.950887E-01     0.159554E-01
    0.0024  0.947255E-01     0.158556E-01
    0.0066  0.940005E-01     0.156577E-01
    0.0128  0.929164E-01     0.153648E-01
    0.0212  0.914775E-01     0.149814E-01
    0.0315  0.896888E-01     0.145136E-01
    0.0438  0.875572E-01     0.139686E-01
    0.0580  0.850909E-01     0.133552E-01
    0.0741  0.823006E-01     0.126828E-01
    0.0920  0.792008E-01     0.119620E-01
    0.1115  0.758154E-01     0.112038E-01
    0.1327  0.721974E-01     0.104198E-01
    0.1553  0.684028E-01     0.962600E-02
    0.1792  0.644223E-01     0.883323E-02
    0.2044  0.602414E-01     0.804808E-02
    0.2308  0.559046E-01     0.728144E-02
    0.2583  0.514859E-01     0.654313E-02
    0.2868  0.470634E-01     0.584147E-02
    0.3162  0.427199E-01     0.518298E-02
    0.3463  0.385501E-01     0.457205E-02
    0.3770  0.346625E-01     0.401065E-02
    0.4090  0.310526E-01     0.348124E-02
    0.4424  0.277394E-01     0.298660E-02
    0.4759  0.247394E-01     0.254222E-02
    0.5096  0.220049E-01     0.214556E-02
    0.5431  0.195046E-01     0.179406E-02
    0.5765  0.172166E-01     0.148512E-02
    0.6095  0.151242E-01     0.121595E-02
    0.6420  0.132137E-01     0.983670E-03
    0.6738  0.114732E-01     0.785297E-03
    0.7049  0.989239E-02     0.617792E-03
    0.7350  0.846170E-02     0.478103E-03
    0.7642  0.717216E-02     0.363209E-03
    0.7921  0.601523E-02     0.270162E-03
    0.8188  0.498270E-02     0.196120E-03
    0.8441  0.406666E-02     0.138385E-03
    0.8679  0.325949E-02     0.944247E-04
    0.8900  0.255404E-02     0.618971E-04
    0.9105  0.194396E-02     0.386610E-04
    0.9292  0.142511E-02     0.227774E-04
    0.9460  0.999988E-03     0.125028E-04
    0.9607  0.665608E-03     0.627066E-05
    0.9735  0.411761E-03     0.278276E-05
    0.9843  0.229282E-03     0.103957E-05
    0.9929  0.108474E-03     0.300031E-06
    0.9994  0.389583E-04     0.567044E-07
    1.0038  0.806197E-05     0.478355E-08
    1.0060  0.466760E-06     0.646334E-10
    1.0063   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0062673664711332     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.952703E-01    -0.160054E-01
