
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_4796_18_b69843                                      
  Mach  =    0.850
  alpha =    1.664    CLtot =    0.147
  beta  =    0.000

  Sref  =  1142.20000
  Bref  =    69.75000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0069562724014338     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.733404E-01     0.141263E-01
    0.0003  0.732192E-01     0.140870E-01
    0.0024  0.729770E-01     0.140087E-01
    0.0067  0.724938E-01     0.138532E-01
    0.0131  0.717724E-01     0.136228E-01
    0.0216  0.708168E-01     0.133206E-01
    0.0321  0.696327E-01     0.129509E-01
    0.0446  0.682270E-01     0.125189E-01
    0.0591  0.666081E-01     0.120306E-01
    0.0755  0.647859E-01     0.114927E-01
    0.0937  0.627733E-01     0.109124E-01
    0.1137  0.605914E-01     0.102975E-01
    0.1359  0.582002E-01     0.963722E-02
    0.1604  0.555944E-01     0.894091E-02
    0.1864  0.528167E-01     0.823557E-02
    0.2139  0.498764E-01     0.753055E-02
    0.2427  0.468028E-01     0.683492E-02
    0.2727  0.436369E-01     0.615715E-02
    0.3038  0.404297E-01     0.550469E-02
    0.3347  0.373578E-01     0.490037E-02
    0.3654  0.344780E-01     0.434457E-02
    0.3967  0.317081E-01     0.382220E-02
    0.4284  0.290461E-01     0.333533E-02
    0.4605  0.264914E-01     0.288543E-02
    0.4928  0.240454E-01     0.247339E-02
    0.5252  0.217108E-01     0.209952E-02
    0.5575  0.194909E-01     0.176359E-02
    0.5896  0.173890E-01     0.146483E-02
    0.6214  0.154082E-01     0.120200E-02
    0.6527  0.135513E-01     0.973444E-03
    0.6833  0.118206E-01     0.777138E-03
    0.7133  0.102176E-01     0.610775E-03
    0.7423  0.874313E-02     0.471829E-03
    0.7703  0.739738E-02     0.357617E-03
    0.7973  0.617972E-02     0.265377E-03
    0.8230  0.508892E-02     0.192330E-03
    0.8473  0.412313E-02     0.135739E-03
    0.8702  0.328000E-02     0.929670E-04
    0.8916  0.255653E-02     0.615235E-04
    0.9113  0.194868E-02     0.391143E-04
    0.9293  0.144994E-02     0.236865E-04
    0.9458  0.103718E-02     0.132865E-04
    0.9608  0.697765E-03     0.670383E-05
    0.9738  0.434375E-03     0.298719E-05
