
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_4796_7_cb0eea                                       
  Mach  =    0.850
  alpha =    1.906    CLtot =    0.160
  beta  =    0.000

  Sref  =  1083.60000
  Bref  =    65.49000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0059795388608950     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.799326E-01     0.148731E-01
    0.0003  0.797866E-01     0.148265E-01
    0.0026  0.794946E-01     0.147334E-01
    0.0073  0.789116E-01     0.145486E-01
    0.0143  0.780397E-01     0.142751E-01
    0.0235  0.768811E-01     0.139168E-01
    0.0350  0.754386E-01     0.134793E-01
    0.0487  0.737155E-01     0.129693E-01
    0.0645  0.717159E-01     0.123946E-01
    0.0824  0.694460E-01     0.117639E-01
    0.1023  0.669180E-01     0.110870E-01
    0.1240  0.641694E-01     0.103740E-01
    0.1476  0.612325E-01     0.963521E-02
    0.1712  0.583316E-01     0.893063E-02
    0.1946  0.554956E-01     0.826561E-02
    0.2193  0.525440E-01     0.759956E-02
    0.2451  0.495010E-01     0.694024E-02
    0.2721  0.463988E-01     0.629487E-02
    0.3000  0.432709E-01     0.566994E-02
    0.3287  0.401492E-01     0.507105E-02
    0.3581  0.370631E-01     0.450290E-02
    0.3882  0.340418E-01     0.396919E-02
    0.4197  0.310207E-01     0.345456E-02
    0.4525  0.280462E-01     0.296528E-02
    0.4856  0.252313E-01     0.252110E-02
    0.5187  0.225757E-01     0.212167E-02
    0.5517  0.200782E-01     0.176606E-02
    0.5845  0.177385E-01     0.145281E-02
    0.6170  0.155573E-01     0.117997E-02
    0.6490  0.135350E-01     0.945186E-03
    0.6804  0.116717E-01     0.745761E-03
    0.7109  0.996707E-02     0.578731E-03
    0.7406  0.841957E-02     0.440953E-03
    0.7693  0.702680E-02     0.329189E-03
    0.7968  0.578522E-02     0.240185E-03
    0.8231  0.469011E-02     0.170749E-03
    0.8480  0.373563E-02     0.117822E-03
    0.8714  0.291480E-02     0.785324E-04
    0.8933  0.221968E-02     0.502474E-04
    0.9134  0.164148E-02     0.306088E-04
    0.9318  0.117077E-02     0.175549E-04
    0.9484  0.797727E-03     0.933154E-05
    0.9627  0.517084E-03     0.455866E-05
    0.9749  0.314554E-03     0.200020E-05
    0.9851  0.172709E-03     0.741081E-06
    0.9933  0.810556E-04     0.213083E-06
    0.9995  0.291101E-04     0.403055E-07
    1.0036  0.605008E-05     0.341168E-08
    1.0057  0.350900E-06     0.461734E-10
    1.0060   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0059795388608950     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.799326E-01    -0.148731E-01
   -0.0003  0.797866E-01    -0.148265E-01
   -0.0026  0.794946E-01    -0.147334E-01
   -0.0073  0.789116E-01    -0.145486E-01
   -0.0143  0.780397E-01    -0.142751E-01
   -0.0235  0.768811E-01    -0.139168E-01
   -0.0350  0.754386E-01    -0.134793E-01
   -0.0487  0.737155E-01    -0.129693E-01
   -0.0645  0.717159E-01    -0.123946E-01
   -0.0824  0.694460E-01    -0.117639E-01
   -0.1023  0.669180E-01    -0.110870E-01
   -0.1240  0.641694E-01    -0.103740E-01
   -0.1476  0.612325E-01    -0.963521E-02
   -0.1712  0.583316E-01    -0.893063E-02
   -0.1946  0.554956E-01    -0.826561E-02
   -0.2193  0.525440E-01    -0.759956E-02
   -0.2451  0.495010E-01    -0.694024E-02
   -0.2721  0.463988E-01    -0.629487E-02
   -0.3000  0.432709E-01    -0.566994E-02
   -0.3287  0.401492E-01    -0.507105E-02
   -0.3581  0.370631E-01    -0.450290E-02
   -0.3882  0.340418E-01    -0.396919E-02
   -0.4197  0.310207E-01    -0.345456E-02
   -0.4525  0.280462E-01    -0.296528E-02
   -0.4856  0.252313E-01    -0.252110E-02
   -0.5187  0.225757E-01    -0.212167E-02
   -0.5517  0.200782E-01    -0.176606E-02
   -0.5845  0.177385E-01    -0.145281E-02
   -0.6170  0.155573E-01    -0.117997E-02
   -0.6490  0.135350E-01    -0.945186E-03
   -0.6804  0.116717E-01    -0.745761E-03
   -0.7109  0.996707E-02    -0.578731E-03
   -0.7406  0.841957E-02    -0.440953E-03
   -0.7693  0.702680E-02    -0.329189E-03
   -0.7968  0.578522E-02    -0.240185E-03
   -0.8231  0.469011E-02    -0.170749E-03
   -0.8480  0.373563E-02    -0.117822E-03
   -0.8714  0.291480E-02    -0.785324E-04
   -0.8933  0.221968E-02    -0.502474E-04
   -0.9134  0.164148E-02    -0.306088E-04
   -0.9318  0.117077E-02    -0.175549E-04
   -0.9484  0.797727E-03    -0.933154E-05
   -0.9627  0.517084E-03    -0.455866E-05
   -0.9749  0.314554E-03    -0.200020E-05
   -0.9851  0.172709E-03    -0.741081E-06
   -0.9933  0.810556E-04    -0.213083E-06
   -0.9995  0.291101E-04    -0.403055E-07
   -1.0036  0.605008E-05    -0.341168E-08
   -1.0057  0.350900E-06    -0.461734E-10
