
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_5312_7_4cc056                                       
  Mach  =    0.850
  alpha =    1.918    CLtot =    0.160
  beta  =    0.000

  Sref  =  1024.00000
  Bref  =    64.51000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060920787474810     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.797154E-01     0.153479E-01
    0.0003  0.795852E-01     0.153054E-01
    0.0024  0.793249E-01     0.152207E-01
    0.0067  0.788053E-01     0.150525E-01
    0.0130  0.780281E-01     0.148031E-01
    0.0215  0.769959E-01     0.144761E-01
    0.0319  0.757111E-01     0.140761E-01
    0.0444  0.741770E-01     0.136086E-01
    0.0589  0.723975E-01     0.130803E-01
    0.0752  0.703778E-01     0.124985E-01
    0.0933  0.681262E-01     0.118714E-01
    0.1131  0.656595E-01     0.112076E-01
    0.1346  0.630252E-01     0.105161E-01
    0.1576  0.602848E-01     0.981014E-02
    0.1818  0.574559E-01     0.909784E-02
    0.2073  0.545382E-01     0.838290E-02
    0.2341  0.515490E-01     0.767313E-02
    0.2620  0.485138E-01     0.697584E-02
    0.2909  0.454624E-01     0.629764E-02
    0.3206  0.424256E-01     0.564427E-02
    0.3511  0.394334E-01     0.502055E-02
    0.3822  0.365158E-01     0.443024E-02
    0.4142  0.336344E-01     0.386678E-02
    0.4469  0.307821E-01     0.333471E-02
    0.4799  0.280050E-01     0.284601E-02
    0.5129  0.253103E-01     0.240184E-02
    0.5459  0.227074E-01     0.200266E-02
    0.5786  0.202074E-01     0.164820E-02
    0.6110  0.178226E-01     0.133746E-02
    0.6429  0.155651E-01     0.106879E-02
    0.6741  0.134464E-01     0.839920E-03
    0.7046  0.114770E-01     0.648090E-03
    0.7342  0.966557E-02     0.490117E-03
    0.7628  0.801908E-02     0.362525E-03
    0.7903  0.654211E-02     0.261660E-03
    0.8165  0.523688E-02     0.183808E-03
    0.8413  0.410307E-02     0.125307E-03
    0.8647  0.313780E-02     0.826516E-04
    0.8864  0.233568E-02     0.525858E-04
    0.9065  0.168881E-02     0.321754E-04
    0.9249  0.118654E-02     0.188670E-04
    0.9420  0.800237E-03     0.102805E-04
    0.9577  0.512437E-03     0.505879E-05
    0.9713  0.310033E-03     0.222799E-05
    0.9827  0.171812E-03     0.834972E-06
    0.9919  0.822338E-04     0.243603E-06
    0.9988  0.300518E-04     0.465829E-07
    1.0035  0.626436E-05     0.394970E-08
    1.0058  0.360050E-06     0.530050E-10
    1.0061   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0060920787474810     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.797154E-01    -0.153479E-01
   -0.0003  0.795852E-01    -0.153054E-01
   -0.0024  0.793249E-01    -0.152207E-01
   -0.0067  0.788053E-01    -0.150525E-01
   -0.0130  0.780281E-01    -0.148031E-01
   -0.0215  0.769959E-01    -0.144761E-01
   -0.0319  0.757111E-01    -0.140761E-01
   -0.0444  0.741770E-01    -0.136086E-01
   -0.0589  0.723975E-01    -0.130803E-01
   -0.0752  0.703778E-01    -0.124985E-01
   -0.0933  0.681262E-01    -0.118714E-01
   -0.1131  0.656595E-01    -0.112076E-01
   -0.1346  0.630252E-01    -0.105161E-01
   -0.1576  0.602848E-01    -0.981014E-02
   -0.1818  0.574559E-01    -0.909784E-02
   -0.2073  0.545382E-01    -0.838290E-02
   -0.2341  0.515490E-01    -0.767313E-02
   -0.2620  0.485138E-01    -0.697584E-02
   -0.2909  0.454624E-01    -0.629764E-02
   -0.3206  0.424256E-01    -0.564427E-02
   -0.3511  0.394334E-01    -0.502055E-02
   -0.3822  0.365158E-01    -0.443024E-02
   -0.4142  0.336344E-01    -0.386678E-02
   -0.4469  0.307821E-01    -0.333471E-02
   -0.4799  0.280050E-01    -0.284601E-02
   -0.5129  0.253103E-01    -0.240184E-02
   -0.5459  0.227074E-01    -0.200266E-02
   -0.5786  0.202074E-01    -0.164820E-02
   -0.6110  0.178226E-01    -0.133746E-02
   -0.6429  0.155651E-01    -0.106879E-02
   -0.6741  0.134464E-01    -0.839920E-03
   -0.7046  0.114770E-01    -0.648090E-03
   -0.7342  0.966557E-02    -0.490117E-03
   -0.7628  0.801908E-02    -0.362525E-03
   -0.7903  0.654211E-02    -0.261660E-03
   -0.8165  0.523688E-02    -0.183808E-03
   -0.8413  0.410307E-02    -0.125307E-03
   -0.8647  0.313780E-02    -0.826516E-04
   -0.8864  0.233568E-02    -0.525858E-04
   -0.9065  0.168881E-02    -0.321754E-04
   -0.9249  0.118654E-02    -0.188670E-04
   -0.9420  0.800237E-03    -0.102805E-04
   -0.9577  0.512437E-03    -0.505879E-05
   -0.9713  0.310033E-03    -0.222799E-05
   -0.9827  0.171812E-03    -0.834972E-06
   -0.9919  0.822338E-04    -0.243603E-06
   -0.9988  0.300518E-04    -0.465829E-07
   -1.0035  0.626436E-05    -0.394970E-08
   -1.0058  0.360050E-06    -0.530050E-10
   -1.0061   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12711207564718646     
     2Ymax/Bref =   0.19707022167105873     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1271  0.974504E-03     0.317637E-04
    0.1274  0.971819E-03     0.306232E-04
    0.1298  0.960506E-03     0.283586E-04
    0.1343  0.914007E-03     0.241147E-04
    0.1408  0.813423E-03     0.185838E-04
    0.1487  0.662815E-03     0.127949E-04
    0.1575  0.491571E-03     0.774589E-05
    0.1667  0.330494E-03     0.402354E-05
    0.1755  0.197157E-03     0.171573E-05
    0.1834  0.992211E-04     0.553512E-06
