
 Shear/q and Bending Moment/q vs Y
  Configuration: PSO_Run_5668_12_f1633f                                      
  Mach  =    0.850
  alpha =    1.899    CLtot =    0.156
  beta  =    0.000

  Sref  =  1035.20000
  Bref  =    63.16000
   
 Surface:   1  
MainWing                                
     2Ymin/Bref =    0.0000000000000000     
     2Ymax/Bref =    1.0060386320455985     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.779683E-01     0.145317E-01
    0.0003  0.778384E-01     0.144886E-01
    0.0025  0.775785E-01     0.144027E-01
    0.0069  0.770599E-01     0.142322E-01
    0.0135  0.762844E-01     0.139795E-01
    0.0222  0.752550E-01     0.136481E-01
    0.0331  0.739753E-01     0.132428E-01
    0.0461  0.724500E-01     0.127694E-01
    0.0610  0.706846E-01     0.122346E-01
    0.0779  0.686858E-01     0.116459E-01
    0.0967  0.664626E-01     0.110115E-01
    0.1173  0.640300E-01     0.103404E-01
    0.1396  0.614188E-01     0.964154E-02
    0.1631  0.586894E-01     0.893607E-02
    0.1877  0.558350E-01     0.823229E-02
    0.2136  0.528175E-01     0.752772E-02
    0.2408  0.496568E-01     0.683129E-02
    0.2692  0.463840E-01     0.615146E-02
    0.2985  0.430373E-01     0.549594E-02
    0.3287  0.396613E-01     0.487145E-02
    0.3597  0.363059E-01     0.428347E-02
    0.3913  0.330227E-01     0.373611E-02
    0.4235  0.298647E-01     0.322843E-02
    0.4560  0.268802E-01     0.276217E-02
    0.4888  0.240812E-01     0.234073E-02
    0.5216  0.214590E-01     0.196331E-02
    0.5544  0.190079E-01     0.162865E-02
    0.5870  0.167245E-01     0.133504E-02
    0.6192  0.146070E-01     0.108037E-02
    0.6509  0.126538E-01     0.862140E-03
    0.6820  0.108636E-01     0.677579E-03
    0.7124  0.923413E-02     0.523696E-03
    0.7418  0.776278E-02     0.397358E-03
    0.7703  0.644583E-02     0.295378E-03
    0.7976  0.527861E-02     0.214586E-03
    0.8236  0.425541E-02     0.151899E-03
    0.8483  0.336953E-02     0.104388E-03
    0.8716  0.261330E-02     0.693276E-04
    0.8932  0.197819E-02     0.442377E-04
    0.9132  0.145493E-02     0.269169E-04
    0.9315  0.103345E-02     0.154595E-04
    0.9477  0.705217E-03     0.829971E-05
    0.9620  0.457824E-03     0.409300E-05
    0.9744  0.277173E-03     0.179279E-05
    0.9848  0.151993E-03     0.664647E-06
    0.9931  0.715168E-04     0.191568E-06
    0.9994  0.257867E-04     0.363268E-07
    1.0037  0.536373E-05     0.307594E-08
    1.0058  0.309689E-06     0.414544E-10
    1.0060   0.00000          0.00000    
   
 Surface:   2  
MainWing (YDUP)                         
     2Ymin/Bref =   -1.0060386320455985     
     2Ymax/Bref =    0.0000000000000000     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.0000  0.779683E-01    -0.145317E-01
   -0.0003  0.778384E-01    -0.144886E-01
   -0.0025  0.775785E-01    -0.144027E-01
   -0.0069  0.770599E-01    -0.142322E-01
   -0.0135  0.762844E-01    -0.139795E-01
   -0.0222  0.752550E-01    -0.136481E-01
   -0.0331  0.739753E-01    -0.132428E-01
   -0.0461  0.724500E-01    -0.127694E-01
   -0.0610  0.706846E-01    -0.122346E-01
   -0.0779  0.686858E-01    -0.116459E-01
   -0.0967  0.664626E-01    -0.110115E-01
   -0.1173  0.640300E-01    -0.103404E-01
   -0.1396  0.614188E-01    -0.964154E-02
   -0.1631  0.586894E-01    -0.893607E-02
   -0.1877  0.558350E-01    -0.823229E-02
   -0.2136  0.528175E-01    -0.752772E-02
   -0.2408  0.496568E-01    -0.683129E-02
   -0.2692  0.463840E-01    -0.615146E-02
   -0.2985  0.430373E-01    -0.549594E-02
   -0.3287  0.396613E-01    -0.487145E-02
   -0.3597  0.363059E-01    -0.428347E-02
   -0.3913  0.330227E-01    -0.373611E-02
   -0.4235  0.298647E-01    -0.322843E-02
   -0.4560  0.268802E-01    -0.276217E-02
   -0.4888  0.240812E-01    -0.234073E-02
   -0.5216  0.214590E-01    -0.196331E-02
   -0.5544  0.190079E-01    -0.162865E-02
   -0.5870  0.167245E-01    -0.133504E-02
   -0.6192  0.146070E-01    -0.108037E-02
   -0.6509  0.126538E-01    -0.862140E-03
   -0.6820  0.108636E-01    -0.677579E-03
   -0.7124  0.923413E-02    -0.523696E-03
   -0.7418  0.776278E-02    -0.397358E-03
   -0.7703  0.644583E-02    -0.295378E-03
   -0.7976  0.527861E-02    -0.214586E-03
   -0.8236  0.425541E-02    -0.151899E-03
   -0.8483  0.336953E-02    -0.104388E-03
   -0.8716  0.261330E-02    -0.693276E-04
   -0.8932  0.197819E-02    -0.442377E-04
   -0.9132  0.145493E-02    -0.269169E-04
   -0.9315  0.103345E-02    -0.154595E-04
   -0.9477  0.705217E-03    -0.829971E-05
   -0.9620  0.457824E-03    -0.409300E-05
   -0.9744  0.277173E-03    -0.179279E-05
   -0.9848  0.151993E-03    -0.664647E-06
   -0.9931  0.715168E-04    -0.191568E-06
   -0.9994  0.257867E-04    -0.363268E-07
   -1.0037  0.536373E-05    -0.307594E-08
   -1.0058  0.309689E-06    -0.414544E-10
   -1.0060   0.00000         -0.00000    
   
 Surface:   3  
VFinLeft                                
     2Ymin/Bref =   0.12982900569981001     
     2Ymax/Bref =   0.20128245725142496     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
    0.1298  0.773621E-03     0.260582E-04
    0.1301  0.771737E-03     0.251333E-04
    0.1325  0.763566E-03     0.232955E-04
    0.1372  0.728725E-03     0.198447E-04
    0.1438  0.650959E-03     0.153328E-04
    0.1519  0.532543E-03     0.105927E-04
    0.1609  0.396916E-03     0.644054E-05
    0.1702  0.268580E-03     0.336274E-05
    0.1792  0.161417E-03     0.144184E-05
    0.1873  0.818306E-04     0.467585E-06
    0.1939  0.313819E-04     0.973526E-07
    0.1986  0.688451E-05     0.886499E-08
    0.2010  0.415793E-06     0.126582E-09
    0.2013   0.00000          0.00000    
   
 Surface:   4  
VFinLeft (YDUP)                         
     2Ymin/Bref =  -0.20128245725142496     
     2Ymax/Bref =  -0.12982900569981001     
   2Y/Bref      Vz/(q*Sref)      Mx/(q*Bref*Sref)
   -0.1298  0.773621E-03    -0.260582E-04
   -0.1301  0.771737E-03    -0.251333E-04
   -0.1325  0.763566E-03    -0.232955E-04
   -0.1372  0.728725E-03    -0.198447E-04
   -0.1438  0.650959E-03    -0.153328E-04
